#CODE;ENGLISH;;;;;;;;;x 
REL_CAPTOR;Captor;;;;;;;;;x 
ca_town_2_desc;A town has formed around the castle, as local peasants flock to its walls for protection.;;;;;;;;;x 
ca_town_3_desc;A city has formed around the castle, as local peasants flock to its walls for protection.;;;;;;;;;x 
ca_town_4_desc;The small village that once surrounded this castle has turned into a large city, with thousands of inhabitants calling it their home.;;;;;;;;;x 
ca_town_5_desc;The small village that once surrounded this castle has turned into a bustling metropolis, with thousands of inhabitants calling it their home.;;;;;;;;;x 
ca_warrior_cult_desc;Pagan warriors from all nearby tribes gather here and work themselves into a blood frenzy before they set out for battle.;;;;;;;;;x 
ca_culture_saxon_english_1_desc;The strong tradition of archery in England and Wales produces excellent bowmen. Here they can practise with their powerful longbows.;;;;;;;;;x 
ca_culture_group_baltic_1_desc;Baltic warriors assemble here to test their strength against one another in single combat.;;;;;;;;;x 
ca_culture_frank_norman_german_1_desc;Here knights face off against each other in jousting tournaments and other chivalrous competitions.;;;;;;;;;x 
ca_culture_group_iberian_1_desc;The agile Iberian "jinete" light cavalry is raised here. Inspired by the Moors, these horsemen are skilled at skirmishing and harassment.;;;;;;;;;x 
ca_culture_italian_1_desc;Well-disciplined Italian pike formations are raised here, specializing in the defense.;;;;;;;;;x 
ca_culture_russian_1_desc;Druzhina retinues train here, well-knit martial fellowships in service of a Russian lord.;;;;;;;;;x 
ca_culture_group_north_germanic_1_desc;Housecarls are trained here, providing excellent if somewhat ill-tempered heavy infantry, usually equipped with powerful battle axes.;;;;;;;;;x 
ca_culture_hungarian_1_desc;The hussars make excellent light cavalry, and are trained to hit the enemy relentlessly from different directions before regrouping and doing it again.;;;;;;;;;x 
ca_culture_group_arabic_1_desc;Camels make adaptable and sturdy mounts, especially in desert environments. Not only do their smell often frighten horses, but they are excellent pack animals that free up faster mounts for use in battle when the situation dictates.;;;;;;;;;x 
ca_culture_group_byzantine_1_desc;Both the horse and rider are clad in iron scales in these heavily armored cavalry formations. The cataphracts are a fearsome sight on the battlefield, and few armies can withstand one of their massed charges.;;;;;;;;;x 
ca_culture_irish_1_desc;Originally from Scotland, the gallowglass warriors are excellent heavy infantrymen renowned for their stubborn defense.;;;;;;;;;x 
ca_culture_ethiopian_1_desc;Large numbers of Ethiopian warriors are drilled here in the effective use of spears and bows.;;;;;;;;;x 
ca_culture_group_south_slavic_1_desc;This light cavalry force can trace its origins back to Serbia. Armed with spears and shields, they often serve in a support role, charging the enemy as soon as an opportunity presents itself.;;;;;;;;;x 
ca_culture_dutch_1_desc;These urban militias are named after the Flemish goedendag mace they favor in battle. They have proven themselves more than once against armored cavalry.;;;;;;;;;x 
ca_culture_scottish_1_desc;The schiltron is a compact body of Scottish pikemen. If threatened by cavalry, they present row upon row of spears firmly braced in the earth. Only a fool or a madman would willingly charge into such a dense wall of killing instruments.;;;;;;;;;x 
ca_culture_group_altaic_1_desc;The feared horse archers of the Asiatic Steppes are trained here. These highly mobile horsemen frequently outmaneuver their opponents, and are some of the finest warriors the world has ever seen.;;;;;;;;;x 
ca_culture_west_african_1_desc;These free warriors from the horon caste come armed with bows and poisoned arrows.;;;;;;;;;x 
ct_wall_q_1_desc;This shallow moat surrounding the city provides another obstacle for attackers to overcome.;;;;;;;;;x 
ct_wall_q_2_desc;This gatehouse defends the entrance to the city, and makes it easier to control who comes in and who leaves.;;;;;;;;;x 
ct_wall_3_desc;These stone walls surround the city and must be overcome by any attacker.;;;;;;;;;x 
ct_wall_4_desc;These large walls surround the city and must be overcome by any attacker.;;;;;;;;;x 
ct_wall_5_desc;These massive walls surround the city and must be overcome by any attacker.;;;;;;;;;x 
ct_training_grounds_1_desc;The city militia assembles here to train and arm themselves.;;;;;;;;;x 
#ct_barracks_1_desc;This where the adult men of the city muster to join the militia in times of war.;;;;;;;;;x 
ct_barracks_2_desc;This range lets the city inhabitants practise their archery and provides skilled bowmen for the militia.;;;;;;;;;x 
ct_guard_1_desc;The city guard are headquartered here, constantly on watch for those who would break the law or upset the peace.;;;;;;;;;x 
ct_marketplace_1_desc;A small market in the center of town where merchants peddle their wares.;;;;;;;;;x 
ct_marketplace_2_desc;This is where the city's guilds meet and organize their activities.;;;;;;;;;x 
ct_marketplace_3_desc;Toll booths provide a welcome boost to any city's income, as traveling merchants are forced to part with some of their wealth while passing through.;;;;;;;;;x 
ct_marketplace_4_desc;Legal disputes in the city are adjucated here, ensuring that trade and commerce continues to flow as smoothly as possible.;;;;;;;;;x 
ct_marketplace_5_desc;Assay offices test the purity of precious metals, and the assayer provides those certified as pure with a master's mark as proof of their quality. This helps to promote fair and honest trade.;;;;;;;;;x 
ct_marketplace_6_desc;These fairgrounds are large enough to host a magnificent fair, bringing in traders and entertainers from all over the realm.;;;;;;;;;x 
ct_port_1_desc;A port that services ships coming in to load or unload cargo.;;;;;;;;;x 
ct_university_1_desc;A place of higher learning for those with influence enough to gain admission.;;;;;;;;;x 
tp_wall_q_1_desc;This shallow moat surrounding the church provides another obstacle for attackers to overcome.;;;;;;;;;x 
tp_wall_q_2_desc;This gatehouse defends the entrance to the church, and makes it easier to control who comes in and who leaves.;;;;;;;;;x 
tp_wall_3_desc;These stone walls surround the church and must be overcome by any attacker.;;;;;;;;;x 
tp_wall_4_desc;These large walls surround the church and must be overcome by any attacker.;;;;;;;;;x 
tp_wall_5_desc;These massive walls surround the church and must be overcome by any attacker.;;;;;;;;;x 
tp_monastery_1_desc;This church serves as the spiritual center of the local community.;;;;;;;;;x 
tp_monastery_2_desc;People from across the realm come here to visit this impressive cathedral. It serves as a major landmark, and its spires can be seen from far away.;;;;;;;;;x 
tp_barracks_1_desc;When necessary, peasants from the local farms are conscripted into the church militia and stationed here.;;;;;;;;;x 
tp_elite_barracks_1_desc;These holy warriors have sworn to defend this church with their lives.;;;;;;;;;x 
tp_town_1_desc;This small village of faithful peasants has formed around the church.;;;;;;;;;x 
tp_town_2_desc;This town of faithful peasants has formed around the church.;;;;;;;;;x 
tp_town_3_desc;This large town of faithful peasants has formed around the church.;;;;;;;;;x 
tp_town_4_desc;The small village that once surrounded this church has turned into a large city, with thousands of inhabitants calling it their home.;;;;;;;;;x 
tp_town_5_desc;The small village that once surrounded this church has turned into a bustling metropolis, with thousands of inhabitants calling it their home.;;;;;;;;;x 
tp_school_1_desc;This school teaches many subjects and is a rare center of high learning, but the students enrolled here primarily study to prepare themselves for future careers in the clergy. No girls allowed.;;;;;;;;;x 
ct_marketplace_1_desc_muslim;A small bazaar in the center of town where merchants peddle their wares.;;;;;;;;;x 
ct_marketplace_2_desc_muslim;A large bazaar in the center of town where merchants peddle their wares.;;;;;;;;;x 
ct_marketplace_3_desc_muslim;This open-air marketplace is filled with merchant stands where almost anything can be bought.;;;;;;;;;x 
ct_marketplace_4_desc_muslim;This walled and highly populated quarter of the city is a complex maze of narrow streets and alleyways.;;;;;;;;;x 
ct_marketplace_5_desc_muslim;This walled and highly populated quarter forms the heart of the city, and it is a complex maze of narrow streets and alleyways.;;;;;;;;;x 
ct_marketplace_6_desc_muslim;A great bazaar that seems filled with merchants from all over the known world. If an item can't be found for sale here, it likely doesn't exist.;;;;;;;;;x 
tp_wall_q_1_desc_muslim;This shallow moat surrounding the mosque provides another obstacle for attackers to overcome.;;;;;;;;;x 
tp_wall_q_2_desc_muslim;This gatehouse defends the entrance to the mosque, and makes it easier to control who comes in and who leaves.;;;;;;;;;x 
tp_wall_3_desc_muslim;These stone walls surround the mosque and must be overcome by any attacker.;;;;;;;;;x 
tp_wall_4_desc_muslim;These large walls surround the mosque and must be overcome by any attacker.;;;;;;;;;x 
tp_wall_5_desc_muslim;These massive walls surround the mosque and must be overcome by any attacker.;;;;;;;;;x 
tp_monastery_1_desc_muslim;This mosque serves as the spiritual center of the local community.;;;;;;;;;x 
tp_monastery_2_desc_muslim;People from across the realm come here to visit this impressive mosque. It serves as a major landmark, and its minarets can be seen from far away.;;;;;;;;;x 
tp_barracks_1_desc_muslim;When necessary, peasants from the local farms are conscripted into the mosque militia and stationed here.;;;;;;;;;x 
tp_elite_barracks_1_desc_muslim;These holy warriors have sworn to defend this mosque with their lives.;;;;;;;;;x 
tp_town_1_desc_muslim;This small village of faithful peasants has formed around the mosque.;;;;;;;;;x 
tp_town_2_desc_muslim;This town of faithful peasants has formed around the mosque.;;;;;;;;;x 
tp_town_3_desc_muslim;This large town of faithful peasants has formed around the mosque.;;;;;;;;;x 
tp_town_4_desc_muslim;The small village that once surrounded this mosque has turned into a large city, with thousands of inhabitants calling it their home.;;;;;;;;;x 
tp_town_5_desc_muslim;The small village that once surrounded this mosque has turned into a bustling metropolis, with thousands of inhabitants calling it their home.;;;;;;;;;x 
d_gotland;Gotland;;;;;;;;;x 
d_gotland_adj;Gotlander;;;;;;;;;x 
FC_FIND_CHARACTERS;Find Characters;;;;;;;;;x 
TITLE_MR_CANNOT_USURP;Merchant Republics and Patricians cannot usurp kingdoms or empires;;;;;;;;;x 
CB_NAME_SEIZE_TRADE_POST;Seize [Title.GetBaseName] Trade Post;;;;;;;;;x 
WAR_NAME_SEIZE_TRADE_POST;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Trade War over $OTHER_TITLE$;;;;;;;;;x 
HAS_TRADE_POST;Has Trade Post;;;;;;;;;x 
HAS_NOT_TRADE_POST;Does NOT have Trade Post;;;;;;;;;x 
TRIGGER_SEA_ZONE;Trade Post Owner;;;;;;;;;x 
SEIZE_TRADE_POST_EFFECT;§Y$TAKER$§! seizes the §Y$POST$§! Trade Post;;;;;;;;;x 
opinion_feuding_family;Feuding Families;;;;;;;;;x 
opinion_feuding_family_light;Feuding Families;;;;;;;;;x 
EVTDESC_REP_002;You have just learned that the captain of one of your trade galleys has been selling part of his cargo to [From.GetOnlyDynastyName] smugglers instead of delivering it as ordered, apparently hoping the amount sold would be too small to be noticed. The captain and his crew have been jailed, but the thieving scum had already spent most of their ill-gotten profits on spirits and women.;;;;;;;;;x 
EVTOPTA_REP_002;Can no one be trusted these days?;;;;;;;;;x 
EVTDESC_REP_003;One of your trade galleys finally made it back to port today after being delayed for several days by a storm. Sadly, it was discovered that the ship's entire cargo had been spoiled by seawater and rendered worthless. A total loss.;;;;;;;;;x 
EVTOPTA_REP_003;Confound it all!;;;;;;;;;x 
EVTDESC_REP_005;A trade galley belonging to the [Root.GetOnlyDynastyName] shipping empire has been several days overdue. This morning another captain on the [From.GetOnlyDynastyName] payroll came into port with flotsam from the lost ship, which he claims to have found in the wake of a recent storm. It looks like your galley was caught in it.;;;;;;;;;x 
EVTOPTA_REP_005;The sea shall be their grave.;;;;;;;;;x 
EVTDESC_REP_006;A convoy of several merchant galleys belonging to your family has been ambushed by pirates on the high seas! The brigands seized two of your ships, but there is sadly little that can be done for the captured crews. They will most likely be sold as slaves along with the cargo their ships were carrying.;;;;;;;;;x 
EVTOPTA_REP_006;Barbarians!;;;;;;;;;x 
EVTDESC_REP_007;A convoy flying the [Root.GetOnlyDynastyName] standard was ambushed by pirates today while on their way home with their holds full of precious cargo. Thanks to the quick actions of their crews, they managed to turn the tables on the pirates and capture two of their galleys! The prize money will be divided evenly, but the lion's share goes to you!;;;;;;;;;x 
EVTOPTA_REP_007;Finally some good news.;;;;;;;;;x 
EVTDESC_REP_008;One of your ships has returned from a foreign port with a cargo of rare spices of the very finest quality. Word has spread throughout [Root.MercRepCapital.GetName], and the local nobility is already lining up at the docks, pleading for a chance to buy some of this precious cargo.;;;;;;;;;x 
EVTOPTA_REP_008;The spice must flow.;;;;;;;;;x 
EVTDESC_REP_009;An enterprising captain in command of one of your galleys has discovered several new markets along foreign shores. He reports that these distant ports are rife with opportunities for trade and profit.;;;;;;;;;x 
EVTOPTA_REP_009;Rule number 62... "The riskier the road, the greater the profit.";;;;;;;;;x 
EVTDESC_REP_010;To everyone's astonishment, a galley belonging to the [Root.GetOnlyDynastyName] family that was thought lost years ago slipped quietly into port last night. The ship is riddled with arrows and the sails are barely holding together, but against all odds the captain managed to bring in his cargo. He has quite a story to tell.;;;;;;;;;x 
EVTOPTA_REP_010;Better late than never!;;;;;;;;;x 
EVTDESC_REP_011;The lazy, ungrateful dockworkers in [Root.MercRepCapital.GetName] are refusing to unload ships! Citing poor working conditions and low pay, they will not let anyone past their picket line. Troops from all of the major families are working together to quickly silence the leaders of these mobs, but costly delays in shipping are unavoidable at this point.;;;;;;;;;x 
EVTOPTA_REP_011;And after everything I've done for them...;;;;;;;;;x 
EVTDESC_REP_012;A large warehouse belonging to your family at the docks in [Root.MercRepCapital.GetName] has caught fire! The dockworkers have formed human chains and are passing buckets of water between each other to put the flames out before the fire has a chance to spread, but a lot of valuable goods have already been lost.;;;;;;;;;x 
EVTOPTA_REP_012;What a disaster.;;;;;;;;;x 
EVTDESC_REP_014;A wealthy local noble is looking to escape the consequences of several indiscretions on his part against a female member of the [From.GetOnlyDynastyName] family. He has offered to pay handsomely for passage on one of your ships to a foreign port, where he can hopefully lay low for a few years.;;;;;;;;;x 
EVTOPTA_REP_014;Of course. Make the arrangements.;;;;;;;;;x 
EVTDESC_REP_015;The dockworkers handling the loading and unloading of your ships have become quite efficient at their work. Disembarked crews are complaining that they barely have enough time to get drunk in [Root.MercRepCapital.GetName] before their galleys are ready to set sail again.;;;;;;;;;x 
EVTOPTA_REP_015;Keep up the good work, men.;;;;;;;;;x 
EVTDESC_REP_016;The rotting remains of a ship lost centuries ago was discovered by a [Root.GetOnlyDynastyName] galley in the port of [Root.MercRepCapital.GetName]. Divers working for your family have managed to salvage a small treasure chest containing gold bullion!;;;;;;;;;x 
EVTOPTA_REP_016;Let's see my share!;;;;;;;;;x 
EVTDESC_REP_017;Ships from the republic have traveled far and wide in their relentless pursuit of trading opportunities, and as a result the accuracy of your sailors' nautical charts has been improved. Coastal waters that were previously seen as treacherous can now be navigated in relative safety, shortening the time it takes to complete certain routes.;;;;;;;;;x 
EVTOPTA_REP_017;You can never have too many charts.;;;;;;;;;x 
EVTDESC_REP_018;There is a lot of commotion at the docks of [Root.MercRepCapital.GetName]. Apparently, the captain of one of your family's trade galleys rammed his ship into the pier while intoxicated. He was lynched by a furious crowd, but the other patrician families are holding you responsible for the damage to the dock facilities.;;;;;;;;;x 
EVTOPTA_REP_018;That drunken fool.;;;;;;;;;x 
EVTOPTB_REP_018;An understandable mistake...;;;;;;;;;x 
EVTDESC_REP_020;The captain of one of your trade galleys was fished out of the water by a ship working for the [From.GetOnlyDynastyName] family last week. Starved and half-mad from scurvy, the captain reports that his crew mutinied and tossed him overboard. They seem to have decided on a life of piracy.;;;;;;;;;x 
EVTOPTA_REP_020;My ship and cargo... lost!;;;;;;;;;x 
EVTNAME_REP_101;The Great Ball;;;;;;;;;x 
EVTDESC_REP_101;[From.GetTitledName] will soon be hosting a great ball in [From.GetHerHis] family palace, and every patrician family in the republic has been invited - except for yours. Your dynasty's relation with the [From.GetOnlyDynastyName] family has been tense as of late, as you are competing with them in several important markets.\n\nThe decision not to invite [Root.GetOnlyDynastyName] members to the ball can only be seen as a grave insult. As you sit brooding in the chambers of your own palace, you wonder how to tackle this situation. Will you turn up at the ball anyway, pretending there has been some mistake, or will you turn the other cheek and accept this affront to [Root.GetOnlyDynastyName] honor?;;;;;;;;;x 
EVTOPTA_REP_101;Ready my carriage!;;;;;;;;;x 
EVTOPTB_REP_101;Oh well. What's a ball? I suppose it would be frightfully dull, and...;;;;;;;;;x 
no_ball_tooltip;You stay at home, fiddling your thumbs.;;;;;;;;;x 
EVTTOOLTIP_REP_102;You decide to grace the ball with your presence, invitation or not.;;;;;;;;;x 
EVTNAME_REP_102;Arriving at the Ball...;;;;;;;;;x 
EVTDESC_REP_102;You show up at the [FromFrom.GetOnlyDynastyName] family palace with your entourage, and make your way past the posted guards before they can block your way. Music and laughter can be heard from inside the palace, but it seems to die out the moment you step inside. Hushed whispers are all that can be heard as everyone's eyes seem to focus on you.\n\n"[Root.GetTitledFirstName]!" someone calls out. [FromFrom.GetTitledFirstName] emerges from the crowd with a smile on his face. "How kind of you to join us. May I see your invitation?" As you struggle for words, guards surround you and your party. "No invitation? That's a shame." With a small wave from [FromFrom.GetFirstName], the guards drag you all outside and throw you down the stairs of the entrance. Lying on your back in the dirt, you see [FromFrom.GetFirstName] grinning down at you.;;;;;;;;;x 
EVTOPTA_REP_102;You will live to regret this, [FromFrom.GetFirstName]! Mark my words!;;;;;;;;;x 
feud_begins_tooltip;This will be the start of a great vendetta between your two families...;;;;;;;;;x 
EVTNAME_REP_104;The Even Greater Ball;;;;;;;;;x 
EVTDESC_REP_104;As a way to get back at the vile [From.GetOnlyDynastyName] family, you could make arrangements to host your own grand ball. Invitations will be sent out to all patrician families, with the exception of the [From.GetOnlyDynastyName] of course.\n\nIf this is to work, your ball will have to be much grander than the one that weasel [From.GetTitledFirstName] threw together. It won't be cheap, but it would restore your prestige and bring shame to those [From.GetOnlyDynastyName] dogs...;;;;;;;;;x 
EVTOPTA_REP_104;Make it happen! Spare no expense!;;;;;;;;;x 
EVTOPTB_REP_104;I refuse to stoop to their childish level.;;;;;;;;;x 
no_own_ball_tooltip;You decide to just forget about this whole thing.;;;;;;;;;x 
EVTTOOLTIP_REP_105;You make arrangements to hold a splendid ball.;;;;;;;;;x 
EVTNAME_REP_105;The Day of the Ball;;;;;;;;;x 
EVTDESC_REP_105;The day of your grand ball has arrived and everyone of importance in [Root.MercRepCapital.GetName] is in your palace. Everyone but the [FromFrom.GetOnlyDynastyName] family. Your guards have strict orders not to permit anyone from their bloodline inside.\n\nIn one corner of the ballroom, a bearded gentleman who looks vaguely familiar is loudly and unfavorably comparing your ball with the [FromFrom.GetOnlyDynastyName] one. As you approach him to set him straight, you recognize something in his voice... could it be possible...? You rush forward and rip the thick beard from the man's face to reveal [FromFrom.GetTitledFirstName]! "YOU!"\n\nAstonished, [FromFrom.GetFirstName] pushes you aside and makes a mad dash for the exit like a frightened rabbit while shoving several dancing guests to the floor.;;;;;;;;;x 
EVTOPTA_REP_105;Ha! Let him run.;;;;;;;;;x 
EVTNAME_REP_151;The [From.GetOnlyDynastyName] Flagship;;;;;;;;;x 
EVTDESC_REP_151;Word has reached you that your mortal enemies, the [From.GetOnlyDynastyName] family, are planning the construction of a great galley the likes of which has never before been seen. It is to surpass even the bucentaur, the flagship of the Venetian Doge, in size and splendor. The hubris of [From.GetTitledFirstName] is without equal!\n\n[Root.job_spymaster.GetTitledFirstName], your [Root.GetSpymasterName], has put together a plan to make sure this atrocity never sails the seas. Men loyal to [Root.job_spymaster.GetHerHim] will infiltrate the [From.GetOnlyDynastyName] shipyard in [Root.MercRepCapital.GetName] posing as shipwrights. Once inside, they will add several subtle structural flaws to the galley that will hopefully escape detection until it sets out on its maiden voyage...;;;;;;;;;x 
EVTOPTA_REP_151;Brilliant! Send in the men!;;;;;;;;;x 
EVTOPTB_REP_151;This hare-brained scheme will never work.;;;;;;;;;x 
EVTNAME_REP_152;The Marriage of the Sea;;;;;;;;;x 
EVTDESC_REP_152;[FromFrom.GetTitledFirstName] has decided to unveil the new [FromFrom.GetOnlyDynastyName] flagship today, at the annual Marriage of the Sea ceremony where the maritime dominance of Venice is celebrated. [FromFrom.GetFirstName] has invited [Root.RelHead.GetTitledFirstName] himself to oversee the ceremony from the great ship. As a long procession of ships sail through the city canals, the Pope drops one of his rings into the water and proclaims, "We wed thee, sea, in the sign of..." \n\nBefore he can finish the sentance, the galley lurches and begins to tip over! Both the Pope and [FromFrom.GetFirstName] are thrown overboard, but they are soon fished out of the water by some nearby gondoliers. The Supreme Pontiff of the Universal Church wrings out his drenched robes while launching a long tirade of profanity directed at [FromFrom.GetFirstName], who has turned red with embarassment.;;;;;;;;;x 
EVTOPTA_REP_152;Hahaha!;;;;;;;;;x 
EVTNAME_REP_153;The Ship is Launched;;;;;;;;;x 
EVTDESC_REP_153;The [FromFrom.GetOnlyDynastyName] flagship has been completed, and nobles from all over [Root.MercRepCapital.GetName] have gathered at the docks to watch as the mighty vessel is put to sea. [FromFrom.GetTitledFirstName] is beaming with arrogant pride, especially when he spots you in the crowd. Before long, the sleek vessel slides into the water and hoists its sails who are adorned with the [FromFrom.GetOnlyDynastyName] family crest.\n\nSuddenly the great galley snaps in half with a terrible crack! The crowd gasps in stunned silence, but [FromFrom.GetFirstName] turns to face you immediately, his eyes glowing with fury. "YOU! This was YOUR doing!" he screams as spittle sails from his mouth. With a howl he attempts to hurl himself at you, but his struggling aides hold him back. "I don't know how you did it, [Root.GetFirstName], but I swear you will pay for this! Do you hear me, [Root.GetFirstName]?! YOU WILL PAY!";;;;;;;;;x 
EVTNAME_REP_154;The Lion of the Sea;;;;;;;;;x 
EVTDESC_REP_154;You are sitting on the deck of a [Root.GetOnlyDynastyName] galley, enjoying the cool sea air and the smell of saltwater when a large shadow suddenly blocks out the sun. A colossal galley, easily twice the size of your ship, sweeps past dangerously close and sends a large wave sweeping over the deck that knocks you off your feet. It's the new [FromFrom.GetOnlyDynastyName] flagship!\n\nAs you stand up, drenched from top to bottom, you hear cackling laughter from the deck of the other ship. [FromFrom.GetTitledFirstName] stands by the railing looking down at you with a smug grin on his face. "Well, well, if it isn't [Root.GetTitledFirstName]! How are you doing down there? You should take better care when sailing in waters trafficked by larger vessels. I would hate for an accident to occur..." You turn away from him to hide your scowl.;;;;;;;;;x 
EVTOPTA_REP_154;Gggh... that insufferable...!;;;;;;;;;x 
EVTNAME_REP_155;You Are Cordially Invited...;;;;;;;;;x 
EVTDESC_REP_155;Yet another public execution has been scheduled in [Root.MercRepCapital.GetName], and your attendance is required. Though these events normally bore you, this one catches your full attention when you realize that the convicted men about to be executed are the same men [Root.job_spymaster.GetTitledFirstName] sent to infiltrate the [FromFrom.GetOnlyDynastyName] shipyard. [FromFrom.GetTitledFirstName] joins the executioner and the convicts on their platform, and looks at you with a gloating smile.\n\n"My friends, take a long, hard look at these men," [FromFrom.GetFirstName] begins. "They are enemies of the Republic and together they conspired to sabotage the construction of the new [FromFrom.GetOnlyDynastyName] flagship. Fortunately, they were caught in the act and it has been revealed that they were not acting alone..." He gives you a long glance and you think you realize where this is going.;;;;;;;;;x 
EVTOPTA_REP_155;Let's go to damage control...;;;;;;;;;x 
EVTNAME_REP_161;A Nightly Visit;;;;;;;;;x 
EVTDESC_REP_161;You wake in the middle of the night after a restless sleep, and decide to go for a stroll through the empty corridors of your palace. For some reason, you can't shake the feeling that something is amiss. Glancing through a window, you suddenly spot your laughing daughter on her balcony being serenaded by a secret lover below!\n\nTo your horror, you recognize the man as [From.GetTitledFirstName] of the despicable [From.GetOnlyDynastyName] family! You immediately grab the nearest crossbow and send several bolts after [From.GetFirstName] while screaming obscenities at him. The vile lecher quickly retreats and disappears into some bushes, while you hurry towards your crying daughter's room to scold her for bringing such shame to the [Root.GetOnlyDynastyName] name.;;;;;;;;;x 
EVTOPTA_REP_161;You are not to see him again!;;;;;;;;;x 
forbid_son_tooltip;You make it clear to your son that continuing this relationship is out of the question.;;;;;;;;;x 
fobid_daughter_tooltip;You make it clear to your daughter that continuing this relationship is out of the question.;;;;;;;;;x 
permit_love_tooltip;Despite your previous anger, you decide to not to forbid this young couple from seeing each other.;;;;;;;;;x 
end_feud_tooltip;You decide that enough lives have been lost - this feud between your families must come to an end.;;;;;;;;;x 
continue_feud_tooltip;You blame the rival family for the death of your child.;;;;;;;;;x 
approve_plan_tooltip;You approve of your son's plan.;;;;;;;;;x 
refuse_plan_tooltip;You disapprove of your son's plan.;;;;;;;;;x 
flagship_plan_approved_tooltip;You approve the plan.;;;;;;;;;x 
flagship_plan_refused_tooltip;You reject the plan as being too risky.;;;;;;;;;x 
EVTOPTB_REP_161;Perhaps I acted in haste.... I will not stand in the way of true love.;;;;;;;;;x 
EVTDESC_REP_163;You wake in the middle of the night after a restless sleep, and decide to go for a stroll through the empty corridors of your palace. For some reason, you can't shake the feeling that something is amiss. As you pass your son's room, you hear faint girlish laughter and other sounds of a carnal nature! You kick open the door to reveal your son in bed with a secret lover!\n\nTo your horror, you recognize the girl as [From.GetTitledFirstName] of the despicable [From.GetOnlyDynastyName] family! As you furiously scold your son for bringing such shame to the family, the girl leaps out of bed wearing only the bedsheets and runs away in tears. The sound of her bawling echoes throughout the palace corridors, and it is matched in volume only by your voice as you discipline your son.;;;;;;;;;x 
EVTOPTA_REP_163;You are not to see her again!;;;;;;;;;x 
EVTNAME_REP_164;Never Was a Story of More Woe...;;;;;;;;;x 
EVTDESC_REP_164;You are eating supper when the doors to your palace's dining room suddenly fly open and [FromFrom.Father.GetTitledFirstName] storms inside, chased by your guards. "Where is he?" [FromFrom.Father.GetFirstName] demands, pounding his fist on the table. "Damn it, [Root.GetFirstName]! Where is my son?!" He slams a piece of paper on the table. "I expressly forbade him from having anything to do with that harlot daughter of yours, but today I found this note!"\n\nHe reads with a somber voice: "'Father, since you would deny me the love of my life and since...' etc, etc, '...my love and I have decided to end it all. Farewell.'" With a gasp, you push the table aside and rush up the stairs towards your daughter's room with [FromFrom.Father.GetFirstName] on your heels. There, embracing each other on the floor, the two lovers lie dead next to an empty bottle of poison...;;;;;;;;;x 
EVTOPTA_REP_164;This feud has cost us everything... it has to end.;;;;;;;;;x 
EVTOPTB_REP_164;Y-you killed her! My sweet daughter!;;;;;;;;;x 
EVTDESC_REP_165;You are eating supper when the doors to your palace's dining room suddenly fly open and [FromFrom.Father.GetTitledFirstName] storms inside, chased by your guards. "Where is she?" [FromFrom.Father.GetFirstName] demands, pounding his fist on the table. "Damn it, [Root.GetFirstName]! Where is my daughter?!" He slams a piece of paper on the table. "I expressly forbade her from having anything to do with that no-good son of yours, but today I found this note!"\n\nHe reads with a somber voice: "'Father, since you would deny me the love of my life and since...' etc, etc, '...my love and I have decided to end it all. Farewell.'" With a gasp, you push the table aside and rush up the stairs towards your son's room with [FromFrom.Father.GetFirstName] on your heels. There, embracing each other on the floor, the two lovers lie dead next to an empty bottle of poison...;;;;;;;;;x 
EVTOPTB_REP_165;Y-you killed him! My poor boy!;;;;;;;;;x 
EVTNAME_REP_166;Wedding Bells;;;;;;;;;x 
EVTDESC_REP_166;It is a day of joyous celebration! Despite the bitter rivalry between the [Root.GetOnlyDynastyName] and [FromFrom.GetOnlyDynastyName] families, love found a way to bridge that gap and bring a young couple together. You decided not to intervene, and it seems [FromFrom.Father.GetTitledFirstName] shared your sentiments and gave his blessings to the couple. Today they are joined in the sacred union of marriage.\n\nThis will hopefully be the start of a lasting peace between your families, and a new era of friendship. As the ceremony is completed and the festivities commence, you and [FromFrom.Father.GetFirstName] shake hands and share some wine together.;;;;;;;;;x 
EVTOPTA_REP_166;A toast to the continued prosperity of our two families!;;;;;;;;;x 
EVTNAME_REP_168;Two Funerals and a Truce;;;;;;;;;x 
EVTDESC_REP_168;The [Root.GetOnlyDynastyName] and the [From.GetOnlyDynastyName] families have come together on this day to mourn the recent loss of their two children. Yet amidst all the gloom there is a glimmer of hope for the future. You and [From.GetTitledFirstName] are meeting with all the ranking members of your two respective houses.\n\nTogether you have decided to finally end the bitter feud that has been raging longer than anyone can remember. It may be too late for your closest kin, but future generations of [Root.GetOnlyDynastyName] and [From.GetOnlyDynastyName] children will no longer grow up seeing each other as mortal enemies.;;;;;;;;;x 
EVTOPTA_REP_168;Let us never forget this day.;;;;;;;;;x 
EVTNAME_REP_182;The Smugglers of [Root.MercRepCapital.GetName];;;;;;;;;x 
