#CODE;ENGLISH;;;;;;;;;x 
e_germany;Germania;;;;;;;;;x 
NUM_OF_MAX_SETTLEMENTS_AT_LEAST;Max holdings at least §Y$VAL$§!;;;;;;;;;x 
NUM_OF_MAX_SETTLEMENTS_LESS_THAN;Max holdings less than §Y$VAL$§!;;;;;;;;;x 
NUM_OF_EMPTY_HOLDINGS_AT_LEAST;Empty holdings at least §Y$VAL$§!;;;;;;;;;x 
NUM_OF_EMPTY_HOLDINGS_LESS_THAN;Empty holdings less than §Y$VAL$§!;;;;;;;;;x 
DONT_BORDERS_MAJOR_RIVER;Does NOT border major river;;;;;;;;;x 
BORDERS_MAJOR_RIVER;Borders major river;;;;;;;;;x 
SET_GRAPHICAL_CULTURE;Set graphical culture to §Y$NAME$§!;;;;;;;;;x 
NOT_IS_LOOTING;Is NOT looting;;;;;;;;;x 
IS_LOOTING;Is looting;;;;;;;;;x 
NOT_IS_LOOTING_IN;Is NOT looting in §Y$PROVINCE$§!;;;;;;;;;x 
IS_LOOTING_IN;Is looting in §Y$PROVINCE$§!;;;;;;;;;x 
opinion_brother;Brother;;;;;;;;;x 
opinion_half_brother;Half-brother;;;;;;;;;x 
opinion_sister;Sister;;;;;;;;;x 
opinion_half_sister;Half-sister;;;;;;;;;x 
opinion_grandfather;Grandfather;;;;;;;;;x 
opinion_grandmother;Grandmother;;;;;;;;;x 
opinion_grandchild;Grandchild;;;;;;;;;x 
opinion_uncle;Uncle;;;;;;;;;x 
opinion_aunt;Aunt;;;;;;;;;x 
opinion_nephew;Nephew;;;;;;;;;x 
opinion_niece;Niece;;;;;;;;;x 
NOT_IS_ALLIED_WITH;Is NOT allied with §Y$NAME$§!;;;;;;;;;x 
IS_ALLIED_WITH;Is allied with §Y$NAME$§!;;;;;;;;;x 
ANY_ALLIED_CHARACTER_STARTS;Any Allied Character;;;;;;;;;x 
HINT_REL_VIEW_TEXT_3_CHRISTIAN;Many of the Christian faiths have Patriarchates as well as a religious head. Autocephalous Patriarchs existed as Patriarch rulers for their kingdom, and therefore different realms can have different religious heads even though they share the same religion.;;;;;;;;;x 
HINT_REL_VIEW_TEXT_4_CHRISTIAN;The Iconoclast faith does not initially have a Patriarch. They can, however, form a Patriarchate if Constantinople is held. Furthermore, Orthodox rulers of the Byzantine Empire can mend the Great Schism between the Orthodox and Catholic churches by controlling all five Pentarchs.;;;;;;;;;x 
HINT_REL_VIEW_TEXT_3_CHRISTIAN_NOHEAD;Some of the Christian heresies have no religious head. This applies to, for example, the Cathars, Waldensians, Lollards, Bogomilists and Messalians.;;;;;;;;;x 
HINT_REL_VIEW_TEXT_4_CHRISTIAN_NOHEAD;Among these religions, the Cathar faith stands out since they even allowed women to be priests. Furhtermore does the Messalian stands out since they did not only allow female priests, but also close kin marriage similar to the Zoroastrians.;;;;;;;;;x 
HINT_REL_VIEW_TEXT_3_CATHOLIC;The Catholic faith is a bit special since the Pope is considered God's representative on Earth. He has more powers than other religious heads, but there is a catch - many Bishops feel more loyal to him than to their secular liege, and will send their taxes to Rome. One way around this problem is to set up an Antipope - a puppet pope who will do what he's told.;;;;;;;;;x 
HINT_REL_VIEW_TEXT_4_CATHOLIC;Another way of ensuring friendly Bishops is to change the Kingdom law to Crown or Free Investiture Law and nominate loyalists to your bishoprics.;;;;;;;;;x 
HINT_REL_VIEW_TEXT_3_ZOROASTRIAN;Zoroastrian rulers can please their vassals with close kin marriage in order to strenghten their dynasties. Zoroastrians are more resilient to becoming inbred, but the risk of this happening does still exist.;;;;;;;;;x 
HINT_REL_VIEW_TEXT_4_ZOROASTRIAN;The High Priesthood of the Zoroastrian faith has ceased to exist, but can be reinstituted if the Persian Empire is once again held by a Zoroastrian ruler.;;;;;;;;;x 
HINT_REL_VIEW_TEXT_3_INDIAN;The Indian religions have no religious heads, and they are all somewhat accepting towards other Indian religions and will find it harder to convert these. They can however subjugate each other, and some of them also allow Holy Wars against non-Indian religions.;;;;;;;;;x 
HINT_REL_VIEW_TEXT_4_INDIAN;Despite their similarities, the Indian religions also have their distinct differences. Jain rulers can build the most stable realms, but are also the least aggressive and have no Holy Wars. Hinduism is the most warlike religion of the three, but have a caste system which restricts the status and relationships of characters. Finally, the Buddhist faith gives a large bonus to technological advancement.;;;;;;;;;x 
HINT_REL_VIEW_TEXT_3_JEWISH;At game start, the Jewish faith has no religious head. You can, however, change this by restoring the High Priesthood. This can be done by any Jewish ruler who owns the province of Jerusalem.;;;;;;;;;x 
HINT_REL_VIEW_TEXT_4_JEWISH;The Kingdom of Israel can be restored if the lands belonging to the promised land are controlled by a Jewish ruler.;;;;;;;;;x 
HINT_REL_VIEW_TEXT_3_PAGAN;The Pagan faiths differs from the other religions in that they start as very decentralized and have no head of religion. Rulers following these unreformed religions are forced to use Gavelkind succession and can not use the Holy War Casus Belli. However, unreformed pagans get a defensive supply limit penalty for religious enemies in their provinces, and a mighty subjugation Casus Belli towards other pagans that they can use once per lifetime.;;;;;;;;;x 
HINT_REL_VIEW_TEXT_4_PAGAN;Pagan religions can be reformed by controlling at least three holy sites for that religion and having at least 50% Moral Authority, or by holding all five holy sites. The one who reforms a pagan religion in some cases become its new head. Be aware, however, that not all your vassals might agree with the reformation and some might see you as a heretic.;;;;;;;;;x 
HINT_REL_VIEW_TEXT_3_MUSLIM;Muslim dynasties risk growing more and more decadent unless their men hold lands or they are victorious in wars. Increases in decadence can be prevented by getting rid of decadent Dynasty members or by simply giving land to them..;;;;;;;;;x 
HINT_REL_VIEW_TEXT_4_MUSLIM;Muslim leaders have a powerful invasion Casus Belli that can be used against neighbouring realms if their leaders do not follow the True Faith. Successful invasions will not only grant you the contested provinces, but also any other of the enemy's territories that you occupy.;;;;;;;;;x 
DECADENCE_DESC;All adult Muslim men below the rank of Count risk acquiring the §YDecadent§! trait, especially those of low character. The amount of Decadence these men incur on their dynasty depends on their own social status as well as the total amount of Holdings controlled by the Dynasty. Decadence affects the tax income from your demesne and the morale damage that demesne levies take in battle. Ways to halt or decrease Decadence include:\n§G*§! Granting landed titles to dynasty members\n§G*§! Successfully convincing decadent Dynasty members to abandon their sinful ways.\n§G*§! Imprisoning, banishing or killing decadent Dynasty members\n§G(The Religion View contains a list of decadent dynasty members.)§!;;;;;;;;;x 
opinion_favorite;Favorite;;;;;;;;;x 
FILTER_SAME_REL;My Religion;;;;;;;;;x 
FILTER_SAME_REL_GROUP;My Religion Group;;;;;;;;;x 
FILTER_NOT_SAME_REL;Not My Religion;;;;;;;;;x 
FILTER_NOT_SAME_REL_GROUP;Not My Religion Group;;;;;;;;;x 
FILTER_ANY_REL;Any Religion;;;;;;;;;x 
FILTER_SAME_CUL;My Culture;;;;;;;;;x 
FILTER_SAME_CUL_GROUP;My Culture Group;;;;;;;;;x 
FILTER_NOT_SAME_CUL;Not My Culture;;;;;;;;;x 
FILTER_ANY_CUL;Any Culture;;;;;;;;;x 
FILTER_NOT_SAME_CUL_GROUP;Not My Culture Group;;;;;;;;;x 
irminsul_destroyed;Irminsul Destroyed;;;;;;;;;x 
WIDUKIND_ARMY;Saxon Rebellion;;;;;;;;;x 
c_chandax_adj_greek;Gortynian;;;;;;;;;x 
c_chandax_adj_italian;Gortynian;;;;;;;;;x 
TITLE_CREATION_TEMPORARY_TITLE;Neither temporary title holders nor their vassals can create any titles;;;;;;;;;x 
TEMP_T_HOLDER_CANT_DESTROY_T;Neither temporary title holders nor their vassals can destroy any titles;;;;;;;;;x 
EVTTITLE_CM_1000;A realm divided;;;;;;;;;x 
EVTDESC_CM_1000;As your father Pepin died, he divided the Empire of the Franks and left one half to you and the other half to your brother. He divided the lands in such a way as to force you to cooperate - but it does not appear to have had the desired effect. The friction is constant, and at every turn it seems your brother is now trying to thwart your plans and weaken your position. You still rule as joint kings, but surely this peace cannot last...;;;;;;;;;x 
EVTOPTA_CM_1000;He will not succeed in his vile schemes!;;;;;;;;;x 
EVTTITLE_CM_1002;The death of Charlemagne;;;;;;;;;x 
EVTDESC_CM_1002;With the death of your brother [From.GetFirstName], the prestige and honor of the Frankish kingship falls on you. He was your rival but now he is no more. There is still much to be done, but here begins a new chapter in the story of [Root.GetFirstName], [Root.GetTitle] of the Franks.;;;;;;;;;x 
EVTOPTA_CM_1002;Still, he was my brother.;;;;;;;;;x 
LIEGE_ENDED_WAR_PARTICIPATION_SETUP;Liege ended war participation;;;;;;;;;x 
LIEGE_ENDED_WAR_PARTICIPATION_LOG;§Y$VASSAL$§! is no longer a participant in §YThe $WAR$§! as $PRONOUN$ liege §Y$LIEGE$§! joined the war as §Y$SIDE$§!.;;;;;;;;;x 
LIEGE_ENDED_WAR_SETUP;Liege ended the war;;;;;;;;;x 
LIEGE_ENDED_WAR_LOG;§YThe $WAR$§! has ended as §Y$LIEGE$§! joined the war as §Y$SIDE$§!.;;;;;;;;;x 
INTERACTION_CANNOT_JOIN_VASSAL_WAR;We cannot join our vassals' wars (except for Crusades/Jihads and for supporting their claims outside your realm);;;;;;;;;x 
EVTTITLE_CM_1021;Reconciliation?;;;;;;;;;x 
EVTDESC_CM_1021;Your mother has come to see you. As she is shown in, she falls to her knees in front of you and says: 'My dearest son. I know my support for your brother in your struggle may have caused you grief. After his death, I have seen how wrong I was to take sides. Please, can you find it in your heart to forgive me and take me into your household, so that I may now repay the injury that I have done to you with new love and loyalty?';;;;;;;;;x 
EVTOPTA_CM_1021;I forgive you, Mother.;;;;;;;;;x 
EVTOPTB_CM_1021;Begone, witch!;;;;;;;;;x 
EVTDESC_CM_1024;My son,\nI write to you to ask that you stop causing trouble for your brother and do not interefere with his plans. He loves you and you should support him instead of making things difficult for him. [Root.Religion.GetRandomGodName] sees all and family should not fight with family.\n\nYour loving mother,\n[From.GetFirstName];;;;;;;;;x 
EVTOPTA_CM_1024;It is clear that she is not on my side.;;;;;;;;;x 
EVTTITLE_CM_1027;Bertrada;;;;;;;;;x 
EVTDESC_CM_1027;Your mother has come to see you. She speaks to you of your brother and the rivalry between you: 'My dear Charles, it grieves me so that your brother Carloman will not support you as he should but rather has wicked designs on your domains. Rest assured, however, that I shall do all in my power to help and support you. I have even written to him, asking him to cease his plotting and acknowledge that, though the realm is divided between you, he recognize you as the primary ruler of the Franks. I fear, however, that he will not listen to me.;;;;;;;;;x 
EVTOPTA_CM_1027;I thank you for your support, Mother.;;;;;;;;;x 
EVTTITLE_CM_1050;Roland;;;;;;;;;x 
EVTDESC_CM_1050;A young nobleman called Roland has approached you, declaring that he wishes to serve you. You have heard his name before, he is known to be a strong warrior and able diplomat, wise beyond his years and especially familiar with the Breton lands to the west. He would surely be a useful addition to your court.;;;;;;;;;x 
EVTOPTA_CM_1050;Welcome, Roland!;;;;;;;;;x 
EVTOPTB_CM_1050;I don't need a new knight.;;;;;;;;;x 
EVTDESC_CM_1052;You have been spending a lot of time talking to [From.GetFullName] recently. He is not only loyal but also wise, amiable and very good company. You find you have many things in common.;;;;;;;;;x 
EVTOPTA_CM_1052;A good and stalwart friend.;;;;;;;;;x 
EVTTITLE_CM_1053;Roland the Brave;;;;;;;;;x 
EVTDESC_CM_1053;Your loyal knight Roland is truly distinguishing himself on campaign. He never fears to lead from the front in battle, he fires up his soldiers with his personal bravery, and he is always first into the fray and the last to withdraw. Where outriders are needed for dangerous scouting missions he insists on going, often being away for days behind enemy lines. If only all your soldiers were this brave and dedicated.;;;;;;;;;x 
EVTOPTA_CM_1053;A model knight indeed.;;;;;;;;;x 
EVTTITLE_CM_1055;The Death of Roland;;;;;;;;;x 
EVTDESC_CM_1055;The battle won, Roland led a small group of knights in aggressive pursuit, leaving the rest of the army far behind. Penetrating deep through the enemy formations and causing havoc, they caused much damage. Then no one knows what happened - maybe they went too far, or maybe they were surprised by an unexpected counterattack. None of them returned...;;;;;;;;;x 
EVTOPTA_CM_1055;Alas! He was my bravest knight!;;;;;;;;;x 
EVTDESC_CM_1057;As your army was retreating, the battle lost, Roland took a small group of knights and rode out to raid the enemy's flank and harass them in order to slow them down so that the rest of your forces could escape. It is said that they fought fiercely and valiantly. However, none of them returned...;;;;;;;;;x 
EVTTITLE_CM_1100;The Saxon Wars;;;;;;;;;x 
EVTDESC_CM_1100;The heathen Saxons living North of the realms of the Franks have for a long time held their own against all foreign conquerors, while defiantly staying true to their old religion and raiding Christian lands with no fear of God. No longer shall it be so - the time has come to bring them both the Sword and the Cross. Mercy is something they will find in the next life, should they accept baptism before they perish.;;;;;;;;;x 
EVTOPTA_CM_1100;Crush the heathens!;;;;;;;;;x 
EVTTITLE_CM_1101;Irminsul;;;;;;;;;x 
EVTDESC_CM_1101;You have captured the great pagan sanctuary at Paderborn, one of the holiest places of Germanic paganism. Here stands the great holy tree of Irminsul, which is said to have an immense importance in the heathen faith of the Saxons. To them, Irminsul represents the 'world tree' and is a focus from which they appear to draw much moral strength and inspiration.;;;;;;;;;x 
EVTOPTA_CM_1101;Burn it!;;;;;;;;;x 
EVTOPTB_CM_1101;Keep it and build a grand Christian church on the site.;;;;;;;;;x 
EVTOPTC_CM_1101;Leave this devil-tree well alone.;;;;;;;;;x 
EVTTITLE_CM_1102;Irminsul destroyed;;;;;;;;;x 
EVTDESC_CM_1102;As the bitter war in Saxony rages on, the armies of [From.GetTitledName] have captured Paderborn, the site of the great shrine of the holy tree of Irminsul. By order of the conquering [From.GetTitle], the troops burned the holy tree and then proceeded to destroy the entire shrine. This has enfuriated people of the Germanic religion everywhere.;;;;;;;;;x 
EVTOPTA_CM_1102;Irminsul! We will have our revenge!;;;;;;;;;x 
EVTOPTB_CM_1102;A foul sacrilege!;;;;;;;;;x 
EVTOPTC_CM_1102;Gloria in excelsis Deo!;;;;;;;;;x 
EVTTITLE_CM_1104;The Blood Court of Saxony;;;;;;;;;x 
EVTDESC_CM_1104;During the course of the Saxon War, you have captured a lot of Saxon prisoners. Many of them are of noble birth and also very defiant in their views and attitude to our righteous Christian conquest. They keep to their heathen ways and scorn the name of Christ. Perhaps it is time to teach these stubborn Saxons a lesson through a show of strength. If we should try, condemn and execute these captured heathen leaders, we may strengthen our cause, please God and put fear into the hearts of our enemies.;;;;;;;;;x 
EVTOPTA_CM_1104;Behead them all!;;;;;;;;;x 
EVTOPTB_CM_1104;I shall be merciful even to these heathens.;;;;;;;;;x 
EVTTITLE_CM_1105;Widukind;;;;;;;;;x 
EVTDESC_CM_1105;The Saxons are a people that cling fiercely to their old traditions. After suffering defeats and conquest in spite of tenacious resistance, discontent has continued to simmer in the Pagan Saxon lands. Raids on tax collectors, defiance of church duties, all these things have been annoyances to the new rulers without really presenting any severe danger. Now, however, things seem to have changed. A rebel leader has emerged, uniting the rebellious Saxons and gathering warriors for more concerted attacks. He calls himself Widukind, a name that means 'Child of the Woods', in obvious reference to old Pagan myths and fitting to the hit-and-run tactics used by his forces thus far. The army he is gathering is growing, however...;;;;;;;;;x 
EVTOPTA_CM_1105;These indomitable Saxons!;;;;;;;;;x 
EVTTITLE_CM_1108;Baptism of Widukind;;;;;;;;;x 
EVTDESC_CM_1108;My Lord, your old enemy Widukind of the Saxons has sent word. He says he recognizes not only the strength of your arms but also the superiority of the Christian faith. He asks for free passage to come to your court in order to be baptized as a Christian. He says he wishes only peace between you and in return for your generosity he will be forever your loyal servant and stay true to the creed of the [Root.Religion.Getname] Church.;;;;;;;;;x 
EVTOPTA_CM_1108;I will welcome him and baptize him.;;;;;;;;;x 
EVTOPTB_CM_1108;Let's invite him here and then kill him.;;;;;;;;;x 
EVTOPTC_CM_1108;I shall not even dignify such a proposal with an answer.;;;;;;;;;x 
EVTTITLE_CM_501;Fall of the Avars;;;;;;;;;x 
EVTDESC_CM_501;The Avar Khaganate was established in Europe in 567 after the Avars had migrated into the Carpathian basin from the east. They crushed the Gepids and allied with the Lombards to form a strong realm in the area. For long periods they alternated between conflict and truce with the Eastern Roman Empire and had close dealings with the Lombard kings. Now, however, this once proud realm has fallen - the area is no longer ruled by an Avar dynasty and shall once again be known by the ancient name of Pannonia.;;;;;;;;;x 
EVTOPTA_CM_501;Hail to the [Root.GetTitle]!;;;;;;;;;x 
EVTOPTB_CM_501;Woe!;;;;;;;;;x 
EVTOPTC_CM_501;Sic transit gloria mundi.;;;;;;;;;x 
EVTTITLE_CM_502;The Kingdom of Italy;;;;;;;;;x 
EVTDESC_CM_502;The ancient Lombard Kingdom was established in Italy after a long history of migration originating in Northern Europe. Along the way, the Lombards themselves have changed, both influencing and becoming influenced by the regions they have settled. Now it has finally come to pass that the Lombard lands in Italy no longer have a Lombard ruler and this effectively spells the end of the name of the Kingdom of the Lombards. We shall henceforth speak of the Kingdom of Italy, but the Lombard heritage shall live on...;;;;;;;;;x 
EVTOPTA_CM_502;Hail to the [Root.GetTitle]!;;;;;;;;;x 
EVTOPTB_CM_502;Yes, it shall live on!;;;;;;;;;x 
EVTOPTC_CM_502;Sic transit gloria mundi.;;;;;;;;;x 
temple_baron_slavic_pagan;Shaman;;;;;;;;;x 
temple_baron_slavic_pagan_reformed;Shaman;;;;;;;;;x 
temple_baron_baltic_pagan;Shaman;;;;;;;;;x 
temple_baron_baltic_pagan_reformed;Shaman;;;;;;;;;x 
temple_baron_aztec;Shaman;;;;;;;;;x 
temple_baron_aztec_reformed;Shaman;;;;;;;;;x 
temple_baron_mazdaki;Vahram;;;;;;;;;x 
temple_baron_manichean;Vahram;;;;;;;;;x 
#coa_plain_pagan;Plain;;;;;;;;;x 
#coa_plain_indian;Plain;;;;;;;;;x 
PICK_YOUR_STARTING_ERA;Choose Your Starting Era;;;;;;;;;x 
PICK_STARTING_ERA_TEXT;Crusader Kings II spans a period of almost 700 years. Choose where in the timeline you want your game to start.;;;;;;;;;x 
DARK_AGES;Early Middle Ages;;;;;;;;;x 
DARK_AGES_INFO;The Early Middle Ages started with the fall of the Western Roman Empire in the early 5th century. The earlier part of this era saw the great Germanic and Slavic migrations across Europe, with peoples such as the Goths and Lombards settling in Southern Europe, the Franks settling in Gaul and Saxons crossing the sea and settling in Britain. The Eastern Roman Empire was violently shaken by the pressure from the Goths and Avars, and fought bitterly with the ancient Persian enemy. The rise of Islam saw the Arabs conquering immense amounts of territory in the Middle East and North Africa, and in India several great dynasties vied for dominance, with the Rashtrakutas rising towards the end of the 8th century. In the steppes, the Khazars grew in power, and in Scandinavia things were about to change in a way that was to affect the entire continent...;;;;;;;;;x 
VIKING_ERA;Viking Age;;;;;;;;;x 
VIKING_ERA_INFO;By the middle of the 9th century, the Norse raiders and adventurers known as the Vikings had already begun to set their indelible mark on the map of Europe, establishing realms in Russia and the British Isles and travelling and raiding as far as the Black Sea and the Mediterranean. The Karling rulers, descendants of Charlemagne, ruled mighty realms in France, Germany and Italy, while the Muslim religion was now firmly established in Spain under the Umayyads. The Byzantine emperor held on, though suffering under increasing pressure from the Caliphate and the Bulgarians. West of the fractured Steppes, The Magyars were poised to make their claim on the Carpathian basin. Islam was spreading rapidly in Persia under rulers such as the Saffarids, and had penetrated into the Indus valley. Further East, the Hindu Pratihara dynasty was expanding.;;;;;;;;;x 
EARLY_MED;High Middle Ages;;;;;;;;;x 
EARLY_MED_INFO;By the late 10th and early 11th centuries the Muslim world was changing, with Turkish dynasties such as the Seljuks and Ghaznavids now dominating Persia. The Byzantine Empire was still holding its own but was to see worse times coming. Central and Western continental Europe was split between France and a strong Holy Roman Empire, while Christian kings were advancing against a fractured and weakened Muslim Spain. Scandinavia was quickly converting to Christianity, and the Norse settlers in Russia and Britain had become assimilated with the local populations. Yet Viking descendants in Normandy and Italy were preparing new conquests, and the time of the First Crusade was approaching...;;;;;;;;;x 
HIGH_MED;Age of the Mongols;;;;;;;;;x 
HIGH_MED_INFO;As Europe entered the 13th century, Constantinople had been weakened by the Turks and sacked by the Fourth Crusade, so the Byzantine Empire was very much weakened. The Turks still reigned in the Middle East and Persia, in India many new kingdoms vied for power after the fall of the old dynasties. The Norman conquest had brought new political and dynastic struggles to England and France, the Christian kingdoms in Spain were continually growing stronger, Scandinavia had left paganism behind and was becoming more centralized. In Russia several principalities struggled for power in the shadow of the Bolghars and Cumans to the east. In Germany and Italy, the Holy Roman Empire still stood firm, but beyond all this, to the east, a new power was to come into play. When the Mongols broke into Eastern Europe and Persia, it changed the balance of power in all of Western Eurasia...;;;;;;;;;x 
LATE_MED;Late Middle Ages;;;;;;;;;x 
LATE_MED_INFO;Europe in the Late Middle Ages was a very different place compared to a few hundred years earlier. Spain was dominated by the Christian kingdoms, the Muslim rulers only clinging on in the south. The Holy Roman Empire still dominated Central Europe next to a strong Hungary, while in France and England dynastic conflicts with roots in the Norman conquest were to lead to long and bloody wars. The Golden Horde and the Ilkhanate dominated the Steppes and Persia, forcing every ruler between Central Europe and India to take the Mongols into account. The Tughluq dynasty ruled an immense empire in India, while North Africa was divided between various Arab dynasties. Turkish domination in the Middle East seemed to have been ended by the Mongol conquests, but in Anatolia a dynasty known as the Ottomans was stirring...;;;;;;;;;x 
PICK_ERA_YEAR;$YEAR$ A.D.;;;;;;;;;x 
ERA_CHAR_INFO_6392;Son of Pepin the Short and a descendant of Charles Martel, Charlemagne (or Karl, as his contemporaries called him) became joint king of the Franks with his brother Karloman in 769. After a two-year power struggle, Karloman suddenly and conveniently fell ill and died, leaving Karl as sole ruler of the Franks.  He then proceeded to make the kingdom greater than ever before, conquering Saxony, Lombardy and other lands with equal measures of good strategic planning and ruthlessness. He was eventually crowned Holy Roman Emperor by pope Leo III, and his descendants were to rule large parts of Europe for a long time to come.;;;;;;;;;x 
ERA_CHAR_INFO_144999;Karloman became joint king of the Franks together with his brother Karl in 768. The two brothers were not friends, rather a rivalry ensued. Karloman was outmaneuvered by his brother's alliance with the Lombards, and sought the support of the Pope in order to counter this, but did ultimately not succeed. He died unexpectedly in 771, just as war for the Frankish crown seemed inevitable. It has been claimed that he was poisoned, but this was never proven...;;;;;;;;;x 
ERA_CHAR_INFO_73679;Abd-al-Rahman I was born near Damascus in Syria, but had to flee his homeland when the Abbasids took power. He spent several years in exile before arriving in Spain, where he managed to seize power and declare himself ruler of Al-Andalus. He wanted to return east and avenge himself on the Abbasids, but the need to deal with issues closer to home kept preventing him from doing so. He instead set his mark on the history of Spain, establishing the rule of his dynasty there for centuries to come.;;;;;;;;;x 
ERA_CHAR_INFO_190347;Desiderius became King of the Lombards in 756 after putting down the revolt of his rival Ratchis. Throughout his reign, he was constantly in competition with the popes and the southern dukes for domination of Italy. He sought an alliance with Charlemagne but when the latter divorced his daughter relations were soured. Eventually the kingdom was invaded and conquered by the Franks, making Desiderius the last Lombard king.;;;;;;;;;x 
ERA_CHAR_INFO_34002;Al-Mansur became sole ruler of the Caliphate after the death of his brother. After defeating several potential challengers to his rule, he led a long and relatively stable reign over his huge empire. His time in power saw the rise of new Islamic literature and scholarship, thanks to cultural tolerance, conversion of new peoples and groups to Islam and a further inclusion of the Persian world into the Caliphate. His reign also saw tentative diplomatic contacts with realms as far away as China.;;;;;;;;;x 
ERA_CHAR_INFO_74413;Krishna I of the Rashtrakuta dynasty took power in 756, defeating several competitors for the throne in order to secure his realm. He fought wars against the Chalukyas and Pratiharas and conquered Karnataka, making his dynasty more powerful than ever before. He was also a great patron to builders and commissioned many new temples and monuments.;;;;;;;;;x 
ERA_CHAR_INFO_163112;Halfdan Whiteshirt was born the son of legendary Viking Ragnar Lodbrok. He made several successful expeditions, journeying primarily to England, and later was one of the leaders of the Great Heathen Army of 865. Halfdan managed to build a large realm for himself in England, including areas as far south as London, but later ran into trouble with his peers and was expelled from the realm. He then sought out new adventures and eventually died as a Viking on another bold expedition.;;;;;;;;;x 
ERA_CHAR_INFO_40605;Rurik was a viking of Swedish origin who took advantage of the internal struggles of the tribes around Ladoga to conquer and establish a strong Norse realm in the east. His successors expanded their influence and eventually ruled as far south as Kiev, and the dynasty soon also adopted the Slavic language and customs (as Viking settlers often did). The descendants of Rurik would eventually become the first Tsars of Russia.;;;;;;;;;x 
ERA_CHAR_INFO_90104;When Louis the Pious died, civil war broke out in the Carolingian Empire between his sons due to disagreements over the inheritance. In the settlement that followed the war, Charles was given West Francia. Once Lothair died, however, the balance of power was broken and Charles fought long and bitterly with his brother Ludwig over primacy and over the lands that Lothar had left behind. After Ludwig's death, Charles tried to make a grab for the German lands, but he died during the resulting war in 877 while crossing the Alps.;;;;;;;;;x 
ERA_CHAR_INFO_90107;After making peace with his brothers at the Treaty of Verdun, Ludwig ruled over East Francia and Bavaria, lands that he had already administrated before his father's death. After this, he was locked in constant struggles to expand his power in the Frankish Empire, sometimes allying with his brother Charles the Bald and sometimes fighting him. He was also engaged with suppressing rebellions in Saxony and fighting wars on the Moravian border. He was a great sponsor of the church, using it as a means to suppress pagan subjects, and Germany started to develop its own identity as a kingdom during his reign.;;;;;;;;;x 
ERA_CHAR_INFO_1700;Basil the Macedonian was born to simple peasant parents in Macedonia. After a tumultuous early life, he eventually entered the service of relatives of the imperial house. With time, he became a friend and confidant of Emperor Michael. Using his position to advance his interests, he soon became co-emperor and eventually murdered Michael to become sole emperor. Once in power, he developed a reputation for efficiency and dedication to the empire. He restored good relations with the Pope and strengthened the eastern frontier in spite of hard-fought wars with the Paulicians and the Arabs.;;;;;;;;;x 
ERA_CHAR_INFO_34014;Al-Mu'tazz became Caliph in 866, at only 19 years of age, in a situation where the Abbasid Empire was rife with power struggles between different factions. After a very bloody period of dealing with his various enemies he looked like he was coming out on top, but by then his coffers were empty and a rebellion among the soldiers turned his fortunes around. In the end he was taken prisoner, beaten and locked in a room to starve to death. He was 24 years old when he died.;;;;;;;;;x 
ERA_CHAR_INFO_140;William the Conqueror, a descendant of the Viking chief Rollo, became duke of Normandy at a very young age, a situation compounded by the fact that he was also a bastard. Early on he was constantly being used as a pawn by rival factions in the duchy, with a succession of his guardians being murdered. Once he reached adulthood, he faced years of warfare in order to take full control over his duchy, eventually emerging victorious. In 1066 he successfully invaded England to press a claim on the English throne. He spent the remainder of his reign consolidating and reforming his new kingdom in the face of sometimes fierce opposition.;;;;;;;;;x 
#ERA_CHAR_INFO_1316;As son of Holy Roman Emperor Conrad II, Heinrich was crowned King of Germany when he was only 11 years old. When he became older he undertook extensive travels across his domains, taking great interest in his position and also in pious matters. As a young man, he launched several successful military campaigns against Bohemia and Hungary. Once crowned emperor in 1046, he continued to rule actively and participated in several more wars on the empire's borders.;;;;;;;;;x 
ERA_CHAR_INFO_1128;Robert Guiscard was the sixth son of Tancred de Hauteville, a petty Norman lord. Just like his brothers, he left Normandy with a small force of followers to seek his fortune in Italy. A brilliant and ruthless leader, he spent several years building a reputation as a mercenary, and the ever changing political landscape in Italy eventually saw the pope investing him as Duke of Apulia. In further campaigns, he proceeded to conquer Sicily, fighting both the Saracens and the Byzantines to secure control. He thus established Norman rule in southern Italy and his conquests had a profound long term impact on the region.;;;;;;;;;x 
#ERA_CHAR_INFO_3096;Caliph Al-Mustansir of Fatimids;;;;;;;;;x 
#ERA_CHAR_INFO_3040;Alp Arslan of Seljuks;;;;;;;;;x 
#ERA_CHAR_INFO_74441;Somesvara I of Chalukyas;;;;;;;;;x 
#ERA_CHAR_INFO_457620;Fernando II of Castile;;;;;;;;;x 
#ERA_CHAR_INFO_167219;Heinrich of the Hansa;;;;;;;;;x 
#ERA_CHAR_INFO_212513;Friedrich II of the HRE;;;;;;;;;x 
ERA_CHAR_INFO_98003;Béla IV came from the long lineage of the Árpád rulers of Hungary. He refused to swear fealty to the Mongol Khan Ögödei and thus was faced with a Mongol invasion of Hungary. All seemed lost but salvation came with the death of Ögödei in 1242 since Batu of the Golden Horde ordered the army to safeguard the election of a new Great Khan back in Asia. Béla spent the following years building his kingdom in preparation for another Mongol invasion and became known as the Second Founder of the State.;;;;;;;;;x 
