#CODE;ENGLISH;;;;;;;;;x 
AIREASON_ALL_HELP_IS_APPRECIATED;All help is appreciated;;;;;;;;;x 
EVTOPTA61123;*nod head almost imperceptibly*;;;;;;;;;x 
EVTOPTB61123;*sag head and lapse into deep slumber*;;;;;;;;;x 
EVTTOOLTIP61124;You give [From.GetTitledName] your blessing.;;;;;;;;;x 
EVTDESC61124;Though [Root.Liege.GetSheHe] is not quite [Root.Liege.GetHerselfHimself] these days, you feel that your liege has given [Root.Liege.GetHerHis] blessing to take decisive action against [Root.Liege.Regent.GetTitledName]. Rally some dependable men! The realm needs a new regent!;;;;;;;;;x 
EVTOPTA61124;It is only fair that I serve as regent of [Root.Liege.GetTitledFirstName].;;;;;;;;;x 
EVTOPTB61124;Anyone is better than [Root.Liege.Regent.GetFirstName].;;;;;;;;;x 
EVTTOOLTIP61125;you becoming the next regent.;;;;;;;;;x 
EVTTOOLTIP61126;the court appointing a new regent.;;;;;;;;;x 
EVTDESC61125;We have trapped [Root.Liege.Regent.GetFirstName] in one of the castle towers like a cornered rat! Those few guards at court that supported [Root.Liege.Regent.GetHerHim] have fled or been cut down.;;;;;;;;;x 
EVTOPTA61125;Off to the dungeons with [Root.Liege.Regent.GetHerHim]!;;;;;;;;;x 
EVTDESC61127;[Root.Liege.Regent.GetFirstName] had more support at court than expected. We fought bravely in defense of the realm, but most of the guards rallied to the side of [Root.Liege.Regent.GetFirstName]. All is lost!;;;;;;;;;x 
EVTOPTA61127;Unhand me in the name of [Root.Liege.GetTitledFirstName]!;;;;;;;;;x 
EVTTOOLTIP61127;you being thrown in the dungeons.;;;;;;;;;x 
EVTDESC61128;[From.GetTitledName], the fool, has decided to end your regency out of misguided sympathy for [Root.Liege.GetTitledFirstName]. Fortunately enough guards rallied to your side to thwart [From.GetHerHis] little scheme.;;;;;;;;;x 
EVTOPTA61128;Let [From.GetHerHim] rot in the dungeons.;;;;;;;;;x 
EVTDESC61129;[From.GetTitledName], the fool, has decided to end your regency out of misguided sympathy for [Root.Liege.GetTitledFirstName]. The treacherous guards seem to have left you to your fate!;;;;;;;;;x 
EVTOPTA61129;Have you no sense of humor?;;;;;;;;;x 
EVTTOOLTIP61129;[Root.Liege.Regent.GetFirstName] is thrown in the dungeons.;;;;;;;;;x 
EVTDESC61130;[From.GetTitledFirstName] failed to replace your regent and is now languishing in your castle dungeons. It seems your suffering at the hands of [Root.Regent.GetTitledFirstName] will end only in the blissful embrace of death...;;;;;;;;;x 
EVTOPTA61130;*blink away single tear*;;;;;;;;;x 
EVTOPTB61130;*utter incomprehensible oath*;;;;;;;;;x 
EVTDESC61131;From where you were propped up on your throne, you could hear shouting and the distinct sound of steel striking steel inside the castle. The men loyal to [From.GetTitledFirstName] prevailed against [Root.Regent.GetTitledFirstName]! No longer will [Root.Regent.GetHerHis] vile presence be felt at court, and a new regent is to be appointed forthwith.;;;;;;;;;x 
EVTOPTA61131;*contort face in grimace vaguely resembling smile*;;;;;;;;;x 
EVTOPTB61131;*flail arms about in wild celebration*;;;;;;;;;x 
EVTDESC61135;As you ride through the empty corridors of your castle on your trusty wooden stick horse, you come across your regent, [Root.Regent.GetTitledName], getting some fresh air on a balcony... with [Root.Regent.GetHerHis] back turned against you.;;;;;;;;;x 
EVTOPTA61135;Charge!;;;;;;;;;x 
EVTOPTB61135;No, I'm a good [Root.GetLadLass].;;;;;;;;;x 
EVTDESC61140;It suddenly dawns on you - when [Root.Liege.GetTitledFirstName] comes of age, your title as regent of the realm is forfeit. Perhaps something could be done to extend your enlightened stewardship of the throne... for the good of the realm, of course.;;;;;;;;;x 
EVTOPTA61140;The whelp is not fit to rule - not now, not ever!;;;;;;;;;x 
EVTOPTB61140;For better or worse, I will step down when the [Root.Liege.GetLadLass] is ready.;;;;;;;;;x 
EVTDESC61141;It is becoming increasingly obvious that [Root.Liege.GetTitledFirstName] is a very... special child. You can no longer explain away [Root.Liege.GetHerHis] growing madness as the mere eccentricities of youth.;;;;;;;;;x 
EVTOPTA61141;This is not a decision I take lightly, but something must be done.;;;;;;;;;x 
EVTOPTB61141;Perhaps the madness will disappear with age and maturity...;;;;;;;;;x 
EVTDESC61142;The mad [Root.Liege.GetTitledFirstName] has been imprisoned in one of the castle towers, and your regency will continue until the child is declared sound of mind, regardless of [Root.Liege.GetHerHis] age.;;;;;;;;;x 
EVTOPTA61142;It is for the good of the realm.;;;;;;;;;x 
EVTTOOLTIP61145;having [Root.Liege.GetTitledFirstName] declared insane.;;;;;;;;;x 
EVTDESC61145;Through skillful conniving, you have managed to see [Root.Liege.GetTitledFirstName] declared insane. Until [Root.Liege.GetHerHis] mental state improves, the child will remain locked up in one of the castle towers while your illustrious regency continues.;;;;;;;;;x 
EVTOPTA61145;Ha! That day will never come.;;;;;;;;;x 
EVTDESC61146;All of your attempts to have [Root.Liege.GetTitledFirstName] declared insane have failed. Before long the [Root.Liege.GetLadLass] will be a [Root.Liege.GetManWoman], and you may have made yourself a powerful enemy...;;;;;;;;;x 
EVTOPTA61146;Well, [Root.Liege.GetSheHe] looked insane to me...;;;;;;;;;x 
EVTTOOLTIP61146;failing to do so.;;;;;;;;;x 
EVTDESC61150;Your regent, [Root.Regent.GetTitledName], seems to have been conspiring to have you declared insane in a futile attempt to extend [Root.Regent.GetHerHis] regency. Unfortunately for [Root.Regent.GetHerHim], it is obvious to all that you are sound of mind.;;;;;;;;;x 
EVTOPTA61150;Some day [Root.Regent.GetSheHe] will regret this treachery.;;;;;;;;;x 
EVTOPTB61150;I'm not mad. Tell them, Mr. Flibble.;;;;;;;;;x 
EVTDESC61151;Your scheming snake of a regent, [Root.Regent.GetFirstName], has managed to convince the court that you are insane! The decision has been made to lock you up in one of the castle towers until you are deemed mentally fit to rule, regardless of your age.;;;;;;;;;x 
EVTOPTA61151;I'm not insane! I'm not!;;;;;;;;;x 
EVTOPTB61151;I shall plead with the King of the Turnip People for my freedom.;;;;;;;;;x 
EVTDESC61155;For fifteen years [Root.Liege.GetTitledFirstName] has been locked up under guard while you have served as [Root.Liege.GetHerHis] regent. You are the true ruler of the realm in all but name. Perhaps the time has come to end this charade.;;;;;;;;;x 
EVTOPTA61155;Seize the throne!;;;;;;;;;x 
EVTOPTB61155;No, appearances must be kept.;;;;;;;;;x 
EVTOPTC61155;I have had enough. Release the [Root.Liege.GetLadLass].;;;;;;;;;x 
EVTDESC61156;At long last, the throne is yours. The degrading charade you have been forced to endure all these years has come to an end. You are [Root.Liege.GetTitle] now, both in title and practise. Long live the [Root.Liege.GetTitle]!;;;;;;;;;x 
EVTOPTA61156;I earned this.;;;;;;;;;x 
EVTTOOLTIP61156;stealing the throne.;;;;;;;;;x 
EVTDESC61157;The ingrates at court have refused to embrace you as their true liege! For your audacity in pursuing this claim, they have stripped you of your title as regent and released [Root.Liege.GetTitledFirstName] from [Root.Liege.GetHerHis] imprisonment.;;;;;;;;;x 
EVTOPTA61157;Fools! The realm will suffer now.;;;;;;;;;x 
EVTTOOLTIP61157;failing miserably.;;;;;;;;;x 
EVTDESC61160;Your treacherous regent seems to have finally bitten off more than [Root.Regent.GetSheHe] could chew. An attempt to completely usurp your throne has backfired, and [Root.Regent.GetTitledName] has been stripped of [Root.Regent.GetHerHis] title as regent. You have been released, and can now assume your rightful position as [Root.GetLordLady] of this realm.;;;;;;;;;x 
EVTOPTA61160;Is... is that the sun?;;;;;;;;;x 
EVTTOOLTIP61160;The [Root.Liege.GetTitle] is set free!;;;;;;;;;x 
EVTDESC61161;While you were locked up, your regent has been busily gathering enough support at court to finally steal away your title. The despicable theft of your birthright is now complete.;;;;;;;;;x 
EVTOPTA61161;This is not happening...;;;;;;;;;x 
EVTTOOLTIP61161;A new [Root.Liege.GetTitle].;;;;;;;;;x 
EVTDESC61165;You cunningly trick one of the guards into leaving the door to your tower unlocked. After escaping into the castle, you kick open the door to the main chamber where your jackal regent [Root.Regent.GetFirstName] sits bewildered on your throne. As the confused courtiers whisper to each other, you bellow at the top of your lungs:;;;;;;;;;x 
EVTOPTA61165;Hear me! I am the rightful [Root.GetLordLady] of this land!;;;;;;;;;x 
EVTOPTB61165;GOBBLEDYGOOK!;;;;;;;;;x 
EVTDESC61166;The guards escort you back to your tower and nail the door shut from the outside...;;;;;;;;;x 
EVTOPTA61166;If this is to be my kingdom, then so be it.;;;;;;;;;x 
EVTTOOLTIP61166;Well, you gave it your best shot...;;;;;;;;;x 
EVTDESC61170;Disaster! Somehow [Root.Liege.GetTitledFirstName] has managed to escape from his tower and rally enough support to oust you from your position as regent! The guards turn on you and throw you into the dungeon.;;;;;;;;;x 
EVTOPTA61170;It was not to be.;;;;;;;;;x 
EVTTOOLTIP61170;Your regent is arrested.;;;;;;;;;x 
EVTDESC61190;The throne shan't be yours so long as [Root.Liege.GetTitledFirstName] draws breath. If an accident was to befall the whelp... they happen so easily, after all. As [Root.Liege.GetHerHis] regent, perhaps you should appoint some simple chores to the [Root.Liege.GetLadLass]. The castle roof has long needed to be scrubbed clean of bird-droppings...;;;;;;;;;x 
EVTOPTA61190;It builds character.;;;;;;;;;x 
EVTOPTB61190;No, that would not be worthy of a [Root.Liege.GetTitle].;;;;;;;;;x 
EVTDESC61191;At times you can't shake the feeling that your regent, [Root.Regent.GetTitledName], does not always have your best in mind. Claiming it will build character, [Root.Regent.GetSheHe] has given you the dangerous task of scrubbing away bird-droppings from the castle roof. If you lose your balance even once...;;;;;;;;;x 
EVTOPTA61191;Isn't this what servants are for?;;;;;;;;;x 
EVTTOOLTIP61191;May perish in an unfortunate accident.;;;;;;;;;x 
EVTDESC61192;You had a few close calls, but the roof is now shining clean and you made it down in one piece. If the confounded birds return, you will have a chance to hone your skills at archery.;;;;;;;;;x 
EVTOPTA61192;An honest day's work.;;;;;;;;;x 
EVTTOOLTIP61192;a roof free of bird excrements.;;;;;;;;;x 
EVTDESC61195;So the child has a good sense of balance. No matter. Perhaps a trip to the countryside would do [Root.Liege.GetTitledFirstName] some good. There are some dense woods not far from here, infested with wolves and bandits. One could easily get lost in them...;;;;;;;;;x 
EVTOPTA61195;Come, [Root.Liege.GetFirstName]. You are going on a little trip.;;;;;;;;;x 
EVTOPTB61195;The risk is too great.;;;;;;;;;x 
EVTDESC61196;[Root.Regent.GetFirstName], your regent, has arranged for you to tour the nearby countryside and visit your subjects living there. As you enter a dense forest, your escort mysteriously melts away into the brush and you are left to fend for yourself.;;;;;;;;;x 
EVTOPTA61196;H-hello? Anyone?;;;;;;;;;x 
EVTDESC61197;The guards at the castle gates nearly turn you away as peasant rabble when you finally make it back. Your face is caked with dirt, your fancy clothes are torn, but your signet ring proves your identity. Blind luck alone helped you conceal it from the bandits you met on the way.;;;;;;;;;x 
EVTOPTA61197;My feet hurt.;;;;;;;;;x 
EVTTOOLTIP61197;safely returning to civilization (such as it is).;;;;;;;;;x 
EVTDESC61200;Unbelievable... the runt made it back alive! Well, this time I have arranged for a special carriage to take [Root.Liege.GetTitledFirstName] to meet with a foreign dignitary. The driver has been instructed to lose control of the carriage at a certain point on the journey, sending the whole thing careening down a ravine...;;;;;;;;;x 
EVTOPTA61200;You leave at dawn, [Root.Liege.GetFirstName].;;;;;;;;;x 
EVTOPTB61200;It will never work.;;;;;;;;;x 
EVTDESC61201;Your old bore of a regent, [Root.Regent.GetFirstName], wants you to meet with some foreign dignitary in the middle of nowhere. As your carriage travels alongside a deep ravine, the driver suddenly seems to lose control of the horses...;;;;;;;;;x 
EVTOPTA61201;*scream like a girl*;;;;;;;;;x 
EVTDESC61202;You throw yourself to safety only moments before the carriage loses one of its wheels, tips over and plummets down the ravine. The driver, who jumped off at the first sign of trouble, looks at you with a frown that almost seems disappointed.;;;;;;;;;x 
EVTOPTA61202;The clumsy oaf should hang for this.;;;;;;;;;x 
EVTTOOLTIP61202;surviving a tragic carriage accident.;;;;;;;;;x 
EVTDESC61205;You take a moment up on the castle ramparts to contemplate your bad luck in dealing with [Root.Liege.GetTitledFirstName], only to see the carefree little scamp strut past below. Next to you is an especially corpulent guard leaning half-asleep against his halberd. A gentle push could send him falling down on [Root.Liege.GetFirstName]...;;;;;;;;;x 
EVTOPTA61205;*tackle the guard with all your might*;;;;;;;;;x 
EVTOPTB61205;No, fortune clearly favors this [Root.Liege.GetLadLass].;;;;;;;;;x 
EVTDESC61206;You walk through the castle courtyard minding your own business when a dark shadow suddenly forms around you. There is just enough time to look up and see the screaming, grossly overweight guard tumbling down at you from the upper ramparts.;;;;;;;;;x 
EVTOPTA61206;Oh dear.;;;;;;;;;x 
EVTDESC61207;As if by divine intervention, the guard narrowly misses you and impacts the ground just ahead with a heavy, bone-shattering thud. Above, on the rampart from which he fell, stands your regent, [Root.Regent.GetFirstName]. With a trembling voice [Root.Regent.GetSheHe] asks if you are all right.;;;;;;;;;x 
EVTOPTA61207;Better than the guard.;;;;;;;;;x 
EVTTOOLTIP61207;not cushioning the guard's fall at your own expense.;;;;;;;;;x 
EVTDESC61210;Enough games. If you want the [Root.Liege.GetLadLass] dead, you will clearly have to take more direct action! Blinded by rage and with your best dagger in hand, you rush towards [Root.Liege.GetHerHis] bedchamber...;;;;;;;;;x 
EVTOPTA61210;DIE!!!;;;;;;;;;x 
EVTOPTB61210;I must keep my wits about. I could lose everything...;;;;;;;;;x 
EVTDESC61211;You retreat to your bedchamber to consider the unlikely series of accidents you have suffered recently. Suddenly the door flies ajar with a bang. Your regent, [Root.Regent.GetTitledName], stands before you, [Root.Regent.GetHerHis] eyes burning with hatred. A sharp dagger is clutched in [Root.Regent.GetHerHis] hand and without a word, [Root.Regent.GetSheHe] lunges at you...;;;;;;;;;x 
EVTOPTA61211;Help! Guards!;;;;;;;;;x 
EVTTOOLTIP61211;May perish in an unfortunate stabbing spree.;;;;;;;;;x 
EVTOPTA61212;Did... did I miss something?;;;;;;;;;x 
EVTTOOLTIP61212;bravely evading the dagger.;;;;;;;;;x 
EVTDESC61213;Before you can plunge your blade into the wretched little monster's heart, [Root.Liege.GetHerHis] guards intervene and you are dragged away kicking and screaming to the dungeons. Can't they see that [Root.Liege.GetSheHe] HAS to die?;;;;;;;;;x 
EVTOPTA61213;Let me kill [Root.Liege.GetHerHim]. Just a little bit.;;;;;;;;;x 
EVTDESC61215;Somehow [Root.Liege.Regent.GetTitledName] has managed to worm [Root.Liege.Regent.GetHerHis] way into being titled regent of poor [Root.Liege.GetTitledFirstName]. This grave error could cost the realm dearly - clearly there is no one better qualified than you for this position.;;;;;;;;;x 
EVTOPTA61215;Challenge the coward to single combat!;;;;;;;;;x 
EVTOPTB61215;Make your case at court.;;;;;;;;;x 
EVTOPTC61215;It is not worth the effort.;;;;;;;;;x 
EVTDESC61216;Doubts have been expressed at court whether you truly have the skill and ability required to serve as the [Root.Liege.GetTitle]'s regent. [From.GetTitledName] has accused you of incompetence and is arguing that the realm would benefit much more if [From.GetSheHe] was regent.;;;;;;;;;x 
EVTOPTA61216;Challenge the coward to single combat!;;;;;;;;;x 
EVTOPTB61216;Rally support at court.;;;;;;;;;x 
EVTOPTC61216;Abdicate your position.;;;;;;;;;x 
EVTTOOLTIP61216;Regency put into question.;;;;;;;;;x 
EVTDESC61217;You have successfully made your case at court, and been appointed as the new regent of [Root.Liege.GetTitledFirstName]. The realm is now safely delivered from the incompetent hands of [Root.Liege.Regent.GetTitledName].;;;;;;;;;x 
EVTOPTA61217;[Root.Liege.GetTitledFirstName] should be pleased.;;;;;;;;;x 
EVTTOOLTIP61217;Becomes new regent.;;;;;;;;;x 
EVTDESC61218;It seems [Root.Liege.Regent.GetTitledName] had too many friends at court. Your attempts to replace [Root.Liege.Regent.GetHerHim] as regent have met with failure, and [Root.Liege.Regent.GetSheHe] is none too pleased...;;;;;;;;;x 
EVTOPTA61218;I did it for [Root.Liege.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTA61219;Those who doubted me will be sorry.;;;;;;;;;x 
EVTTOOLTIP61219;successfully defending your regency.;;;;;;;;;x 
EVTDESC61220;[From.GetTitledName] has somehow managed to convince the sycophants at court to appoint [From.GetHerHim] as the new regent of [Root.Liege.GetTitledFirstName].;;;;;;;;;x 
EVTOPTA61220;Fools!;;;;;;;;;x 
EVTTOOLTIP61220;losing your regency to [From.GetTitledName].;;;;;;;;;x 
EVTDESC61221;[From.GetTitledName] has accused you of cowardice and incompetence! He claims you are not fit to serve as the regent of [Root.Liege.GetTitledFirstName], and has challenged you to single combat for the title.;;;;;;;;;x 
EVTOPTA61221;At last, someone who understands politics!;;;;;;;;;x 
EVTOPTB61221;I need not prove my martial prowess.;;;;;;;;;x 
EVTOPTC61221;If he wants the title so badly, he can have it.;;;;;;;;;x 
EVTTOOLTIP61221;The challenge is issued!;;;;;;;;;x 
EVTDESC61222;That madman [Root.Liege.Regent.GetTitledName] has challenged you to a duel in what can only be a desperate bid to preserve his regency. What say you?;;;;;;;;;x 
EVTOPTA61222;Ha! I would have it no other way!;;;;;;;;;x 
EVTOPTB61222;Surely you jest... a duel? He can keep the bloody regency.;;;;;;;;;x 
EVTDESC61223;[Root.Liege.Regent.GetTitledName] has accepted your terms. As dawn breaks, you meet on a field just outside [Root.Location.GetName]. The mist still lies thick on the ground and the brilliance of the early morning sun is reflected in the shining steel of your weapons and armor. It is a good day to die.;;;;;;;;;x 
EVTOPTA61223;Have at thee!;;;;;;;;;x 
EVTTOOLTIP61223;Challenge accepted!;;;;;;;;;x 
EVTDESC61224;[From.GetTitledName] has accepted your terms. As dawn breaks, you meet on a field just outside [Root.Location.GetName]. The mist still lies thick on the ground and the brilliance of the early morning sun is reflected in the shining steel of your weapons and armor. It is a good day to die.;;;;;;;;;x 
EVTOPTA61224;Come then. Let us settle this.;;;;;;;;;x 
EVTOPTB61224;He actually came? I... I am needed elsewhere.;;;;;;;;;x 
EVTOPTA61225;The matter is settled.;;;;;;;;;x 
EVTTOOLTIP61225;delivering a killing blow.;;;;;;;;;x 
EVTOPTA61226;Learn from this. Do not oppose me again.;;;;;;;;;x 
EVTTOOLTIP61226;inflicting a serious wound.;;;;;;;;;x 
EVTDESC61227;As the blackness recedes and your sight returns, you find yourself lying on your back in the tall grass. You feel the warm, sticky sensation of blood gushing from a deep wound somewhere beneath your mail. Your foe leans over you in silence, ready to deal the finishing blow, but to your shame elects to spare your wretched life.;;;;;;;;;x 
EVTOPTA61227;I have been robbed of a glorious death.;;;;;;;;;x 
EVTTOOLTIP61227;The regent loses, is maimed.;;;;;;;;;x 
EVTOPTA61228;There was never any doubt how this would end.;;;;;;;;;x 
EVTTOOLTIP61228;delivering a killing blow.;;;;;;;;;x 
EVTOPTA61229;Be gone from my sight. Ye are not fit to serve the [Root.Liege.GetTitle].;;;;;;;;;x 
EVTOPTB61229;Only one of us can leave this field alive, friend. I am sorry.;;;;;;;;;x 
EVTTOOLTIP61229;inflicting a serious wound.;;;;;;;;;x 
EVTDESC61230;As the blackness recedes and your sight returns, you find yourself lying on your back in the tall grass. You feel the warm, sticky sensation of blood gushing from a deep wound somewhere under your mail. Your foe leans over you in silence, ready to deal the finishing blow, but to your shame elects to spare your wretched life.;;;;;;;;;x 
EVTOPTA61230;I have been robbed of a glorious death.;;;;;;;;;x 
EVTTOOLTIP61230;spared from death.;;;;;;;;;x 
EVTDESC61231;You arrive at the agreed upon location of the duel, only to find that [From.GetTitledName] is nowhere to be found. The coward dares not face you after all!;;;;;;;;;x 
EVTOPTA61231;That worm.;;;;;;;;;x 
EVTTOOLTIP61231;Informed of your shameful cowardice.;;;;;;;;;x 
EVTDESC61232;Your opponent plunges his sword deep into your flank, and it takes you a few confused moments to realize all that blood is coming from you. You fall to your knees as life fades away...;;;;;;;;;x 
EVTOPTA61232;It wasn't supposed to end like this...;;;;;;;;;x 
EVTTOOLTIP61232;is put out of his misery.;;;;;;;;;x 
EVTDESC61235;Your former regent has been bested in single combat. The duel's victor, [Root.Liege.Regent.GetTitledName], has taken his place.;;;;;;;;;x 
EVTDESC61236;Due to court intrigue well beyond your present ability to comprehend, your current serving regent has been replaced with another.;;;;;;;;;x 
EVTDESC61237;I should be the one to rule in my husband's stead, not [Root.Liege.Regent.GetTitledName]. It is only proper.;;;;;;;;;x 
EVTOPTA61237;Make it so!;;;;;;;;;x 
EVTDESC61238;As Queen Mother, I have decided to take over the responsibilities and duties of [Root.Liege.GetTitledFirstName]'s regency.;;;;;;;;;x 
EVTOPTA61238;[Root.Liege.Regent.GetTitledName], you are dismissed.;;;;;;;;;x 
EVTDESC61239;Your loving wife has decided that she would do a better job serving as your regent. After all, who but her could rule the realm in accordance with your own desires?;;;;;;;;;x 
EVTOPTA61239;No one.;;;;;;;;;x 
EVTOPTB61239;I have a wife?;;;;;;;;;x 
EVTOPTC61239;That hag!;;;;;;;;;x 
EVTDESC61240;The Queen Mother has used her considerable influence to step in as your regent. May the realm benefit from her wisdom and experience.;;;;;;;;;x 
NEW_DLC_AVAILABLE;New content is now available for purchase;;;;;;;;;x 
EVTDESC1980;Women do not interest me, instead I feel drawn to other men.;;;;;;;;;x 
EVTDESC1990;Men do not interest me, instead I feel drawn to other women.;;;;;;;;;x 
EVTDESC20292;My liege,\nI write to you with shocking news! [FromFrom.GetTitledName] tried to have me assassinated to make sure I wouldn't discover [FromFrom.GetHerHis] plot to [FromFrom.GetPlot].\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTB8118;Actually, going to war was not my plan...;;;;;;;;;x 
WAR_NAME_CLAIM_VASSAL;$ATTACKER$'s $ORDER$War to Revoke $OTHER_TITLE$;;;;;;;;;x 
EVTDESC100000;The cook accused me of stealing cookies, the spymaster insisted I had stolen his quill and I was accused of making a lot of mischief. For once, I was innocent. I found the perpetrator playing with the quill and stuffing his face with cookies just outside the stable...;;;;;;;;;x 
EVTOPTA100000;Tell them you stole the cookies and the quill!;;;;;;;;;x 
EVTTOOLTIP100001;[Root.GetTitledFirstName] and [This.GetTitledFirstName] becomes rivals;;;;;;;;;x 
EVTOPTB100000;Let us wreak havoc together!;;;;;;;;;x 
EVTTOOLTIP100002;[Root.GetTitledFirstName] and [This.GetTitledFirstName] mischievous planning makes them friends;;;;;;;;;x 
EVTDESC100001;I had watched the cook scold [From.GetFirstName] and the spymaster try to bribe [From.GetHerHim] to give back his quill to no avail - I held the bluish, precious quill in my right hand and a cookie in my left. While playing with it and eating cookies I did not notice [From.GetFirstName] sneak up on me and snatch the quill from my hands.;;;;;;;;;x 
EVTOPTA100001;Hey! Give that back, that's mine now!;;;;;;;;;x 
opinion_rival;Rival;;;;;;;;;x 
EVTDESC100002;I thought [From.GetFirstName] would tell the cook it was I who had stolen the cookies and make me give the quill back to the spymaster. [From.GetFirstName] surprised me when [From.GetSheHe] instead asked me how I managed to steal the quill right under the spymaster's nose and wanted my help to get back at the cook for scolding [From.GetHerHim].;;;;;;;;;x 
EVTOPTA100002;I could do that!;;;;;;;;;x 
#EVTDESC100005;Whenever we play, me in the middle most times, there's one child who instead of joining us laughing as loud and as much as we do goes away to read under the shadow of a tree or near the flaming fireplace. Why read dusty, boring old books when you could play knights and ladies or catch frogs in the pond?;;;;;;;;;x 
EVTOPTA100005;Tease the shy child;;;;;;;;;x 
EVTTOOLTIP100006;[This.GetFirstName] is teased by [Root.GetFirstName];;;;;;;;;x 
EVTOPTB100005;I ask if the child would like to borrow my toy sword;;;;;;;;;x 
EVTTOOLTIP100007;[Root.GetFirstName] talks to [This.GetFirstName];;;;;;;;;x 
EVTOPTC100005;Leave the child alone;;;;;;;;;x 
EVTDESC100006;I was reading under the big tree, listening to the other children's laughter and screams, not noticing [From.GetFirstName] until [From.GetSheHe] stood before me and grabbed the book, flinging it away.\n\n'So, nose-in-books, what are you going to about it?';;;;;;;;;x 
EVTOPTA100006;You will hurt so much your grandchildren will be born crying!;;;;;;;;;x 
EVTTOOLTIP100008;[Root.GetFirstName] punches [This.GetFirstName];;;;;;;;;x 
EVTOPTB100006;N-nothing...;;;;;;;;;x 
EVTDESC100007;I was enjoying my latest find in the library, listening to the other children's laughter to make sure they wouldn't show up and drop another frog down my shirt or on the fragile pages of the book when [From.GetFirstName] sneaked up on me, asked me a bunch of questions about the book and then offered to let me borrow [From.GetHerHis] toy sword.;;;;;;;;;x 
EVTOPTA100007;I'd love to!;;;;;;;;;x 
EVTTOOLTIP100012;[Root.GetTitledFirstName] and [This.GetTitledFirstName] plays together and becomes friends;;;;;;;;;x 
EVTOPTB100007;I'm afraid of swords...;;;;;;;;;x 
EVTDESC100008;I did not even see [From.GetFirstName] throw the punch that made me fall head-first into the mud puddle!;;;;;;;;;x 
EVTOPTA100008;I'm gonna kill you!;;;;;;;;;x 
EVTTOOLTIP100010;The teased [This.GetFirstName] and [Root.GetFirstName] becomes fierce rivals;;;;;;;;;x 
EVTOPTB100008;Woah, that was a fantastic punch! Show me how you did that!;;;;;;;;;x 
EVTTOOLTIP100009;[This.GetFirstName] and [Root.GetFirstName] becomes friends;;;;;;;;;x 
EVTDESC100009;I watched nervously as [From.GetFirstName] slowly got up from the mud puddle [From.GetSheHe] fell into when I punched [From.GetHerHim], ready to run away if [From.GetFirstName] would want revenge. [From.GetSheHeCap] did not even try to grab me, [From.GetFirstName] apologised for throwing my book away and asked if I could show [From.GetHerHim] how to punch like that.;;;;;;;;;x 
EVTOPTA100009;Promise you are not angry?;;;;;;;;;x 
EVTDESC100010;I had barely time to pick up the book and then run for my life when [From.GetFirstName] roared like a mad bull and came charging after me, face full of mud and seeking revenge for me punching [From.GetHerHim]. I fled and hid in the kitchen, only to hear [From.GetFirstName] swear [From.GetSheHe] would get [From.GetHerHis] revenge on me, if it would take [From.GetHerHis] whole life so be it so.;;;;;;;;;x 
EVTOPTA100010;We will never be friends now...;;;;;;;;;x 
EVTDESC100015;Once again, [Root.Guardian.GetTitledFirstName] found out that I tried to dodge my chores but before I broke down and admitted I had done just that, someone else took the blame for it.;;;;;;;;;x 
EVTOPTA100015;Thank him profusely when out of earshot;;;;;;;;;x 
EVTTOOLTIPA100016;[This.GetFirstName] is glad to help a friend;;;;;;;;;x 
EVTOPTB100015;Why did you interfere? I had it under control!;;;;;;;;;x 
EVTTOOLTIPB100016;[This.GetFirstName] just wanted to help;;;;;;;;;x 
EVTOPTC100015;Tell your guardian [Root.Guardian.GetTitledFirstName] the truth;;;;;;;;;x 
EVTDESC100016;[From.GetFirstName] was in trouble, again. [Root.Guardian.GetTitledFirstName] was scolding [From.GetFirstName] about [From.GetHerHis] slothfulness and failure to do [From.GetHerHis] chores. I interfered and made it sound as if it was my fault [From.GetFirstName] hadn't been able to do [From.GetHerHis] chores...;;;;;;;;;x 
EVTOPTA100016;[From.GetFirstName] thanked me profusely and we became fast friends;;;;;;;;;x 
EVTOPTB100016;[From.GetFirstName] made it clear [From.GetSheHe] did not want my help;;;;;;;;;x 
EVTTOOLTIP100017;Then [This.GetFirstName] won't care if I tell [Root.Guardian.GetTitledFirstName] the truth;;;;;;;;;x 
EVTOPTC100016;Next time, I won't help [From.GetFirstName];;;;;;;;;x 
EVTOPTD100016;I learnt my lesson: never help someone in need...;;;;;;;;;x 
EVTDESC100017;Ever since [From.GetFirstName] tried to save me from getting scolded by [Root.Guardian.GetTitledFirstName] for not doing my chores and me refusing to thank [From.GetHerHim] for it, [From.GetFirstName] has been a regular thorn in my side. I believe [From.GetSheHe] is determined to make me [From.GetHerHis] rival.;;;;;;;;;x 
EVTOPTA100017;If that's what [From.GetSheHe] wants, then so be it!;;;;;;;;;x 
EVTDESC100020;I watched and winched in symphathy as yet another lady rejected the poor man. It was clear to me that he lacked even the ability to talk to women but why he persisted I could not understand. Never had I had the same problem, maybe it was time for me to take a student?;;;;;;;;;x 
EVTOPTA100020;I should offer him help;;;;;;;;;x 
EVTTOOLTIP100021;[Root.GetFirstName] offers to help [This.GetFirstName];;;;;;;;;x 
