#CODE;ENGLISH;;;;;;;;;x 
INTERACTION_CANNOT_INVITE_MARRIED;[Recipient.GetBestName] must not be married;;;;;;;;;x 
EVTOPTA62923;One more kingdom?;;;;;;;;;x 
EVTTOOLTIP62924;I'm crowned King of Portugal;;;;;;;;;x 
EVTNAME62924;The Kingdom of Portugal;;;;;;;;;x 
EVTDESC62924;After centuries of subjugation, Portugal has grown in power and autonomy. It is time to be recognized as an equal by the other rulers in our region!;;;;;;;;;x 
EVTDESC62925;[From.GetTitledName] has been created King of Portugal due to the prestige of [From.GetPossPronoun] independent rule over [From.GetPossPronoun] ancestral lands.;;;;;;;;;x 
EVTTOOLTIP62926;I'm crowned King of Aragon;;;;;;;;;x 
EVTNAME62926;The Kingdom of Aragon;;;;;;;;;x 
EVTDESC62926;The little County of Aragon, created by the Franks long ago, has become such a prestigious title that it has almost been considered a Kingdom... Now there is no almost about it!;;;;;;;;;x 
EVTDESC62927;[From.GetTitledName] has been created King of Aragon due to the prestige of [From.GetPossPronoun] independent rule over [From.GetPossPronoun] ancestral lands.;;;;;;;;;x 
EVTDESC_HL_2000;A powerful minor Clan has risen up in [Root.GetName], led by their charismatic chieftain. They demand a place among the major clans!;;;;;;;;;x 
EVTOPTA_HL_2000;We shall see who proves the stronger!;;;;;;;;;x 
EVTDESC_HL_2001;A powerful minor Clan has risen up in [From.GetName], led by their charismatic chieftain. They demand a place among the major clans!;;;;;;;;;x 
EVTDESC_HL_2010;The minor Clan rising has gained more support in [Root.GetName], reinforcing the ongoing revolt!;;;;;;;;;x 
EVTDESC_HL_2011;The minor Clan rising has gained more support in [From.GetName], reinforcing the ongoing revolt!;;;;;;;;;x 
title_behi;Behi;;;;;;;;;x 
title_behi_desc;This title was given to women in the families within the Mongolian nobility.;;;;;;;;;x 
title_master_of_the_eagle;Master of the Eagle;;;;;;;;;x 
title_master_of_the_eagle_desc;The Mongolian warriors used eagles to aid them while hunting. Being responsible for the training of these companions was a great honor.;;;;;;;;;x 
EVTNAME60500;The Mongols;;;;;;;;;x 
EVTDESC60500;Word has reached us that an ambitious Khan from beyond the great mountains has set out to unite the clans of the great steppe. It is also said by men who read the stars that this Khan is destined to become the ruler of the world.;;;;;;;;;x 
EVTOPTA60500;What could those equestrians hope to accomplish?;;;;;;;;;x 
EVTOPTB60500;That should be nothing to worry about.;;;;;;;;;x 
EVTOPTC60500;No-one will rule over our people!;;;;;;;;;x 
GENGHIS_KHAN;Genghis Khan;;;;;;;;;x 
greatest_of_khans;Greatest of Khans;;;;;;;;;x 
become_genghis_khan;Become Greatest of Khans;;;;;;;;;x 
become_genghis_khan_desc;A Mongolian ruler who manages to unite the clans of the Great Steppe may claim the title of Genghis Khan, Greatest of Khans. While unifying the people of the step is quite a challenge, fullfilling the prophecy of ultimately becoming the leader of the world may prove to be even harder.;;;;;;;;;x 
become_genghis_khan_tribal;Become Greatest of Khans;;;;;;;;;x 
become_genghis_khan_tribal_desc;A Mongolian ruler who manages to unite the clans of the Great Steppe may claim the title of Genghis Khan, Greatest of Khans. While unifying the people of the steppe is quite a challenge, fullfilling the prophecy of ultimately becoming the leader of the world may prove to be even harder.;;;;;;;;;x 
EVTNAME60520;The Mongols;;;;;;;;;x 
EVTDESC60520;The many Khans of the steppe have been rallied under the same banner. The leader that managed to unite them all is [From.GetFirstName] of [From.PrimaryTitle.GetName]. The people of the steppe now call their leader Genghis Khan, Greatest of Khans, and have set their minds not only on ruling the steppes but to spread throughout the world. Is there anyone who can stop the thundering armies of thousands of hooves?;;;;;;;;;x 
EVTOPTA_60520;I truly am great!;;;;;;;;;x 
EVTOPTB_60520;Something has to be done to stop them!;;;;;;;;;x 
EVTOPTC_60520;[From.GetFirstName] truly is the Greatest of Khans!;;;;;;;;;x 
strategic_innovation;Strategic Innovation;;;;;;;;;x 
EVTOPTC_94019;I'll use this knowledge to my advantage!;;;;;;;;;x 
EVTDESC_WOL_10999;More than a month has passed since you set out with your expedition, and you have yet to find a suitable trade partner anywhere. Your crew is homesick, and have now turned the company around to head home.;;;;;;;;;x 
EVTOPTA_WOL_10999;Tough luck.;;;;;;;;;x 
EVTDESC_HL_8005_mother;As your mother's heir it falls upon you to bring her to the mountains. She will be offered to the birds of prey, and in death she will generously share her flesh with all living creatures.;;;;;;;;;x 
EVTDESC_HL_8005_sister;Without any heirs of her own, it falls upon you to bring your sister to the mountains. She will be offered to the birds of prey, and in death she will generously share her flesh with all living creatures.;;;;;;;;;x 
tooltip_not_busy;Is NOT already busy.\n;;;;;;;;;x 
EVTOPTB5051;I should take the bird out for some hunting instead.;;;;;;;;;x 
no_horse_breeder_1;Horse Breeder;;;;;;;;;x 
no_horse_breeder_2;Horse Breeder;;;;;;;;;x 
no_horse_breeder_3;Horse Breeder;;;;;;;;;x 
no_horse_breeder_4;Horse Breeder;;;;;;;;;x 
no_horse_breeder_5;Horse Breeder;;;;;;;;;x 
no_horse_breeder_6;Horse Breeder;;;;;;;;;x 
no_horse_breeder_7;Horse Breeder;;;;;;;;;x 
no_horse_breeder_8;Horse Breeder;;;;;;;;;x 
#no_horse_breeder_desc;;;;;;;;;;x 
no_wrestling_1;Wrestling;;;;;;;;;x 
no_wrestling_2;Wrestling;;;;;;;;;x 
no_wrestling_3;Wrestling;;;;;;;;;x 
no_wrestling_4;Wrestling;;;;;;;;;x 
no_wrestling_5;Wrestling;;;;;;;;;x 
no_wrestling_6;Wrestling;;;;;;;;;x 
no_wrestling_7;Wrestling;;;;;;;;;x 
no_wrestling_8;Wrestling;;;;;;;;;x 
no_wrestling_desc;In the wrestling pit people fight for glory and enjoyment.;;;;;;;;;x 
no_shrine_1;Shrine;;;;;;;;;x 
no_shrine_2;Shrine;;;;;;;;;x 
no_shrine_3;Shrine;;;;;;;;;x 
no_shrine_4;Shrine;;;;;;;;;x 
no_shrine_5;Shrine;;;;;;;;;x 
no_shrine_6;Shrine;;;;;;;;;x 
no_shrine_7;Shrine;;;;;;;;;x 
no_shrine_8;Shrine;;;;;;;;;x 
no_shrine_desc;At the shrine people can practice the main religious rituals and ceremonies.;;;;;;;;;x 
no_ox_wagon_1;Ox & Wagon;;;;;;;;;x 
no_ox_wagon_2;Ox & Wagon;;;;;;;;;x 
no_ox_wagon_3;Ox & Wagon;;;;;;;;;x 
no_ox_wagon_4;Ox & Wagon;;;;;;;;;x 
no_ox_wagon_5;Ox & Wagon;;;;;;;;;x 
no_ox_wagon_6;Ox & Wagon;;;;;;;;;x 
no_ox_wagon_7;Ox & Wagon;;;;;;;;;x 
no_ox_wagon_8;Ox & Wagon;;;;;;;;;x 
no_ox_wagon_desc;Wagons pulled by oxen are used to move villages and supplies. Yurts were commonly moved fully assembled to achieve a mobile community.;;;;;;;;;x 
no_sheep_1;Sheep;;;;;;;;;x 
no_sheep_2;Sheep;;;;;;;;;x 
no_sheep_3;Sheep;;;;;;;;;x 
no_sheep_4;Sheep;;;;;;;;;x 
no_sheep_5;Sheep;;;;;;;;;x 
no_sheep_6;Sheep;;;;;;;;;x 
no_sheep_7;Sheep;;;;;;;;;x 
no_sheep_8;Sheep;;;;;;;;;x 
no_sheep_desc;Sheep wool is used to make felt in addition to the meat that the sheep provide.;;;;;;;;;x 
no_hunting_parties_1;Hunting Parties;;;;;;;;;x 
no_hunting_parties_2;Hunting Parties;;;;;;;;;x 
no_hunting_parties_3;Hunting Parties;;;;;;;;;x 
no_hunting_parties_4;Hunting Parties;;;;;;;;;x 
no_hunting_parties_5;Hunting Parties;;;;;;;;;x 
no_hunting_parties_6;Hunting Parties;;;;;;;;;x 
no_hunting_parties_7;Hunting Parties;;;;;;;;;x 
no_hunting_parties_8;Hunting Parties;;;;;;;;;x 
no_hunting_parties_desc;Regular hunting activities are arranged in the region.;;;;;;;;;x 
no_riding_contests_1;Riding Contests;;;;;;;;;x 
no_riding_contests_2;Riding Contests;;;;;;;;;x 
no_riding_contests_3;Riding Contests;;;;;;;;;x 
no_riding_contests_4;Riding Contests;;;;;;;;;x 
no_riding_contests_5;Riding Contests;;;;;;;;;x 
no_riding_contests_6;Riding Contests;;;;;;;;;x 
no_riding_contests_7;Riding Contests;;;;;;;;;x 
no_riding_contests_8;Riding Contests;;;;;;;;;x 
no_riding_contests_desc;A competition to bring forth the fastest riders.;;;;;;;;;x 
no_yam_1;Yam;;;;;;;;;x 
no_yam_2;Yam;;;;;;;;;x 
no_yam_3;Yam;;;;;;;;;x 
no_yam_4;Yam;;;;;;;;;x 
no_yam_5;Yam;;;;;;;;;x 
no_yam_6;Yam;;;;;;;;;x 
no_yam_7;Yam;;;;;;;;;x 
no_yam_8;Yam;;;;;;;;;x 
no_yam_desc;Checkpoints for a fast messenger system giving supplies and fresh horses to allow messengers to travel huge distances every day.;;;;;;;;;x 
no_baghatur_council_1;Baghatur Council;;;;;;;;;x 
no_baghatur_council_2;Baghatur Council;;;;;;;;;x 
no_baghatur_council_3;Baghatur Council;;;;;;;;;x 
no_baghatur_council_4;Baghatur Council;;;;;;;;;x 
no_baghatur_council_5;Baghatur Council;;;;;;;;;x 
no_baghatur_council_6;Baghatur Council;;;;;;;;;x 
no_baghatur_council_7;Baghatur Council;;;;;;;;;x 
no_baghatur_council_8;Baghatur Council;;;;;;;;;x 
no_baghatur_council_desc;The most proven heroes of the realm gather to discuss everything from politics to tactics.;;;;;;;;;x 
no_cattle_pens_1;Cattle Pens;;;;;;;;;x 
no_cattle_pens_2;Cattle Pens;;;;;;;;;x 
no_cattle_pens_3;Cattle Pens;;;;;;;;;x 
no_cattle_pens_4;Cattle Pens;;;;;;;;;x 
no_cattle_pens_5;Cattle Pens;;;;;;;;;x 
no_cattle_pens_6;Cattle Pens;;;;;;;;;x 
no_cattle_pens_7;Cattle Pens;;;;;;;;;x 
no_cattle_pens_8;Cattle Pens;;;;;;;;;x 
no_cattle_pens_desc;The cattle livestock provides meat and works as pack animals.;;;;;;;;;x 
no_meat_preserver_1;Meat Preserver;;;;;;;;;x 
no_meat_preserver_2;Meat Preserver;;;;;;;;;x 
no_meat_preserver_3;Meat Preserver;;;;;;;;;x 
no_meat_preserver_4;Meat Preserver;;;;;;;;;x 
no_meat_preserver_5;Meat Preserver;;;;;;;;;x 
no_meat_preserver_6;Meat Preserver;;;;;;;;;x 
no_meat_preserver_7;Meat Preserver;;;;;;;;;x 
no_meat_preserver_8;Meat Preserver;;;;;;;;;x 
no_meat_preserver_desc;Dried meat work as effective field rations for the armies.;;;;;;;;;x 
no_harbor_1;Harbor;;;;;;;;;x 
no_harbor_2;Harbor;;;;;;;;;x 
no_harbor_3;Harbor;;;;;;;;;x 
no_harbor_4;Harbor;;;;;;;;;x 
no_harbor_5;Harbor;;;;;;;;;x 
no_harbor_6;Harbor;;;;;;;;;x 
no_harbor_7;Harbor;;;;;;;;;x 
no_harbor_8;Harbor;;;;;;;;;x 
no_harbor_desc;A harbor village allowing small transport and trade ships to dock and be maintained.;;;;;;;;;x 
no_fishing_village_1;Fishing Village;;;;;;;;;x 
no_fishing_village_2;Fishing Village;;;;;;;;;x 
no_fishing_village_3;Fishing Village;;;;;;;;;x 
no_fishing_village_4;Fishing Village;;;;;;;;;x 
no_fishing_village_5;Fishing Village;;;;;;;;;x 
no_fishing_village_6;Fishing Village;;;;;;;;;x 
no_fishing_village_7;Fishing Village;;;;;;;;;x 
no_fishing_village_8;Fishing Village;;;;;;;;;x 
no_fishing_village_desc;Fishers use the nearby water to provide an additional source of food.;;;;;;;;;x 
no_felt_crafter_1;Felt Crafter;;;;;;;;;x 
no_felt_crafter_2;Felt Crafter;;;;;;;;;x 
no_felt_crafter_3;Felt Crafter;;;;;;;;;x 
no_felt_crafter_4;Felt Crafter;;;;;;;;;x 
no_felt_crafter_5;Felt Crafter;;;;;;;;;x 
no_felt_crafter_6;Felt Crafter;;;;;;;;;x 
no_felt_crafter_7;Felt Crafter;;;;;;;;;x 
no_felt_crafter_8;Felt Crafter;;;;;;;;;x 
no_felt_crafter_desc;Turning the wool into felt for use in clothes or the construcion of tents.;;;;;;;;;x 
no_composite_bow_crafter_1;Composite Bow;;;;;;;;;x 
no_composite_bow_crafter_2;Composite Bow;;;;;;;;;x 
no_composite_bow_crafter_3;Composite Bow;;;;;;;;;x 
no_composite_bow_crafter_4;Composite Bow;;;;;;;;;x 
no_composite_bow_crafter_5;Composite Bow;;;;;;;;;x 
no_composite_bow_crafter_6;Composite Bow;;;;;;;;;x 
no_composite_bow_crafter_7;Composite Bow;;;;;;;;;x 
no_composite_bow_crafter_8;Composite Bow;;;;;;;;;x 
no_composite_bow_crafter_desc;Crafted from bamboo, horn and sinew, small composite bows are agile enough to be used effectively on horseback.;;;;;;;;;x 
no_lamellar_armor_crafter_1;Lamellar Armor Crafter;;;;;;;;;x 
no_lamellar_armor_crafter_2;Lamellar Armor Crafter;;;;;;;;;x 
no_lamellar_armor_crafter_3;Lamellar Armor Crafter;;;;;;;;;x 
no_lamellar_armor_crafter_4;Lamellar Armor Crafter;;;;;;;;;x 
no_lamellar_armor_crafter_5;Lamellar Armor Crafter;;;;;;;;;x 
no_lamellar_armor_crafter_6;Lamellar Armor Crafter;;;;;;;;;x 
no_lamellar_armor_crafter_7;Lamellar Armor Crafter;;;;;;;;;x 
no_lamellar_armor_crafter_8;Lamellar Armor Crafter;;;;;;;;;x 
no_lamellar_armor_crafter_desc;Rectangular leather pieces are laced together to form a sturdy armor.;;;;;;;;;x 
no_ger_crafter_1;Ger Crafter;;;;;;;;;x 
no_ger_crafter_2;Ger Crafter;;;;;;;;;x 
no_ger_crafter_3;Ger Crafter;;;;;;;;;x 
no_ger_crafter_4;Ger Crafter;;;;;;;;;x 
no_ger_crafter_5;Ger Crafter;;;;;;;;;x 
no_ger_crafter_6;Ger Crafter;;;;;;;;;x 
no_ger_crafter_7;Ger Crafter;;;;;;;;;x 
no_ger_crafter_8;Ger Crafter;;;;;;;;;x 
no_ger_crafter_desc;The majority of the residences in the steppe consists of felt huts known as gers.;;;;;;;;;x 
no_camel_breeder_1;Camel Breeder;;;;;;;;;x 
no_camel_breeder_2;Camel Breeder;;;;;;;;;x 
no_camel_breeder_3;Camel Breeder;;;;;;;;;x 
no_camel_breeder_4;Camel Breeder;;;;;;;;;x 
no_camel_breeder_5;Camel Breeder;;;;;;;;;x 
no_camel_breeder_6;Camel Breeder;;;;;;;;;x 
no_camel_breeder_7;Camel Breeder;;;;;;;;;x 
no_camel_breeder_8;Camel Breeder;;;;;;;;;x 
no_camel_breeder_desc;The camel breeder makes sure that there is a steady supply of sturdy camels.;;;;;;;;;x 
no_minority_shrine_1;Minority Shrines;;;;;;;;;x 
no_minority_shrine_2;Minority Shrines;;;;;;;;;x 
no_minority_shrine_3;Minority Shrines;;;;;;;;;x 
no_minority_shrine_4;Minority Shrines;;;;;;;;;x 
no_minority_shrine_5;Minority Shrines;;;;;;;;;x 
no_minority_shrine_6;Minority Shrines;;;;;;;;;x 
no_minority_shrine_7;Minority Shrines;;;;;;;;;x 
no_minority_shrine_8;Minority Shrines;;;;;;;;;x 
no_minority_shrine_desc;These shrines gives the oppotunity for people to worship deities of different religions.;;;;;;;;;x 
no_gathering_hall_1;Clan Gathering Hall;;;;;;;;;x 
no_gathering_hall_2;Clan Gathering Hall;;;;;;;;;x 
no_gathering_hall_3;Clan Gathering Hall;;;;;;;;;x 
no_gathering_hall_4;Clan Gathering Hall;;;;;;;;;x 
no_gathering_hall_5;Clan Gathering Hall;;;;;;;;;x 
no_gathering_hall_6;Clan Gathering Hall;;;;;;;;;x 
no_gathering_hall_7;Clan Gathering Hall;;;;;;;;;x 
no_gathering_hall_8;Clan Gathering Hall;;;;;;;;;x 
no_gathering_hall_desc;A meeting place for the different clans in the nomad realm to discuss various internal affairs.;;;;;;;;;x 
no_airag_producer_1;Airag Producer;;;;;;;;;x 
no_airag_producer_2;Airag Producer;;;;;;;;;x 
no_airag_producer_3;Airag Producer;;;;;;;;;x 
no_airag_producer_4;Airag Producer;;;;;;;;;x 
no_airag_producer_5;Airag Producer;;;;;;;;;x 
no_airag_producer_6;Airag Producer;;;;;;;;;x 
no_airag_producer_7;Airag Producer;;;;;;;;;x 
no_airag_producer_8;Airag Producer;;;;;;;;;x 
no_airag_producer_desc;A mild alcoholic beverage derived from mare's milk.;;;;;;;;;x 
no_minter_1;Minter;;;;;;;;;x 
no_minter_2;Minter;;;;;;;;;x 
no_minter_3;Minter;;;;;;;;;x 
no_minter_4;Minter;;;;;;;;;x 
no_minter_5;Minter;;;;;;;;;x 
no_minter_6;Minter;;;;;;;;;x 
no_minter_7;Minter;;;;;;;;;x 
no_minter_8;Minter;;;;;;;;;x 
no_minter_desc;The local minting of coins allows more trade to be conducted in the province.;;;;;;;;;x 
no_camp_fortifications_1;Camp Fortifications;;;;;;;;;x 
no_camp_fortifications_2;Camp Fortifications;;;;;;;;;x 
no_camp_fortifications_3;Camp Fortifications;;;;;;;;;x 
no_camp_fortifications_4;Camp Fortifications;;;;;;;;;x 
no_camp_fortifications_5;Camp Fortifications;;;;;;;;;x 
no_camp_fortifications_6;Camp Fortifications;;;;;;;;;x 
no_camp_fortifications_7;Camp Fortifications;;;;;;;;;x 
no_camp_fortifications_8;Camp Fortifications;;;;;;;;;x 
no_camp_fortifications_desc;Small barricades have been errected around the camp to protect it from bandits and raiders.;;;;;;;;;x 
no_elephant_camp_1;Elephant Camp;;;;;;;;;x 
no_elephant_camp_2;Elephant Camp;;;;;;;;;x 
no_elephant_camp_3;Elephant Camp;;;;;;;;;x 
no_elephant_camp_4;Elephant Camp;;;;;;;;;x 
no_elephant_camp_5;Elephant Camp;;;;;;;;;x 
no_elephant_camp_6;Elephant Camp;;;;;;;;;x 
no_elephant_camp_7;Elephant Camp;;;;;;;;;x 
no_elephant_camp_8;Elephant Camp;;;;;;;;;x 
no_elephant_camp_desc;In the camp elephants are prepared to take part in military campaigns.;;;;;;;;;x 
STAT_VASSAL_LIMIT_DESC;Your vassal limit indicates how many direct vassals you can have at count tier or higher, excluding nomad clans. Having too many direct vassals will negatively affect the amount of taxes and levies you get from your vassals, and you might lose the grip of your vassals upon death.;;;;;;;;;x 
ENDGAME_TEXT_NOMADIC;You have become the ruler of a Nomadic realm and are therefore no longer allowed to continue playing.;;;;;;;;;x 
TT_BUILD_TRIBAL_HOLDINGS;All empty demesne provinces will get a §YTribal holding§!\n;;;;;;;;;x 
TT_NEW_KHAN;Becomes the new Khan of §Y[PrevPrev.GetName]§!\n;;;;;;;;;x 
TT_KHAN_INDEPENDENCE;Becomes independent from §Y[Prev.GetName]§!\n;;;;;;;;;x 
adopt_tribalism;Settle as Tribe;;;;;;;;;x 
adopt_tribalism_desc;I can choose to settle my tribe permanently.;;;;;;;;;x 
nomad_adopt_feudalism;Settle as Feudal;;;;;;;;;x 
nomad_adopt_feudalism_named;Settle as Feudal in [Root.GetName];;;;;;;;;x 
nomad_adopt_feudalism_desc;I can choose to leave behind my nomad way of life and become a Feudal ruler.;;;;;;;;;x 
CHRONICLE_ADOPTED_TRIBALISM;[From.GetDynName] settled as a tribe in [From.GetHerHis] domains, leaving their old nomad life behind them.;;;;;;;;;x 
CHRONICLE_ADOPTED_IQTA;[From.GetDynName] adopted an Iqta system in [From.GetHerHis] domains, abandoning the old tribal ways.;;;;;;;;;x 
CHRONICLE_NOMAD_ADOPTED_FEUDALISM;[From.GetDynName] adopted a feudal system in [From.GetHerHis] domains, leaving their old nomad life behind them.;;;;;;;;;x 
CHRONICLE_NOMAD_ADOPTED_IQTA;[From.GetDynName] adopted an Iqta system in [From.GetHerHis] domains, leaving their old nomad life behind them.;;;;;;;;;x 
realm_has_fewer_holdings_than;Has fewer than §Y$NUM$§! $TYPE$s in realm;;;;;;;;;x 
realm_has_more_holdings_than;Has at least §Y$NUM$§! $TYPE$s in realm;;;;;;;;;x 
has_fewer_holdings_than;Has fewer than §Y$NUM$§! $TYPE$s in demesne;;;;;;;;;x 
has_more_holdings_than;Has at least §Y$NUM$§! $TYPE$s in demesne;;;;;;;;;x 
EMPTY_PROVINCE;Empty Province;;;;;;;;;x 
HOLDING_DIFF_LOWER_THAN;Fewer than §Y$VAL$§! §Y$FIRST_TYPE$s§! in $FIRST_LOCATION$ per §Y$SECOND_TYPE$s§! in $SECOND_LOCATION$ (currently $FIRST_VAL$/$SECOND_VAL$ §Y$FIRST_TYPE$s§!);;;;;;;;;x 
HOLDING_DIFF_AT_LEAST;At least §Y$VAL$§!% more §Y$FIRST_TYPE$s§! in $FIRST_LOCATION$ per §Y$SECOND_TYPE$s§! in $SECOND_LOCATION$ (currently $FIRST_VAL$/$SECOND_VAL$ §Y$FIRST_TYPE$s§!);;;;;;;;;x 
SUB_REALM;Sub-realm;;;;;;;;;x 
EVTNAMEHL1;A New Realm;;;;;;;;;x 
EVTDESCHL1;The King of the [FromFrom.Culture.GetName]s, [FromFrom.GetBestName], has decided to settle down in [FromFrom.PrimaryTitle.GetName], making it [FromFrom.GetHerHis] new homeland.;;;;;;;;;x 
EVTNAMEHL2;Nomads Settled;;;;;;;;;x 
EVTDESCHL2;The King of the [FromFrom.Culture.GetName]s, [FromFrom.GetBestName], has decided to settle down in [FromFrom.PrimaryTitle.GetName], making it [FromFrom.GetHerHis] new tribal homeland.;;;;;;;;;x 
APPOINT_COMMANDER_INTERACTION_LETTER;We've decided to offer you the position of commander, do you accept?;;;;;;;;;x 
RESIGN_COMMANDER_INTERACTION_LETTER;We have decided to revoke your title as commander.;;;;;;;;;x 
IS_NOT_MARSHAL;§Y$RECIPIENT$§W must not already be a $MARSHAL$.;;;;;;;;;x 
adopt_faith;Adopt Religion;;;;;;;;;x 
#adopt_faith_desc;Converting to [Root.Religion.GetName] would bring your clans closer.;;;;;;;;;x 
recently_adopted_faith_tooltip;Has not adopted the faith of another clan in 10 years\n;;;;;;;;;x 
ABSORB_CLAN_INTERACTION_TITLE;Absorb Clan;;;;;;;;;x 
#ABSORB_CLAN_INTERACTION_DESC;Absorb the §Y[Recipient.Clan.GetName]§! Clan.;;;;;;;;;x 
#ABSORB_CLAN_INTERACTION_LONG_DESC;Absorbing a Clan will help you grow in power, but other Clans might see this as a threat.;;;;;;;;;x 
ABSORB_CLAN_INTERACTION_ACCEPT_SETUP;Clan Absorbed;;;;;;;;;x 
ABSORB_CLAN_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! absorbed the §Y[Recipient.GetOnlyDynastyName]§! clan from §Y[Recipient.GetBestName]§!;;;;;;;;;x 
ABSORB_CLAN_INTERACTION_DECLINE_SETUP;Clan Absorption Refused;;;;;;;;;x 
ABSORB_CLAN_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§! refused the absorption of the §Y[Recipient.Clan.GetName]§! clan, requested by §Y[Actor.GetBestName]§!;;;;;;;;;x 
ABSORB_CLAN_INTERACTION_0;This will lower §Y[Recipient.GetTitledFirstName]§!'s opinion of you by §R$VAL$§!.;;;;;;;;;x 
ABSORB_CLAN_INTERACTION_1;[Recipient.GetHerHis] Blood Brother §Y$BLOOD_BROTHER$§!'s Clan Sentiment towards you will also be lowered by §R$VAL$§!.;;;;;;;;;x 
ABSORB_CLAN_INTERACTION_2;Other clan vassals will see this as a tyrannical act, decreasing their Sentiment towards you by §R$VAL$§!.;;;;;;;;;x 
ABSORB_CLAN_INTERACTION_3;Other clan vassals will not mind, as they think there are too many clans in the realm.;;;;;;;;;x 
opinion_absorbed_my_clan;Absorbed my Clan;;;;;;;;;x 
EVTDESC503;I humbly accept your decision to absorb the [From.GetOnlyDynastyName] Clan, though it grieves me deeply.;;;;;;;;;x 
EVTDESC504;I will not allow you to steal my people without a fight! You are no longer my Khan.;;;;;;;;;x 
LIEGE_ENDED_OTHER_WAR_PARTICIPATION_SETUP;Liege ended war participation;;;;;;;;;x 
LIEGE_ENDED_OTHER_WAR_SETUP;Liege ended war;;;;;;;;;x 
ASK_FOR_CLAIM_INTERACTION_ACCEPT_SETUP;Request for claim was Accepted;;;;;;;;;x 
SET_TITLE_ADVENTURER_EFFECT;§Y$TITLE$§! becomes an adventurer title.\n;;;;;;;;;x 
UNSET_TITLE_ADVENTURER_EFFECT;§Y$TITLE$§! will no longer be an adventurer title.\n;;;;;;;;;x 
SET_TITLE_LANDLESS_EFFECT;§Y$TITLE$§! becomes a temporary title.\n;;;;;;;;;x 
UNSET_TITLE_LANDLESS_EFFECT;§Y$TITLE$§! will no longer be a temporary title.\n;;;;;;;;;x 
LOOTING_FORBIDDEN_AGAINST_CHAR;Not allowed to loot §Y$CHAR$§!;;;;;;;;;x 
HAS_FEUD_WITH;Has Feud with §Y$CLAN$§!;;;;;;;;;x 
NOT_HAS_FEUD_WITH;Does NOT have Feud with §Y$CLAN$§!;;;;;;;;;x 
MUST_BE_A_COMMANDER;§Y$FIRST_CHAR$§! must be one of §Y$SECOND_CHAR$'s§! Commanders;;;;;;;;;x 
RESIGN_AS_COMMANDER_INTERACTION_TITLE;Resign As Commander;;;;;;;;;x 
RESIGN_AS_COMMANDER_INTERACTION_DESC;Resign from your duty as a Commander;;;;;;;;;x 
RESIGN_AS_COMMANDER_INTERACTION_LONG_DESC;To avoid injuries or in order to lead your own troops, it might be a good idea to Resign from your duty as a Commander.;;;;;;;;;x 
RESIGN_AS_COMMANDER_INTERACTION_ACCEPT_SETUP;Commander Resigned;;;;;;;;;x 
RESIGN_AS_COMMANDER_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§W has Resigned from [Actor.GetHerHis] duty as Commander.;;;;;;;;;x 
RESIGN_AS_COMMANDER_INTERACTION_LETTER;I have decided to step down as your Commander.;;;;;;;;;x 
MINOR_TITLES;Minor Titles;;;;;;;;;x 
allowed_to_hold;Holder Conditions;;;;;;;;;x 
CLAN_OPINION_LOWER_THAN;Clan Sentiment lower than ;;;;;;;;;x 
CLAN_OPINION_AT_LEAST;Clan Sentiment of at least ;;;;;;;;;x 
CLAN_OPINION_DIFF_LOWER_THAN;Clan Sentiment difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!;;;;;;;;;x 
CLAN_OPINION_DIFF_AT_LEAST;Clan Sentiment difference between §Y$FIRST$§! and §Y$SECOND$§! at least §Y$VAL$§!;;;;;;;;;x 
alert_available_minor_title_instant;§YSpecial Minor Titles Grantable§!;;;;;;;;;x 
alert_available_minor_title_delayed;The following Special Minor Titles can be granted:\n$LIST$;;;;;;;;;x 
title_commander_desc;§YCommanders§! are the only ones after the §YMarshal§! and the ruler who are allowed to command armies.;;;;;;;;;x 
NUM_OF_FEUDS_LESS;Less than §Y$VAL$§W Feuds.;;;;;;;;;x 
NUM_OF_FEUDS_AT_LEAST;At least §Y$VAL$§W Feuds.;;;;;;;;;x 
CLANS;Clans;;;;;;;;;x 
EVTNAMEHL11;Clan Adopted your Faith;;;;;;;;;x 
EVTDESCHL11;[FromFrom.GetBestName], leader of the [FromFrom.Clan.GetName] Clan, has adopted our religion.;;;;;;;;;x 
EVTNAMEHL9;Clan Adopted another Faith;;;;;;;;;x 
EVTDESCHL9;[FromFrom.GetBestName], leader of the [FromFrom.Clan.GetName] Clan, has adopted the faith of [FromFromFrom.GetFirstName] and become [FromFromFrom.Religion.GetName].;;;;;;;;;x 
convert_fort_to_city_named;Upgrade the Fort of [Root.GetName] to a City;;;;;;;;;x 
convert_fort_to_castle_named;Upgrade the Fort of [Root.GetName] to a Castle;;;;;;;;;x 
convert_fort_to_temple_named;Upgrade the Fort of [Root.GetName] to a Temple;;;;;;;;;x 
convert_fort_to_tribal_named;Upgrade the Fort of [Root.GetName] to a Tribal Holding;;;;;;;;;x 
FORM_BLOOD_OATH_INTERACTION_ACCEPT_SETUP;Blood Oath Formed;;;;;;;;;x 
