#CODE;ENGLISH;;;;;;;;;x 
IS_NOT_LOVER_OF;Is NOT a Lover of §Y$WHO$§!;;;;;;;;;x 
obj_buddhist_defeat_fear_desc;[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to defeat [This.GetHerHis] fear of the world and of the designs of others.;;;;;;;;;x 
temple_barony_of_hindu;Mandir of;;;;;;;;;x 
temple_barony_of_buddhist;Vihara of;;;;;;;;;x 
temple_barony_of_jain;Derasar of;;;;;;;;;x 
DEATH_SACRIFICED;was offered up in sacrifice to the Gods by $KILLER$;;;;;;;;;x 
obj_become_paragon_of_enlightenment_title;Become Paragon of Enlightenment;;;;;;;;;x 
obj_become_paragon_of_enlightenment_desc;[This.GetTitledFirstName] strives to improve [This.GetHerHis] [This.Religion.GetPietyName] and become enlightened, an inspiration to all of [This.GetHerHis] faith.;;;;;;;;;x 
opinion_enlightened;Enlightened;;;;;;;;;x 
paragon_of_enlightenment;Paragon of Enlightenment;;;;;;;;;x 
EVTTOOLTIP1_RoI_2001;Reply is sent to [From.GetFullName];;;;;;;;;x 
brahmin_desc;This character belongs to the Brahmin caste. It is the Indian caste of priests and scholars, highest in the caste hierarchy.;;;;;;;;;x 
kshatriya_desc;This character belongs to the Kshatriya caste. It is the Indian caste of warriors and kings, second in the caste hierarchy.;;;;;;;;;x 
vaishya_desc;This character belongs to the Vaishya caste. It is the Indian caste of traders and artisans, third in the caste hierarchy.;;;;;;;;;x 
convert_indian_branch;Change Religious Branch;;;;;;;;;x 
jain_ahimsa_tooltip;This act violates the Jain doctrine of Ahimsa, or non-violence;;;;;;;;;x 
ARRANGE_MARRIAGE_DESC;Arrange a marriage with one of the most eligible potential spouses available.;;;;;;;;;x 
alert_demesne_too_big_instant;§YDemesne too Big§!;;;;;;;;;x 
alert_demesne_too_big_delayed;Your demesne has §Y$NUM$§!/§Y$MAX$§! holdings, causing inefficient taxation, troop recruitment and resentment among your vassals.;;;;;;;;;x 
horse_archers_modifier;Combat Modifier boost to Horse Archer Troops: $PERC$;;;;;;;;;x 
camel_cavalry_modifier;Combat Modifier boost to Camel Mounted Troops: $PERC$;;;;;;;;;x 
war_elephants_modifier;Combat Modifier boost to Elephant Mounted Troops: $PERC$;;;;;;;;;x 
EVTDESC_RoI_500;Some traveling merchants from Europe have arrived, seeking audience. They say they are from Venice and are on a long journey to reach the court of the Khan in in the far east.;;;;;;;;;x 
EVTOPTA_RoI_500;Bring them before me, I shall speak to them.;;;;;;;;;x 
EVTOPTB_RoI_500;These people do not interest me. Send them away.;;;;;;;;;x 
EVTDESC_RoI_501;The merchants turn out to be brothers, going by the names of Niccoló Polo and Matteo Polo, and Niccoló's son Marco is also traveling with them. They petition you to provide an escort or guides for travelling east through your realm.;;;;;;;;;x 
EVTOPTA_RoI_501;I will provide seasoned guides.;;;;;;;;;x 
EVTOPTB_RoI_501;I will provide seasoned guides and an armed escort.;;;;;;;;;x 
EVTOPTC_RoI_501;I'm sure they they can manage on their own.;;;;;;;;;x 
EVTDESC_RoI_502;The Polo brothers thank you gratefully for your assistance. The next day they set off eastwards, strengthened by the aid you have provided.;;;;;;;;;x 
EVTOPTA_RoI_502;I wish them a good journey.;;;;;;;;;x 
EVTDESC_RoI_503;The Polo brothers thank you for the audience. After spending the night in town, they set off again the next day.;;;;;;;;;x 
EVTOPTA_RoI_503;What strange men.;;;;;;;;;x 
EVTDESC_RoI_504;You have received an unexpected visit! The Venetian merchants Niccoló, Matteo and Marco Polo have once again arrived at your court. They explain that they reached the Far East and are now returning after a successful voyage, wanting to stop at your palace to thank you for the valuable aid you offered when they last came by. And they have brought gifts.;;;;;;;;;x 
EVTOPTA_RoI_504;Come, tell me tales of the East, my friends...;;;;;;;;;x 
EVTDESC_RoI_3302;[From.GetFirstNameWithNick], your Court Guru, has been very keen to discuss matters of society and tradition with you lately. He expresses his views that the caste system is destructive and inhuman, and that men and women should be treated as equals. He even suggests that you become a champion of change by inviting the poor and the casteless to dine with you at your table.;;;;;;;;;x 
EVTOPTA_RoI_3302;What nonsense!;;;;;;;;;x 
EVTOPTB_RoI_3302;You are too wise for this age, my friend.;;;;;;;;;x 
EVTTITLE_RoI_3402;Guru meditation;;;;;;;;;x 
EVTDESC_RoI_3402;In order to reach inner peace and become a stronger and more harmonious person, you have been practising meditation with your guru, [From.GetFirstNameWithNick].\n\nYou have spent many moments reaching for your inner self, focusing, breathing, finding tranquility and harmony. You contemplate yourself within the universe, the universe within yourself, and your place in time and outside time.\n\nAnd little by little, you are beginning to feel the difference.;;;;;;;;;x 
EVTOPTA_RoI_3402;Om bhur bhuvah svah.;;;;;;;;;x 
EVTOPTB_RoI_3402;Om mani padme hum.;;;;;;;;;x 
EVTOPTC_RoI_3402;Namo arihantanam.;;;;;;;;;x 
EVTOPTK96500;Master Jungle Terrain.;;;;;;;;;x 
EVTOPTL96500;Focus on War Elephants.;;;;;;;;;x 
EVTDESC_RoI_3505;My [Root.GetLordLady], the province of [From.GetName] is in disarray. There are many reports of deep-set corruption among religious officials of the [Root.Religion.GetName] faith.;;;;;;;;;x 
EVTOPTA_RoI_3505;This is most worrying.;;;;;;;;;x 
EVTDESC_RoI_3509;Good news, my [Root.GetLordLady]! Thanks to the resurgence of power of the [Root.Religion.GetName] faith, the corruption in the province of [From.GetName] has been eradicated.;;;;;;;;;x 
EVTOPTA_RoI_3509;Excellent!;;;;;;;;;x 
EVTDESC_RoI_3515;My [Root.GetLordLady], there are worrying news from the province of [From.GetName]. The [Root.Religion.GetName] faith is weakening and a strange local death cult have taken over several temples.;;;;;;;;;x 
EVTOPTA_RoI_3515;This is not good.;;;;;;;;;x 
EVTDESC_RoI_3519;Good news, my [Root.GetLordLady]! Thanks to the resurgence of power of the [Root.Religion.GetName] faith, the power of the local death cults in the province of [From.GetName] has been eradicated.;;;;;;;;;x 
EVTOPTA_RoI_3519;By [Root.Religion.GetRandomGodName], that is good news!;;;;;;;;;x 
EVTDESC_RoI_3525;Bad news, my [Root.GetLordLady]! The people of [From.GetName] have long been losing faith in the ways of [Root.Religion.GetRandomGodName]. Now the majority of the province's population have switched to the [From.Religion.GetName] faith!;;;;;;;;;x 
EVTOPTA_RoI_3525;Bad news indeed!;;;;;;;;;x 
EVTDESC_RoI_3535;My [Root.GetLordLady], the province of [From.GetName] is experiencing much turmoil due to tensions between different religious factions of the [From.Religion.GetName] faith. It has gone as far as street battles taking place between supporters of different interpretations of [From.Religion.GetScriptureName].;;;;;;;;;x 
EVTOPTA_RoI_3535;This is the work of [Root.Religion.GetRandomEvilGodName]!;;;;;;;;;x 
EVTDESC_RoI_3539;Good news, my [Root.GetLordLady]! Thanks to the resurgence of power of the [Root.Religion.GetName] faith, the religious strife in the province of [From.GetName] has ebbed out.;;;;;;;;;x 
EVTOPTA_RoI_3539;Finally they see the wisdom of [Root.Religion.GetRandomGodName]!;;;;;;;;;x 
temple_corruption;Temple Corruption;;;;;;;;;x 
local_death_cult;Local Death Cult;;;;;;;;;x 
MODIFIER_ADD_PIETY;Monthly $PIETYNAME$ gain;;;;;;;;;x 
MONTHLY_CHARACTER_PIETY;Monthly $PIETYNAME$;;;;;;;;;x 
