#CODE;ENGLISH;;;;;;;;;x 
set_government_type;Government is changed to §Y$GOVERNMENT$§!\n;;;;;;;;;x 
EVTOPTA_HL_10221;A fine example to all!;;;;;;;;;x 
EVTDESC_HL_10231;People say that your [GetFromRelation] [From.GetFirstName] has changed since [From.GetSheHe] took up leadership of [From.GetHerHis] mercenary band. [From.GetSheHeCap] now rarely shows the kindness to others that [From.GetSheHe] used to be known for.;;;;;;;;;x 
EVTOPTA_HL_10231;How this world changes [From.GetMenWomen].;;;;;;;;;x 
EVTDESC_HL_10241;It is said that [From.GetHerHis] time as a mercenary leader has changed the outlook of your [GetFromRelation] [From.GetFirstName]. [From.GetSheHeCap] no longer shows the same humble spirit as before.;;;;;;;;;x 
EVTOPTA_HL_10241;A predictable effect of [From.GetHerHis] station, surely.;;;;;;;;;x 
EVTDESC_HL_10251;During [From.GetHerHis] time as a mercenary leader, your [GetFromRelation] [From.GetFirstName] has become quite famed for [From.GetHerHis] taste for lustful escapades.;;;;;;;;;x 
EVTOPTA_HL_10251;Perhaps it was only to be expected.;;;;;;;;;x 
EVTDESC_HL_10261;It is said that the mercenaries who serve in your your [GetFromRelation] [From.GetFirstName]'s band all have come to fear [From.GetHerHis] frequent outbursts of rage.;;;;;;;;;x 
EVTOPTA_HL_10261;I'm sure they deserve it.;;;;;;;;;x 
EVTDESC_HL_10271;Your [GetFromRelation] [From.GetFirstName] has gained a reputation as a very cruel mercenary leader.;;;;;;;;;x 
EVTOPTA_HL_10271;People had best not get in [From.GetHerHis] way.;;;;;;;;;x 
EVTDESC_HL_10301;News reach you that your [GetFromRelation] [From.GetFirstName] has fought a glorious battle against [FromFrom.GetTitledName].;;;;;;;;;x 
EVTOPTA_HL_10301;[From.GetSheHeCap] measures [From.GetHerselfHimself] against the great!;;;;;;;;;x 
EVTDESC_HL_10401;Mercenary leaders frequently have to deal with people of foreign cultures and religions. Now people are saying that your [GetFromRelation] [From.GetFirstName] has developed a particular interest in the [merc_location.Holder.Religion.GetName] ways.;;;;;;;;;x 
EVTOPTA_HL_10401;So [From.GetSheHe] finds [merc_location.Holder.Religion.GetName]s interesting?;;;;;;;;;x 
EVTDESC_HL_10411;You receive news that your [GetFromRelation] [From.GetFirstName] has converted to the [merc_location.Holder.Religion.GetName] faith.;;;;;;;;;x 
EVTOPTA_HL_10411;So [From.GetSheHe] worships [merc_location.Holder.Religion.GetRandomGodName] now?;;;;;;;;;x 
INTERACTION_REQUIRES_RECIPIENT_NOT_SAME_COURT_AS_SPOUSE;[Recipient.GetBestName] is not in a lesser union and in the same court as [Recipient.GetHerHis] spouse.;;;;;;;;;x 
nomadic_government;Nomadic;;;;;;;;;x 
IS_NOMADIC;Is Nomadic;;;;;;;;;x 
ISNT_NOMDAIC;Is NOT Nomadic;;;;;;;;;x 
HAVE_GOVERNMENT;Has government §Y$GOVERNMENT$§!;;;;;;;;;x 
DONT_HAVE_GOVERNMENT;Does NOT have government §Y$GOVERNMENT$§!;;;;;;;;;x 
STAT_POPULATION;Population;;;;;;;;;x 
STAT_MANPOWER;Manpower;;;;;;;;;x 
STAT_CLAN_SATISFACTION;Clan Satisfaction;;;;;;;;;x 
STAT_CLAN_SATISFACTION_DESC;This value represents the satisfaction of the clans in your realm. The clan satisfaction is determined by how equally the realm is split between the clans. Having low clan satisfaction will increase the risk of clan revolts. You can increase clan satisfaction by handing out provinces with empty holdings to your clan vassals.;;;;;;;;;x 
INCOME_NOMADIC_TAX;Nomadic Tax;;;;;;;;;x 
adventurer;Adventurer;;;;;;;;;x 
adventurer_desc;This character has a background as an adventurer, which means that they might be somewhat more ambitious than others.;;;;;;;;;x 
mercenary_traditions;Mercenary Traditions;;;;;;;;;x 
mercenary_traditions_desc;This character's family has a history of being mercenaries.;;;;;;;;;x 
EVTDESC_HL_10601;It is said that your [GetFromRelation] [From.GetFirstName] has turned into a very experienced mercenary commander.;;;;;;;;;x 
EVTOPTA_HL_10601;That is good to hear.;;;;;;;;;x 
EVTDESC_HL_10610;You have heard interesting rumors at court about your father's past as a mercenary commander.;;;;;;;;;x 
EVTOPTA_HL_10610;I should ask my guardian [Guardian.GetTitledFirstName] about it.;;;;;;;;;x 
EVTDESC_HL_10611;My ward, [From.GetTitledFirstName], is asking me about [From.GetHerHis] father's past as a mercenary.;;;;;;;;;x 
EVTOPTA_HL_10611;Ah, do I have stories for [From.GetHerHim]...;;;;;;;;;x 
EVTOPTB_HL_10611;[From.GetSheHeCap] is better off not knowing.;;;;;;;;;x 
EVTDESC_HL_10612;My [GetFromRelation] [From.GetFirstName] is asking me about my past as a mercenary.;;;;;;;;;x 
EVTDESC_HL_10613;[From.GetTitledFirstName] stayed up late into the night, and he told me many stories of my father's past adventures.;;;;;;;;;x 
EVTOPTA_HL_10613;Fascinating!;;;;;;;;;x 
EVTDESC_HL_10614;[From.GetFirstName] refused to tell me anything.;;;;;;;;;x 
EVTOPTA_HL_10614;But why?;;;;;;;;;x 
EVTDESC_HL_10515;Apparently there was a fight between your son and the mercenary [From.GetDynName]. As luck would have it, no one came to harm.;;;;;;;;;x 
EVTOPTA_HL_10515;I am glad it ended well.;;;;;;;;;x 
EVTDESC_HL_10516;Apparently your son was in a violent fight with his employer's son. It seems that no one came to harm, however.;;;;;;;;;x 
EVTOPTA_HL_10516;I am not pleased.;;;;;;;;;x 
EVTDESC_HL_10517;Apparently there was a fight between your son and the mercenary [From.GetDynName]. Your son was wounded.;;;;;;;;;x 
EVTOPTA_HL_10517;Woe!;;;;;;;;;x 
EVTDESC_HL_10518;Apparently your son [From.GetFirstName] was in a violent fight with his employer's son, who was lightly injured.;;;;;;;;;x 
EVTOPTA_HL_10518;Better luck next time!;;;;;;;;;x 
EVTDESC_HL_10519;Apparently there was a fight between your son and the mercenary [From.GetDynName]. Your son was maimed in the fight.;;;;;;;;;x 
EVTDESC_HL_10520;Apparently your son [From.GetFirstName] was in a violent fight with his employer's son, who was maimed.;;;;;;;;;x 
EVTOPTA_HL_10520;That's my boy!;;;;;;;;;x 
EVTDESC_HL_10521;New reach you that your son has been killed in a fight with the mercenary [From.GetDynName].;;;;;;;;;x 
EVTOPTA_HL_10521;I will have my revenge, I swear it!;;;;;;;;;x 
EVTDESC_HL_10522;Apparently your son [From.GetFirstName] was in a violent fight with his employer's son, who was killed.;;;;;;;;;x 
EVTDESC_HL_10530;That mercenary band that you hired a while back seems to still be in the region.... maybe you should invite the commander to a small feast?;;;;;;;;;x 
EVTOPTA_HL_10530;Yes, I think I will!;;;;;;;;;x 
EVTOPTB_HL_10530;No, mercenaries are best kept at a proper distance.;;;;;;;;;x 
EVTDESC_HL_10532;[From.GetDynName] came to feast with you and you found that you have much in common.;;;;;;;;;x 
EVTOPTA_HL_10532;A new friend, maybe I should give [From.GetHerHim] some land...;;;;;;;;;x 
EVTDESC_HL_10533;[From.GetTitledName] refused to come and feast with you.;;;;;;;;;x 
EVTOPTA_HL_10533;Who does [From.GetSheHe] think [From.GetSheHe] is?;;;;;;;;;x 
MUST_NOT_BE_EMPLOYED_MERCENARY;Must not currently be employed;;;;;;;;;x 
IS_NOT_OVER_TRADEPOST_LIMIT;Is not over Trade Post Limit (§Y$TRADE_POSTS$§!/§Y$MAX_TRADE_POSTS$§!);;;;;;;;;x 
CALL_ALL_NOT_INDEPENDENT;Cannot Call Tribal or Nomadic Vassals since you are not an independent ruler.;;;;;;;;;x 
tribal_contract;Tribal Levies;;;;;;;;;x 
tribal_contract_desc;Tribal Levy Laws control the obligations of tribes to provide troops for their liege.;;;;;;;;;x 
tribal_contract_0;Minimal Tribal Levies;;;;;;;;;x 
tribal_contract_0_desc;The Tribes are expected to provide a small amount of troops for the defense of the realm.;;;;;;;;;x 
tribal_contract_1;Normal Tribal Levies;;;;;;;;;x 
tribal_contract_1_desc;The Tribes are expected to provide a moderate amount of troops for the defense of the realm.;;;;;;;;;x 
tribal_contract_2;Large Tribal Levies;;;;;;;;;x 
tribal_contract_2_desc;The Tribes are expected to provide a substantial amount of troops for the defense of the realm.;;;;;;;;;x 
tribal_contract_3;Maximum Tribal Levies;;;;;;;;;x 
tribal_contract_3_desc;The Tribes are expected to provide a large amount of troops for the defense of the realm.;;;;;;;;;x 
tribal_tax;Tribal Taxation;;;;;;;;;x 
tribal_tax_desc;Tribes do not generate much gold, but their taxation can be adjusted by laws.;;;;;;;;;x 
tribal_tax_0;No Tribal Tax;;;;;;;;;x 
tribal_tax_0_desc;Tribes are exempt from taxes.;;;;;;;;;x 
tribal_tax_1;Minimal Tribal Tax;;;;;;;;;x 
tribal_tax_1_desc;Tribes are expected to make a small financial contribution to the greater good of the realm.;;;;;;;;;x 
tribal_tax_2;Medium Tribal Tax;;;;;;;;;x 
tribal_tax_2_desc;Tribes are expected to make a moderate financial contribution to the greater good of the realm.;;;;;;;;;x 
tribal_tax_3;Large Tribal Tax;;;;;;;;;x 
tribal_tax_3_desc;Tribes are expected to make a substantial financial contribution to the greater good of the realm.;;;;;;;;;x 
HORDE_CANNOT_BUY_RET_ROOM;\nYou cannot create this Horde, your §YMaximum Manpower§! size has been reached.;;;;;;;;;x 
CANNOT_BUY_RET_CURRENT_MANPOWER;\nYou cannot create this retinue, you do not have enough §YManpower§!.;;;;;;;;;x 
INTERACTION_REQUIRES_COMMANDER;[Actor.GetTitledFirstName] must have an available commander slot that [Recipient.GetTitledFirstName] can hold;;;;;;;;;x 
CLAN_FALLS_SETUP;Clan Falls;;;;;;;;;x 
CLAN_FALLS_LOG;With the death of §Y$CLAN$§!, the mighty clan §Y$DYNASTY$§! has become extinct.;;;;;;;;;x 
CLAN_RISES_SETUP;Clan Rises;;;;;;;;;x 
CLAN_RISES_LOG;A new clan has risen in $TITLE_ADJ$, under §Y$CLAN$§!.;;;;;;;;;x 
opinion_spared_at_blot;Spared at Blot;;;;;;;;;x 
nomad;Nomad;;;;;;;;;x 
EVTDESC_91377;My husband, [From.GetName], has in a sudden fit of religious piety gone off to join the [From.Liege.PrimaryTitle.GetName]. This effectively annuls our marriage...;;;;;;;;;x 
GOOD_RIDDANCE;Good riddance!;;;;;;;;;x 
EVTDESC_SoA_2862;My husband, [FromFromFrom.GetName], has gone off to join the [FromFromFrom.Liege.PrimaryTitle.GetName]. This effectively annuls our marriage...;;;;;;;;;x 
EVTDESC_SoA_2863;My husband, [From.GetName], has gone off to join the [From.Liege.PrimaryTitle.GetName]. This effectively annuls our marriage...;;;;;;;;;x 
LOOTING_ADVENTURER;Is an adventurer.;;;;;;;;;x 
LOOTING_ADVENTURER_DESC;Any gold this unit loots will be added to its owner's treasury directly, since it is a raiding adventurer.;;;;;;;;;x 
INTERACTION_GOVERNMENT_MUST_MARRY_REGULARLY;$GOVERNMENT$ characters cannot marry Matrilineally!;;;;;;;;;x 
HORDE_RETINUE_OF;Horde of $CHARACTER$;;;;;;;;;x 
HORDE_RETINUES_NOT_REINFORCING;§YHorde is set to not reinforce.§!;;;;;;;;;x 
HORDE_RETINUES_HALF_REINFORCING;§YHorde is set to reinforce at half speed.§!;;;;;;;;;x 
HORDE_RETINUES_FULL_REINFORCING;§YHorde is set to reinforce at maximum speed.§!;;;;;;;;;x 
HORDE_RETINUES_NOT_REINFORCING_BUTTON;§YSet Horde to not reinforce.§!;;;;;;;;;x 
HORDE_RETINUES_HALF_REINFORCNIG_BUTTON;§YSet Horde to reinforce at half speed.§!;;;;;;;;;x 
HORDE_RETINUES_FULL_REINFORCING_BUTTON;§YSet Horde to reinforce at maximum speed.§!;;;;;;;;;x 
HORDE_MIL_RETINUES;Horde;;;;;;;;;x 
HORDE_BUY_RETINUE;Create a §Y$NAME$§! horde, this will start out almost empty but reinforce up to the specified size.;;;;;;;;;x 
HORDE_RETINUE_UPKEEP;Horde Upkeep;;;;;;;;;x 
HORDE_CONFIRM_DISBAND_NO_RET;\nNo Horde will be disbanded.;;;;;;;;;x 
HORDE_CONFIRM_DISBAND_RET;\n§RAll Horde troops will be disbanded!§!;;;;;;;;;x 
HORDE_CANNOT_BUY_RET_WEALTH;\nYou cannot create this Horde, you cannot afford it.;;;;;;;;;x 
HORDE_CREATE_RETINUE_EFFECT;$WHO$ gets a §Y$RETINUE$§! Horde;;;;;;;;;x 
HORDE_CAN_BUY_RETINUE_TRIGGER_NOT;$WHO$ does not have at least §Y$NEED$§! unused manpower;;;;;;;;;x 
HORDE_CAN_BUY_RETINUE_TRIGGER;$WHO$ has at least §Y$NEED$§! unused manpower;;;;;;;;;x 
HORDE_RETINUE_EXPL;§YHorde§!\nThese numbers are the current size of your Horde and the maintenance you pay for it.;;;;;;;;;x 
HORDE_RETINUE_EXPL_DEL;Your Horde is your personal professional and standing army ready to do as you order at all times. Your Horde is always on the map and reinforce slowly. The maximum number of Horde regiments you can field depends on your §YMaximum Manpower§!, which is determined by your §YMaximum Population§!.;;;;;;;;;x 
RETINUE_EXPL_DEL;Your Retinue is your personal professional and standing army ready to do as you order at all times. Unlike Army Levies, retinues are always on the map and reinforce slowly. The maximum number of retinue regiments you can field depends on your §YMilitary Organization§! technology and the size of all the levies in your realm.;;;;;;;;;x 
HORDE_SPLIT_RETINUES_OPTION;Split off Horde;;;;;;;;;x 
nomadic_king;Khan;;;;;;;;;x 
nomadic_emperor;Khagan;;;;;;;;;x 
nomadic_empire;Khaganate;;;;;;;;;x 
nomadic_empire_of;Khaganate of;;;;;;;;;x 
nomadic_kingdom;Khanate;;;;;;;;;x 
nomadic_kingdom_of;Khanate of;;;;;;;;;x 
MAKE_TRIBUTARY_EFFECT;§Y$TRIBUTARY$§! becomes tributary of §Y$OVERLORD$§!.;;;;;;;;;x 
REMOVE_TRIBUTARY_EFFECT;§Y$TRIBUTARY$§! stops being tributary of §Y$OVERLORD$§!.;;;;;;;;;x 
CB_NAME_TRIBUTARY;Make Tributary;;;;;;;;;x 
WAR_NAME_TRIBUTARY;$ORDER$$FIRST_ADJ$ War to Make $DEFENDER$ a Tribute;;;;;;;;;x 
CB_NAME_FREE_TRIBUTARY;Free Tributary;;;;;;;;;x 
CLAN_SATISFACTION_REASON;$CLAN$ holds only §R$EMPTY_HOLDINGS$§! empty holdings compared to liege's §Y$LIEGE_EMPTY_HOLDINGS$§!.;;;;;;;;;x 
EMPTY_HOLDINGS_LIEGE_CAPITAL;Empty holdings in nomad capital are not included when calculating clan satisfaction.;;;;;;;;;x 
EMPTY_HOLDINGS_BY_CLAN;§YEmpty Holdings by Clan§!:;;;;;;;;;x 
TITLE_NOT_NOMAD;Title is not a Clan title;;;;;;;;;x 
CLAN_NAME;$DYNASTY$ Clan;;;;;;;;;x 
INTERACTION_TITLE_NOT_NOMAD;Title cannot be a clan title;;;;;;;;;x 
WAR_NAME_FREE_TRIBUTARY;$ORDER$$FIRST_ADJ$ War to Free $ATTACKER$ from Suzerain;;;;;;;;;x 
REMOVE_PREVIOUS_SUZERAIN;Remove any previous suzerain of §Y[This.GetTitledFirstName]§!\n;;;;;;;;;x 
DISTANCE_FROM_REALM_LESS_THAN;Distance from realm less than ;;;;;;;;;x 
DISTANCE_FROM_REALM_AT_LEAST;Distance from realm at least ;;;;;;;;;x 
MAX_POPULATION_FORMULA;Maximum Population Formula;;;;;;;;;x 
MAX_MANPOWER_FORMULA;Maximum Manpower Formula;;;;;;;;;x 
EMPTY_HOLDINGS;Empty Holdings;;;;;;;;;x 
alert_decadence_instant;§YDecadent Relatives§!;;;;;;;;;x 
alert_decadence_delayed;You have decadent relatives. You should ask them to straighten up or in other ways take care of them.;;;;;;;;;x 
HIGH_DECADENCE;Your dynasty is seen as hopelessly decadent. There is a risk of a massive revolt.;;;;;;;;;x 
LOW_CLAN_SATISFACTION;The Clans in your realm are deeply dissatisfied with the current distribution of land. There is a risk of a Clan revolt.;;;;;;;;;x 
silk_road;Silk Road;;;;;;;;;x 
IS_ON_TRADE_ROUTE;Province is located on a major trade route;;;;;;;;;x 
IS_PROVINCE_OWNER;Directly Owns Province;;;;;;;;;x 
MODIFIER_TRADE_ROUTE_VALUE;Trade Route Income;;;;;;;;;x 
CB_NAME_CLAN_REVOLT;Clan Revolt for [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_CLAN_REVOLT;$ORDER$$ATTACKER$ Clan Revolt for $OTHER_TITLE$;;;;;;;;;x 
clan_revolt_desc;Clan revolts can rise up if the clan satisfaction is too low, and will try to better distribute the lands in a nomadic realm.;;;;;;;;;x 
CLAN_REVOLT;[Root.County.GetAdjective] Clan Revolt;;;;;;;;;x 
MODIFIER_TRADE_ROUTE_WEALTH;Trade Route Wealth;;;;;;;;;x 
tr_silk_road_1;Silk Road Trade Post;;;;;;;;;x 
tr_silk_road_1_desc;This is a small but vibrant trading post on the Silk Road.;;;;;;;;;x 
tr_silk_road_2;Silk Road Market;;;;;;;;;x 
tr_silk_road_2_desc;This Silk Road trading post has grown into a large town, offering more protection against raiders and brigands and thus attracting more merchants who prefer to stay here and trade.;;;;;;;;;x 
tr_silk_road_3;Major Silk Road City;;;;;;;;;x 
tr_silk_road_3_desc;This is a major trading hub on the Silk Road, where merchants come from all directions to trade their wares. All goods and services known to civilized man can be found here, and a myriad of languages echo through the many streets and alleys.;;;;;;;;;x 
EVTDESC_HL_210;Another clan has risen up in [From.GetName], reinforcing the ongoing revolt!;;;;;;;;;x 
TRIBUTARY;Tributary;;;;;;;;;x 
UNUSED_MANPOWER;Unused Manpower;;;;;;;;;x 
#MAXIMUM_POPULATION;Maximum Population;;;;;;;;;x 
RAISED_MANPOWER;Raised Manpower;;;;;;;;;x 
MAXIMUM_MANPOWER;Maximum Manpower;;;;;;;;;x 
#MONTHLY_POPULATION_GROWTH;Monthly Population Growth;;;;;;;;;x 
#MONTHLY_POPULATION_DECLINE;Monthly Population Decline;;;;;;;;;x 
MONTHLY_MANPOWER_GROWTH;Monthly Manpower Growth;;;;;;;;;x 
MONTHLY_MANPOWER_DECLINE;Monthly Manpower Decline;;;;;;;;;x 
TAXABLE;Taxable;;;;;;;;;x 
ERA_CHAR_INFO_30809;Isabelle was born in 1212 in southern Italy as the only child of Maria de Montferrat, Queen of Jerusalem. Her mother died shortly after giving birth, and the newborn Isabelle was proclaimed Queen with her father Jean de Brienne acting as her regent. At the age of 13, Isabelle was wed to the Holy Roman Emperor Friedrich II, effectively being used as a pawn to encourage the Emperor to participate in the Fifth Crusade. The wedding saw the Emperor crowned King of Jerusalem and Isabelle’s father stripped of all his powers. Isabelle herself was kept in seclusion by her husband. She lost a baby daughter before herself dying while giving birth to her son Conrad in 1228. Shortly after her death, Friedrich finally embarked on the promised crusade.;;;;;;;;;x 
ERA_CHAR_INFO_93052;Inheriting the Khwarezmian Empire after the death of his father, Mohammed was immediately faced with an invasion by the Ghurids. Several chaotic years of intermittent war between the Khwarezmids, Ghurids and the Kara-Khitans ensued. Mohammed was at one point taken prisoner and held captive in the Kara-Khitan Khanate for a year, but changing fortunes would see him come out on top against his enemies, and he eventually managed to conquer Samarkand, Balochistan and Afghanistan and declare himself Shah. His reign came to an end sooner than expected, however, as Genghis Khan and the Mongols entered the scene in 1218. Within two short years, the Mongols had overrun his domain and he died a fugitive on a small island in the Caspian Sea in 1220.;;;;;;;;;x 
ERA_CHAR_INFO_170193;Mystery surrounds Iltutmish’s early years, though it is said he was named for an eclipse that occurred during his birth. He was sold into slavery at an early age, and eventually ended up being bought by Aibak, the ruler of Lahore. Aibak valued his new servant highly and kept giving Iltutmish increasing responsibilities and corresponding honors, eventually marrying him to his own daughter. When Aibak died in 1210, Iltutmish enjoyed strong support as he claimed the throne. Years of turmoil ensued as he fought off contenders and then strengthened his position. He subsequently managed to avoid open conflict with the Mongols, founding the Delhi Sultanate that was to last into the 16th century.;;;;;;;;;x 
ERA_CHAR_INFO_125501;Temujin was born in Mongolia, the son of the leader of the Borjigin clan. He was only a child when his father died, and he and his mother were ostracized from the clan due to his young age and competing pretenders. Once he reached maturity, however, Temujin began to forge his own destiny. Over several decades, he increased his reputation and prestige among his people, and eventually led them in the successful conquest of all Mongolia. After this, he went on to conquer northern China, all of Central Asia and parts of Persia and the western steppes. He became recognized as one of the greatest conquerors in the history of humanity, and the Mongols would continue expanding on these conquests after his death.;;;;;;;;;x 
HAS_LOWER_CLAN_SATISFACTION_THAN;Have lower Clan Satisfaction than ;;;;;;;;;x 
HAS_HIGHER_CLAN_SATISFACTION_THAN;Have higher Clan Satisfaction than ;;;;;;;;;x 
HAS_LOWER_MANPOWER_THAN;Have lower Manpower than ;;;;;;;;;x 
HAS_HIGHER_MANPOWER_THAN;Have higher Manpower than ;;;;;;;;;x 
HAS_LOWER_MAX_MANPOWER_THAN;Have lower Max Manpower than ;;;;;;;;;x 
HAS_HIGHER_MAX_MANPOWER_THAN;Have higher Max Manpower than ;;;;;;;;;x 
HAS_LOWER_MANPOWER_GROWTH_THAN;Have lower Manpower Growth than ;;;;;;;;;x 
HAS_HIGHER_MANPOWER_GROWTH_THAN;Have higher Manpower Growth than ;;;;;;;;;x 
HAS_LOWER_POPULATION_THAN;Have lower Population than ;;;;;;;;;x 
HAS_HIGHER_POPULATION_THAN;Have higher Population than ;;;;;;;;;x 
HAS_LOWER_MAX_POPULATION_THAN;Have lower Max Population than ;;;;;;;;;x 
HAS_HIGHER_MAX_POPULATION_THAN;Have higher Max Population than ;;;;;;;;;x 
HAS_LOWER_POPULATION_GROWTH_THAN;Have lower Population Growth than ;;;;;;;;;x 
HAS_HIGHER_POPULATION_GROWTH_THAN;Have higher Population Growth than ;;;;;;;;;x 
khalka;Khalka;;;;;;;;;x 
buryat;Buryat;;;;;;;;;x 
naiman;Naiman;;;;;;;;;x 
oirat;Oirat;;;;;;;;;x 
uyghur;Uyghur;;;;;;;;;x 
basmyl;Basmyl;;;;;;;;;x 
yagma;Yagma;;;;;;;;;x 
chigil;Chigil;;;;;;;;;x 
khitan;Khitan;;;;;;;;;x 
sogdian;Sogdian;;;;;;;;;x 
nomad_succession;Nomad Succession;;;;;;;;;x 
succ_nomadic;Nomad Succession;;;;;;;;;x 
TITLE_NEW_PRIMARY_IS_NOMADIC;§RNomads cannot set Primary Title!§!;;;;;;;;;x 
tributary_cb_desc;Make the target realm your tributary forcing them to pay you 40% of their monthly income in tribute to you.;;;;;;;;;x 
CALL_ALL_TRIBAL_CONTROL;Cannot Call Tribal or Nomadic Vassals as they give us Liege Levies instead;;;;;;;;;x 
CALL_ALL_NOT_TRIBAL;Cannot Call Tribal or Nomadic Vassals since you are not Tribal;;;;;;;;;x 
CALL_ALL_TRIBAL_VASSALS;Call all Tribal and Nomadic Vassals to War;;;;;;;;;x 
NOMAD_CANT_BUILD_HOLDINGS_DESC;Empty Holding slots actually provide more population and manpower for Nomads, which allows bigger armies and more taxes. To build proper Holdings you need to become either a Feudal state or a Republic (check your Decisions.);;;;;;;;;x 
enables_tribal_levy_laws;Enables Tribal Levy Laws.\n;;;;;;;;;x 
disables_tribal_levy_laws;Disables Tribal Levy Laws\n;;;;;;;;;x 
enables_tribal_tax_laws;Enables Tribal Tax Laws\n;;;;;;;;;x 
disables_tribal_tax_laws;Disables Tribal Tax Laws\n;;;;;;;;;x 
CB_NAME_RIVALRY;Rivalry;;;;;;;;;x 
rivalry_cb_desc;§Y$TARGET$§! is your bitter rival and you can't imagine anything better than throwing the blighter into your dungeons.;;;;;;;;;x 
WAR_NAME_RIVALRY;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Rivalry War;;;;;;;;;x 
TRIBUTARY_RELATIONSHIP;§Y$TRIBUTARY$§! is a tributary of §Y$SUZERAIN$§!.;;;;;;;;;x 
AIREASON_TRIBUTARY_WAR_AGAINST_TRIBUTARY;Tributary war against my Tributary;;;;;;;;;x 
AIREASON_WAR_AGAINST_TRIBUTARY;War against my Tributary;;;;;;;;;x 
AIREASON_WAR_FROM_TRIBUTARY;Interests in my Tributary;;;;;;;;;x 
AIREASON_ENEMY_IS_TRIBUTARY;Enemy is my Tributary;;;;;;;;;x 
NOT_USES_DECADENCE;Does NOT use Decadence;;;;;;;;;x 
USES_DECADENCE;Use Decadence;;;;;;;;;x 
EVTDESC_HL_5000;A traveller from the east reaches your court along with his personal bodyguard. Reading from a scroll, he states that the Great Emperor of China demands a tribute of a thousand 'heavenly horses' from your lands.;;;;;;;;;x 
EVTOPTA_HL_5000;These are the finest and strongest horses.;;;;;;;;;x 
EVTOPTB_HL_5000;Your Emperor has no power here!;;;;;;;;;x 
EVTDESC_HL_5001;Another envoy from China arrives at your court. He tells you that he himself is a gift - a token of gratitude from the Emperor - and that he is an excellent governor of trade if you need his services.;;;;;;;;;x 
EVTOPTA_HL_5001;I'll let him govern the trade.;;;;;;;;;x 
EVTOPTB_HL_5001;He can muck the stables.;;;;;;;;;x 
EVTOPTC_HL_5001;Politely decline the offer.;;;;;;;;;x 
EVTDESC_HL_5005;I've noticed an increase in traders coming from the east since I employed [chinese_envoy.GetBestName] as a trade governor.;;;;;;;;;x 
EVTOPTA_HL_5005;Let the silk flow.;;;;;;;;;x 
EVTDESC_HL_5006;[chinese_envoy.GetBestName] has managed to acquire a collection of rare gemstones on your behalf.;;;;;;;;;x 
EVTOPTA_HL_5006;Sell them for profit.;;;;;;;;;x 
EVTOPTB_HL_5006;These will fit great in a pendant.;;;;;;;;;x 
EVTOPTC_HL_5006;I'll make some earrings for my [Root.Spouse.GetHusbandWife].;;;;;;;;;x 
EVTDESC_HL_5007;A couple of travelling merchants claim that their goods were stolen while they stayed on your premises.;;;;;;;;;x 
EVTOPTA_HL_5007;Apologize and reimburse them.;;;;;;;;;x 
EVTOPTB_HL_5007;That's their loss.;;;;;;;;;x 
EVTDESC_HL_5008;Enthusiastic and blabbering [chinese_envoy.GetFirstName] pulls a large sack into the room. [chinese_envoy.GetSheHeCap] apparently found valuable goods laying on the premises and wants to share it with you.;;;;;;;;;x 
EVTOPTA_HL_5008;I wonder if this is just a coincidence?;;;;;;;;;x 
EVTOPTB_HL_5008;Find the merchants and return their lost cargo.;;;;;;;;;x 
EVTDESC_HL_5017;[From.GetBestName] entered my chamber with [From.GetHerHis] newly acquired pet snake wrapped around [From.GetHerHis] neck. [From.GetSheHeCap] asks if I want to pet it.;;;;;;;;;x 
EVTOPTA_HL_5017;I hope it doesn't bite.;;;;;;;;;x 
EVTOPTB_HL_5017;It seems a bit dangerous.;;;;;;;;;x 
EVTOPTC_HL_5017;Forbid [chinese_envoy.GetHerHim] from keeping the snake.;;;;;;;;;x 
EVTDESC_HL_5011OTHER;I hear a scream outside and rush out only to see [From.GetFirstName]'s snake swallowing the dog of [FromFrom.GetFirstName] in a single gulp.;;;;;;;;;x 
EVTOPTA_WOL_5011;That's the way of life.;;;;;;;;;x 
EVTOPTB_WOL_5011;Someone slay that beast before it does more harm!;;;;;;;;;x 
EVTDESC_HL_5011SELF;I hear a dog barking outside and rush out only to see [From.GetFirstName]'s dastardly snake swallowing my beloved dog in a single gulp.;;;;;;;;;x 
EVTOPTC_WOL_5011_FAITHFUL;Poor Faithful!;;;;;;;;;x 
EVTOPTC_WOL_5011_HUNTER;Poor Hunter!;;;;;;;;;x 
EVTOPTC_WOL_5011_TRICKY;Poor Tricky!;;;;;;;;;x 
EVTOPTC_WOL_5011_LUCIFER;Poor Lucifer!;;;;;;;;;x 
EVTOPTC_WOL_5011_SHAYTAN;Poor Shaytan!;;;;;;;;;x 
EVTOPTC_WOL_5011_FENRIR;Poor Fenrir!;;;;;;;;;x 
EVTOPTC_WOL_5011_ERLIK;Poor Erlik!;;;;;;;;;x 
EVTOPTC_WOL_5011_VELNIAS;Poor Velnias!;;;;;;;;;x 
EVTOPTC_WOL_5011_TUONI;Poor Tuoni!;;;;;;;;;x 
EVTOPTC_WOL_5011_XOLOTL;Poor Xolotl!;;;;;;;;;x 
