#CODE;ENGLISH;;;;;;;;;x 
AIREASON_TOO_OLD;§Y[GetTitledFirstName]§! is past childbearing age;;;;;;;;;x 
EVTOPTA3415;It's how it should be;;;;;;;;;x 
EVTTOOLTIP3416;[This.GetTitledFirstName] reacts to [Root.GetTitledFirstName] arbitrary way;;;;;;;;;x 
EVTDESC3416;I have noticed that [From.GetTitledFirstName] favors female thieves over male ones, giving the women lighter sentences. Men often loses one hand while women get condemned to a couple of months in jail.;;;;;;;;;x 
EVTOPTA3416;That's horrible!;;;;;;;;;x 
EVTTOOLTIP3417;[Root.GetTitledFirstName] condemns [This.GetTitledFirstName]'s arbitrariness;;;;;;;;;x 
EVTOPTB3416;I have no problem with that;;;;;;;;;x 
EVTTOOLTIP3418;[Root.GetTitledFirstName] praises [This.GetTitledFirstName]'s arbitrariness;;;;;;;;;x 
EVTDESC3417;[From.GetTitledFirstName] seems upset with my arbitrary nature.;;;;;;;;;x 
EVTOPTA3417;Who cares?;;;;;;;;;x 
EVTDESC3418;I didn't think anyone had noticed that I give lighter sentences to women than men, but [From.GetTitledFirstName] was all in favor of giving men more severe punishments than women.;;;;;;;;;x 
EVTOPTA3418;That's great!;;;;;;;;;x 
EVTDESC3420;I could not help but overhearing the stablemaster and a courtier's animated discussion. Something about a horse and a payment due today, but the courtier insisted to pay the stablemaster later that week.;;;;;;;;;x 
EVTOPTA3420;I should interfere;;;;;;;;;x 
EVTTOOLTIP3421;The argument is resolved between [This.GetTitledFirstName] and the stablemaster;;;;;;;;;x 
EVTDESC3421;A rather heated discussion between myself and the stablemaster caught [From.GetTitledFirstName]'s attention and after listening to us both [From.GetSheHe] settled the matter between me and the stablemaster in a fair way. I got the horse, the stablemaster got the coin.;;;;;;;;;x 
EVTOPTA3421;Good;;;;;;;;;x 
EVTTOOLTIP3422;Impressive, [This.GetTitledFirstName]!;;;;;;;;;x 
EVTDESC3422;I settled the matter between [From.GetTitledFirstName] and my stablemaster, I tried to be as just as I could.;;;;;;;;;x 
EVTOPTA3422;They still won't speak with each other...;;;;;;;;;x 
EVTDESC3425;A murmur was heard through the room when I judged the felon to death. It was a just sentence, if perhaps a bit harsh.;;;;;;;;;x 
EVTOPTA3425;He had it coming;;;;;;;;;x 
EVTDESC3430;I was about to lose a bet and although I felt inclined to cheat, I had to be just even though it cost me some gold.;;;;;;;;;x 
EVTOPTA3430;It was worth it;;;;;;;;;x 
EVTDESC3435;Word stood against word, the farmer's against a courtier's about damage caused to the farmer's house by a cow owned by the courtier.;;;;;;;;;x 
EVTOPTA3435;The farmer is obviously lying;;;;;;;;;x 
EVTTOOLTIP3436;[This.GetTitledFirstName] reacts to [Root.GetTitledFirstName]'s decision;;;;;;;;;x 
EVTOPTB3435;The farmer should be compensated;;;;;;;;;x 
#EVTDESC3436;It was a rather trivial matter that I wanted [Root.Liege.GetTitledFirstName] to solve, an argument between a lowly farmer and myself. The farmer claimed I should pay for the damage caused to his house by my cow.;;;;;;;;;x 
EVTOPTA3436;Fine, I'll pay for the reparations!;;;;;;;;;x 
EVTTOOLTIP3437;[Root.GetTitledFirstName] accepts [This.GetTitledFirstName]'s decision;;;;;;;;;x 
EVTOPTB3436;[From.GetTitledFirstName] made me pay for the damages!;;;;;;;;;x 
EVTTOOLTIP3438;[Root.GetTitledFirstName] is not happy with [This.GetTitledFirstName]'s decision;;;;;;;;;x 
EVTOPTC3436;[From.GetTitledFirstName] judged in my favor!;;;;;;;;;x 
EVTOPTD3436;I was prepared to pay for the damages...;;;;;;;;;x 
EVTDESC3437;[From.GetTitledFirstName] approved of my decision.;;;;;;;;;x 
EVTOPTA3437;The farmer was obviously wrong;;;;;;;;;x 
EVTOPTB3437;[From.GetSheHeCap] was happy to pay for the reparations;;;;;;;;;x 
EVTDESC3438;[From.GetTitledFirstName] was not happy with my decision.;;;;;;;;;x 
EVTOPTA3438;Did [From.GetSheHe] really wish to pay for the reparations?;;;;;;;;;x 
EVTOPTB3438;[From.GetSheHeCap] should just pay for the reparations;;;;;;;;;x 
#EVTDESC3440;I was in a rather cynical mood when I stumbled into one of the courtiers eating cookies outside the kitchen. The courtier apologised several times and then offered me a cookie as an apology for being in my path. Then the cynic in me got the best of me and I lost myself in cynical comments about how the courtier were trying to poison me with baked goods, probably spoken out loud.;;;;;;;;;x 
EVTOPTA3440;I'm sorry but that cookie looked suspicious!;;;;;;;;;x 
EVTTOOLTIP3441;[This.GetTitledFirstName] reacts to the cynical comments;;;;;;;;;x 
EVTDESC3441;One cynical comment after another... I could not take it anymore, I even tried to bribe [From.GetTitledFirstName] so [From.GetSheHe] would shut up and stop firing cynical remarks at me!;;;;;;;;;x 
EVTOPTA3441;Stop it! Stop it, please!;;;;;;;;;x 
EVTTOOLTIP3442;Here's your coin, you cynical [This.GetManWoman];;;;;;;;;x 
EVTDESC3442;[From.GetTitledFirstName] wants me to stop being cynical. That is a promise I will not be able to hold but I won't disturb [From.GetHerHim] anymore.;;;;;;;;;x 
EVTOPTA3442;I hope that is enough, but probably not;;;;;;;;;x 
EVTDESC3445;My cynical comments have made people look at things my way. I have created more cynics.;;;;;;;;;x 
EVTOPTA3445;No way they will keep up with me;;;;;;;;;x 
EVTDESC3450;Everybody lies and the courtiers in [Root.Location.GetName] are no exception. One of them dared to speak up and tell me I'm too cynical and not everybody lies.;;;;;;;;;x 
EVTOPTA3450;Then I knew they all lied!;;;;;;;;;x 
EVTTOOLTIP3451;[This.GetTitledFirstName] reacts to the accusations;;;;;;;;;x 
EVTDESC3451;I have grown tired of the cynic ways of [From.GetTitledFirstName] and [From.GetHerHis] conviction that everybody lies.;;;;;;;;;x 
EVTOPTA3451;For example, I never lie... ehum...;;;;;;;;;x 
EVTTOOLTIP3452;Quit being so cynical [This.GetTitledFirstName]!;;;;;;;;;x 
EVTDESC3452;After [From.GetTitledFirstName] told me not everybody lies I almost started laughing. I told [From.GetHerHim] that if [From.GetSheHe] could prove that, I would start believing in mankind again.;;;;;;;;;x 
EVTOPTA3452;It could happen, right?;;;;;;;;;x 
EVTDESC3455;I expressed my views on the whole religion and 'God' thing a bit too loud and got into a lot of trouble with a priest because of it.;;;;;;;;;x 
EVTOPTA3455;God is dead!;;;;;;;;;x 
#EVTDESC3460;Being a zealous defender of the church at all times, I believe I did the right thing when I gave the order to imprison a blasphemous pagan who dared criticise my faith and my church.;;;;;;;;;x 
#EVTOPTA3460;We cannot be stopped!;;;;;;;;;x 
EVTTOOLTIP3461;[This.GetTitledFirstName] reacts to the imprisonment;;;;;;;;;x 
EVTDESC3461;I watched, partly horrified, partly filled with admiration, as the blasphemer was dragged out of the dining hall and into [From.GetTitledFirstName]'s prison.;;;;;;;;;x 
EVTOPTA3461;It was the right thing to do;;;;;;;;;x 
EVTTOOLTIP3462;The blasphemer belongs in prison, [This.GetTitledFirstName]!;;;;;;;;;x 
EVTDESC3462;I was still shaking with rage at the pagan's blasphemous words when [From.GetTitledFirstName] took the opportunity to whisper: 'Good work' in my ear.;;;;;;;;;x 
EVTOPTA3462;Thank you, I really needed that!;;;;;;;;;x 
#EVTDESC3465;My zeal and religious beliefs has led me to become more respected and given me more prestige for every day.;;;;;;;;;x 
EVTOPTA3465;If I had known this sooner...;;;;;;;;;x 
EVTDESC3470;There's always something to do in the [Root.Religion.GetName] church. The more time I spend there, the more I appreciate the calm and I feel more connected to my God.;;;;;;;;;x 
EVTOPTA3470;Is there anything else I can do?;;;;;;;;;x 
EVTOPTB3470; I want to stay here!;;;;;;;;;x 
EVTTOOLTIP3471;feels neglected;;;;;;;;;x 
#EVTTOOLTIPB3471;[This.GetTitledFirstName] feels neglected;;;;;;;;;x 
EVTDESC3471;Ever since [From.GetFirstName] became engaged in the church's different activities, or, rather, started following every order from the priest and wasting time, [From.GetSheHe] has stopped spending time with me.;;;;;;;;;x 
EVTOPTA3471;I feel neglected;;;;;;;;;x 
EVTTOOLTIP3472;[This.GetTitledFirstName] is obsessed and I will tell [This.GetHerHim] that!;;;;;;;;;x 
EVTDESC3472;I have had little time for [From.GetTitledFirstName] since I became engaged in the church's different activities.;;;;;;;;;x 
EVTOPTA3472;Why do you always complain?;;;;;;;;;x 
EVTDESC3475;The church is a greedy thing who always need more alms but I have deep pockets and it's for a good cause.;;;;;;;;;x 
EVTOPTA3475;Thinner wallet but thicker soul...;;;;;;;;;x 
EVTDESC3480;Something is rotten in [Root.Location.GetName]! I have had suspicions about a plot, maybe an assassination or something... horrifying unraveling in front of my unseeing eyes and I will find out what is going on!;;;;;;;;;x 
EVTOPTA3480;I think I have found the culprits!;;;;;;;;;x 
EVTTOOLTIP3481;[This.GetTitledFirstName] is accused of plotting against [Root.GetTitledFirstName];;;;;;;;;x 
#EVTDESC3481;I and the cook did not really plan to humiliate [From.GetTitledFirstName], just try to get [From.GetHerHim] off [From.GetHerHis] high horses and maybe the fall could've lessen [From.GetHerHis] paranoia.;;;;;;;;;x 
EVTOPTA3481;At least [From.GetSheHe] calmed down a bit;;;;;;;;;x 
EVTTOOLTIP3482;You got us! Please don't hurt us...;;;;;;;;;x 
EVTDESC3482;I caught the cook and [From.GetTitledFirstName] plotting against me! When I confronted them they denied it at first but broke down eventually and confessed that they were planning to humiliate me, how they planned to do that they refused to say.;;;;;;;;;x 
EVTOPTA3482;I forgave them, even though it was hard;;;;;;;;;x 
EVTDESC3485;Everytime I ride out to hunt, I hear an arrow whiz past me and it is only because I anticipate it I can avoid it. No one else seem to notice it and I have stopped trying to convince my friends that it is real.;;;;;;;;;x 
EVTOPTA3485;I have never found the arrow...;;;;;;;;;x 
EVTDESC3490;My supper was brought to me by a courtier I almost trust, but the smell and the color of the soup was highly suspicious. After tasting it, I threw the bowl at the courtier, narrowly missing with just an inch or two.;;;;;;;;;x 
EVTOPTA3490;Are you trying to poison me?!;;;;;;;;;x 
EVTTOOLTIP3491;[This.GetTitledFirstName] has had it with [Root.GetFirstName]'s paranoia;;;;;;;;;x 
EVTDESC3491;I have put up with the accusations, the distrust and especially [From.GetTitledFirstName]'s paranoia, but everyone has a breaking point and I will soon reach mine.;;;;;;;;;x 
EVTOPTA3491;I had enough!;;;;;;;;;x 
EVTTOOLTIP3492;I better tell [This.GetHerHim] I won't put up with [This.GetHerHis] paranoia any longer!;;;;;;;;;x 
EVTDESC3492;The thrown bowl and my accusations about [From.GetHerHim] trying to poison me greatly upset [From.GetTitledFirstName] and I fear I might have lost my friend's respect.;;;;;;;;;x 
EVTOPTA3492;I did apologise!;;;;;;;;;x 
#;I tried talking to people about the harrasment and stalking but they ignored me or started laughing.;;;;;;;;;x 
#;Why don't they believe me?;;;;;;;;;x 
EVTDESC3500;My friend became aghast when I told him that I had sent the miller's boy to a nearby city with my finest stallion. 'You will never see that horse again', he said, utterly convinced.;;;;;;;;;x 
EVTOPTA3500;But he was wrong, of course;;;;;;;;;x 
EVTDESC3505;I was fed up with a courtier's constant nagging about a decrepit bridge in need of fixing and decided to inspect it myself.;;;;;;;;;x 
EVTOPTA3505;Show me the bridge!;;;;;;;;;x 
EVTTOOLTIP3506;The bridge is inspected;;;;;;;;;x 
EVTDESC3506;The bridge I wanted [From.GetTitledFirstName] to inspect burst under [From.GetHerHis] unwary feet and [From.GetSheHe] only just managed to grab hold of my hand and the edge of the broken bridge. I saw how [From.GetHerHis] fingers began to slip and, grasping [From.GetHerHis] wrists, ordered [From.GetHerHim] to let go of the bridge and as [From.GetSheHe] did exactly that, I pulled as hard as I can and dragged [From.GetHerHim] back to safety.;;;;;;;;;x 
EVTOPTA3506;That was scary!;;;;;;;;;x 
EVTTOOLTIP3507;I hope [This.GetTitledFirstName] is fine;;;;;;;;;x 
EVTDESC3507;If I had not trusted [From.GetTitledFirstName], I wouldn't be alive. I was hanging from the broken edge of the bridge with my one hand and the other was firmly held by [From.GetFirstName]. The bridge was about to break when [From.GetSheHe] told me to let go of the bridge and as I did that [From.GetSheHe] pulled me up onto the bridge and saved me.;;;;;;;;;x 
EVTOPTA3507;Thank [Root.Religion.GetRandomGodName] for [From.GetTitledFirstName]!;;;;;;;;;x 
EVTDESC3510;It was a bad idea to lend money to a person I had never met before, but I trusted the man and his idea so I gave him some money to help him make his dream come true.;;;;;;;;;x 
EVTOPTA3510;Bad, bad idea...;;;;;;;;;x 
EVTDESC3515;I was a bit distracted when I handed my buzzard to a courtier, I was watching another of my birds who were about to catch another rabbit and did not realize that the eager courtier had no clue of what to do with the buzzard.;;;;;;;;;x 
EVTOPTA3515;It did not end well...;;;;;;;;;x 
EVTTOOLTIP3516;The bird was lost;;;;;;;;;x 
EVTDESC3516;I offered [From.GetTitledFirstName] to hand the buzzard over to the falconer but was careless enough to forgot to put on its hood and then lost my grip on the jesses as the bird flew to freedom.;;;;;;;;;x 
EVTOPTA3516;[From.GetSheHeCap] will kill me for this!;;;;;;;;;x 
EVTTOOLTIP3517;I must tell [This.GetTitledFirstName] that I lost [This.GetHerHis] buzzard;;;;;;;;;x 
EVTDESC3517;This is the last time I trust someone with my birds! [From.GetTitledFirstName] was supposed to give my buzzard to the falconer but slipped and lost [From.GetHerHis] grip of the bird and it escaped.;;;;;;;;;x 
EVTOPTA3517;I will never see her again!;;;;;;;;;x 
EVTDESC3520;My celibacy is starting to get on my [Root.Spouse.GetHusbandWife] [Root.Spouse.GetFirstName]'s nerves and [Root.Spouse.GetHerHis] advances are getting a bit desperate and annoying.;;;;;;;;;x 
EVTOPTA3520;I won't give in to [Root.Spouse.GetHerHis] temptations!;;;;;;;;;x 
EVTTOOLTIP3521;[Root.Spouse.GetFirstName] is spurned;;;;;;;;;x 
EVTOPTB3520;Okay, but just for one night...;;;;;;;;;x 
EVTOPTC3520;Who am I kidding? I can't resist [Root.Spouse.GetHerHim]!;;;;;;;;;x 
EVTDESC3521;It feels like weeks since someone touched me! [From.GetTitledFirstName]'s celibacy and dismissal of my advancements makes me feel unwanted.;;;;;;;;;x 
EVTOPTA3521;Maybe I should try it [From.GetHerHis] way?;;;;;;;;;x 
EVTOPTB3521;This isn't my fault!;;;;;;;;;x 
#EVTDESC3525;I tried to not show how flattering it was to be asked about celibacy and if I had some sort of advice. I did not have time at the moment to go into depths on the subject so I asked if we could meet someplace tomorrow to philosophize about celibacy.;;;;;;;;;x 
#EVTOPTA3525;I hope they will show up!;;;;;;;;;x 
EVTTOOLTIP3526;Ask [Root.GetTitledFirstName] about celibacy;;;;;;;;;x 
EVTDESC3526;The idea of celibacy has always appealed to me but I would really like to talk about it with someone before I make up my mind and decide if I would venture down the road of abstinence.;;;;;;;;;x 
EVTOPTA3526;I should talk to [From.GetTitledFirstName];;;;;;;;;x 
EVTTOOLTIP3527;[This.GetTitledFirstName] is asked about [This.GetHerHis] vow of celibacy;;;;;;;;;x 
EVTOPTB3526;Maybe I should live a little before making this decision;;;;;;;;;x 
EVTDESC3527;A young [From.GetManWoman] asked me many questions about celibacy, why I had decided to take this vow and if I had any advice on what [From.GetSheHe] should do. I told [From.GetTitledFirstName] that the decision was [From.GetHerHis] own and that celibacy was not for everyone.;;;;;;;;;x 
EVTOPTA3527;[From.GetTitledFirstName] thanked me and left;;;;;;;;;x 
#EVTDESC3530;I can't help it but every time I see one of my vassals a somewhat smug smile creeps up on me and I can't get rid of it! I know too much about them, all their little secrets and shames are mine to share or keep to myself.;;;;;;;;;x 
EVTOPA3530;They deserve it!;;;;;;;;;x 
EVTTOOLTIP3530;[This.GetTitledFirstName] takes offense;;;;;;;;;x 
#EVTOPTB3530;I should strive to keep that smile from my face;;;;;;;;;x 
EVTDESC3531;That smug 'holier than thou' smile [From.GetTitledFirstName] always have when [From.GetSheHe] sees me is devastating for my self-confidence. It is as if [From.GetSheHe] knows a dirty secret about me no one else knows about, and all I want to do is scream that nobody is perfect and everyone can fall, but some have a higher horse to fall from and I hope [From.GetTitledFirstName] will learn that!;;;;;;;;;x 
#EVTOPTA3531;Not once more!!;;;;;;;;;x 
EVTTOOLTIP3532;[This.GetTitledFirstName]'s smile will be wiped from [This.GetHerHis] face!;;;;;;;;;x 
EVTDESC3532;[From.GetTitledFirstName] managed to wipe the smug smile off my face when [From.GetSheHe] confronted me about it. I accidently spilled some of the secrets I know and [From.GetSheHe] scoffed at them, telling me that 'everyone has sired or conceived a bastard' which is not exactly true but still made me feel...;;;;;;;;;x 
EVTOPTA3532;Embarrassed!;;;;;;;;;x 
EVTOPTB3532;Indifferent;;;;;;;;;x 
EVTOPTC3532;Humbled;;;;;;;;;x 
#EVTDESC3535;We walked through the village, lashing our skins with whips for every step we took. As a [Root.GetTitle] this felt slightly humiliating but I stood tall and continued my pilgrimage together with my fellow flagellants.;;;;;;;;;x 
#EVTOPTA3535;I deserve this;;;;;;;;;x 
#EVTTOOLTIP3536;[This.GetTitledFirstName] note this;;;;;;;;;x 
#EVTDESC3536;[From.GetTitledFirstName] walked together with the others throught the streets of [From.Location.GetName], praying and flagellating [From.GetHerselfHimself] with a a cattail whip made of knotted cords.;;;;;;;;;x 
#EVTOPTA3536;What an admirable [From.GetManWoman]!;;;;;;;;;x 
#EVTTOOLTIP3537;[This.GetTitledFirstName] is admired by [Root.GetTitledFirstName];;;;;;;;;x 
#EVTOPTB3536;That's idiotic!;;;;;;;;;x 
#EVTOPTC3536;Whatever...;;;;;;;;;x 
#EVTDESC3537;Even before [From.GetTitledFirstName] opened [From.GetHerHis] mouth, I knew [From.GetSheHe] would comment on the pilgrimage I took while flagellating myself.;;;;;;;;;x 
#EVTOPTA3537;[From.GetSheHeCap] thinks I'm admirable!;;;;;;;;;x 
#EVTOPTB3537;[From.GetSheHeCap] thinks I'm an idiot!;;;;;;;;;x 
EVTDESC3540;It has come to my knowledge that one of my courtiers could teach me more about history and other subjects I feel I have neglected.;;;;;;;;;x 
EVTOPTA3540;Demand that he'll teach me!;;;;;;;;;x 
EVTTOOLTIP3541;[This.GetTitledFirstName] will contemplate your request;;;;;;;;;x 
EVTOPTB3540;Ask nicely if he could teach me;;;;;;;;;x 
EVTOPTC3540;Bribe the courtier into teaching me;;;;;;;;;x 
EVTOPTD3540;I am knowledgeable enough;;;;;;;;;x 
EVTDESC3541;[From.GetTitledFirstName] is going to ask me any minute now if I can teach [From.GetHerHim] more about the subjects [From.GetSheHe] lacks knowledge of.;;;;;;;;;x 
EVTOPTA3541;[From.GetSheHeCap] demands that I teach [From.GetHerHim]!;;;;;;;;;x 
EVTTOOLTIP3542;I will teach [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB3541;[From.GetSheHeCap] asked nicely if I could teach [From.GetHerHim];;;;;;;;;x 
EVTOPTC3541;[From.GetSheHeCap] bribed me to teach [From.GetHerHim];;;;;;;;;x 
EVTDESC3542;After numerous lessons I grew a bit bored but endured several more before [From.GetTitledFirstName] declared that [From.GetSheHe] could not teach me any more.;;;;;;;;;x 
EVTOPTA3542;Finally!;;;;;;;;;x 
EVTDESC3543;Our shared love for books should help me win the friendship of a stubborn courtier. I should be able to find the booklover in the library...;;;;;;;;;x 
EVTOPTA3543;Someone to talk books with!;;;;;;;;;x 
EVTTOOLTIP3544;Seek the stubborn courtier in the library;;;;;;;;;x 
EVTOPTB3543;I should leave the courtier alone;;;;;;;;;x 
EVTDESC3544;While reading one of my favorite books in the library, a book of hours from [Root.Location.GetName], [From.GetTitledFirstName] entered with much ado. Irritated, I put the book back in its proper place and tried to leave without [From.GetTitledFirstName] taking notice, but [From.GetSheHe] managed to intercept me and started talking about the book of hours I had read.;;;;;;;;;x 
EVTOPTA3544;Go away, you tiresome [From.GetManWoman]!;;;;;;;;;x 
EVTTOOLTIP3545;[This.GetTitledFirstName] pick up on your mood;;;;;;;;;x 
EVTOPTB3544;I didn't know [From.GetSheHe] liked books! That's great!;;;;;;;;;x 
EVTDESC3545;When I got to the library I intercepted [From.GetTitledFirstName] just when [From.GetSheHe] was about to leave. Desperate, I saw that the book [From.GetSheHe] had been reading was one of my own favorites, the book of hours from [From.Location.GetName] and asked what [From.GetTitledFirstName] thought about it.;;;;;;;;;x 
EVTOPTA3545;I think I got through to [From.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTB3545;[From.GetSheHeCap] was as polite but aloof as always;;;;;;;;;x 
EVTDESC3546;Did that child of mine like myths and legends or is it more interested in history? I choose between a book filled with fascinating legends and one, somewhat dryer tome filled with history about battles and politics.;;;;;;;;;x 
EVTOPTA3546;History it is!;;;;;;;;;x 
EVTTOOLTIP3547;A Bedtime Story;;;;;;;;;x 
EVTOPTB3546;No stories!;;;;;;;;;x 
EVTOPTC3546;Fantasy it is!;;;;;;;;;x 
EVTDESC3547;It is always interesting when my [GetFromRelation] [From.GetTitledFirstName] is trying to interest [From.GetHerselfHimself] in me. Wonder what it'll be this time...;;;;;;;;;x 
#EVTOPTA3547;Oh God! A history lesson!;;;;;;;;;x 
EVTTOOLTIP3548;[This.GetFirstName] reads a bedtime story to [Root.GetFirstName];;;;;;;;;x 
EVTOPTB3547;Myths and legends? What am I, five?!;;;;;;;;;x 
EVTOPTC3547;Wonderful! A history lesson!;;;;;;;;;x 
EVTOPTD3547;Myths and legends, my favorite!;;;;;;;;;x 
EVTDESC3548;I was not entirely sure if my [GetFromRelation] [From.GetFirstName] enjoyed the stories I told [From.GetHerHim], but I kept reading until we both were nearly asleep.;;;;;;;;;x 
EVTOPTA3548;My [GetFromRelation] was apparently embarrassed by my choice of bedtime story;;;;;;;;;x 
EVTOPTB3548;[From.GetSheHeCap] loved the bedtime story!;;;;;;;;;x 
EVTDESC3550;A new load of books arrived and I can barely fit the new books in the overcrowded library. Maybe it is time to build a new one?;;;;;;;;;x 
EVTOPTA3550;Maybe I should relocate some of the books to our bedchamber?;;;;;;;;;x 
EVTTOOLTIP3551;[Root.Spouse.GetTitledFirstName] would not like that;;;;;;;;;x 
EVTOPTB3550;I do feel I have enough books now;;;;;;;;;x 
EVTOPTC3550;If I remove this wall I could get plenty more space for my books;;;;;;;;;x 
EVTTOOLTIP3552;[This.GetTitledFirstName], whose room you are planning to redo, would not like that;;;;;;;;;x 
EVTDESC3551;I had patience with [Root.Spouse.GetFirstName]'s obsession with books until they started to invade our bedchamber.;;;;;;;;;x 
EVTOPTA3551;Books everywhere! Do not want!;;;;;;;;;x 
EVTTOOLTIP3553;Intervention;;;;;;;;;x 
EVTOPTB3551;Let [Root.Spouse.GetHerHim] be;;;;;;;;;x 
EVTDESC3552;I had noticed that [From.GetTitledFirstName]'s obsession with books had increased during these last weeks, but I hadn't realized to what degree until I overheard [From.GetHerHim] talking to a master building about demolishing the wall between my rooms and the library in order to get more space for [From.GetHerHis] books!;;;;;;;;;x 
EVTOPTA3552;Someone has to stop [From.GetHerHim]!;;;;;;;;;x 
EVTOPTB3552;Time to pack my bags, I guess;;;;;;;;;x 
EVTDESC3553;[From.GetTitledFirstName] believes I am obsessed with books! I am not a book addict! I just love reading them, smelling them, caressing them...;;;;;;;;;x 
EVTOPTA3553;I just love books;;;;;;;;;x 
#EVTOPTB3553;Oh God help me! I do have a problem!;;;;;;;;;x 
EVTDESC3555;My favorite rose bush was about to burst into bloom with the largest, reddest and most beautiful rosebud opening its petal last. I decided to give it to someone, but who?;;;;;;;;;x 
#EVTOPTA3555;My wife [Root.Spouse.GetFirstName] of course!;;;;;;;;;x 
EVTTOOLTIPA3556;[Root.Spouse.GetFirstName] is given the most beautiful rose from [Root.GetFirstName]'s garden;;;;;;;;;x 
EVTOPTB3555;That pretty little thing might like the rose...;;;;;;;;;x 
EVTTOOLTIPB3556;[This.GetTitledFirstName] is given the most beautiful rose from [Root.GetFirstName]'s garden;;;;;;;;;x 
EVTOPTC3555;I will keep it for myself;;;;;;;;;x 
EVTDESC3556;[From.GetTitledFirstName] gave me a pretty rose from [From.GetHerHis] garden. It smelled as beautiful as it looked.;;;;;;;;;x 
EVTOPTA3556;It's truly beautiful!;;;;;;;;;x 
EVTTOOLTIP3557;[Root.GetTitledFirstName] thanked [This.GetTitledFirstName] profusely;;;;;;;;;x 
EVTOPTB3556;A rose? I want jewellery!;;;;;;;;;x 
EVTTOOLTIP3558;[Root.GetTitledFirstName] snubbed [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC3557;[From.GetTitledFirstName] loved the rose and thanked me profusely. I think I was this close to get a peck on the cheek but [From.GetSheHe] must have realized that that wouldn't be proper, making [From.GetHerHim] blush almost as red as the rose and then [From.GetSheHe] almost ran away.;;;;;;;;;x 
EVTOPTA3557;I'm glad [From.GetSheHe] likes it;;;;;;;;;x 
EVTDESC3558;[From.GetTitledFirstName] did not seem happy at all when I presented [From.GetHerHim] with the rose. Despite its fragrance and beauty [From.GetTitledFirstName] thanked me stiffly and left as soon as possible.;;;;;;;;;x 
EVTOPTA3558;I don't think [From.GetSheHe] liked the rose;;;;;;;;;x 
EVTDESC3560;No matter what I tried my vegetables and flowers never sprouted and grew as large and beautiful as one of my courtiers'.;;;;;;;;;x 
EVTOPTA3560;I shall have the secrets of the garden!;;;;;;;;;x 
EVTTOOLTIP3561;[This.GetTitledFirstName] and the secret of the cow's manure;;;;;;;;;x 
EVTOPTB3560;My garden is wilting before my eyes! Please help!;;;;;;;;;x 
EVTOPTC3560;I will buy the secret from the courtier!;;;;;;;;;x 
EVTOPTD3560;No! I will save my garden myself!;;;;;;;;;x 
EVTDESC3561;[From.GetTitledFirstName]'s garden looks miserable, the vegetables are wilting and the flowers are unable to spread their petals due to lack of water and nutrients. My garden, however, prospered and was bound to give me a rich harvest;;;;;;;;;x 
EVTOPTA3561;And now [From.GetTitledFirstName] demands I tell my secret!;;;;;;;;;x 
EVTTOOLTIP3562;The stinking secret will be revealed!;;;;;;;;;x 
EVTOPTB3561;[From.GetTitledFirstName] asked me what my secret was;;;;;;;;;x 
EVTOPTC3561;[From.GetSheHeCap] was so desperate [From.GetSheHe] paid me to reveal my secret;;;;;;;;;x 
EVTDESC3562;[From.GetTitledFirstName] revealed a stinking secret to [From.GetHerHis] green fingers, [From.GetSheHe] uses manure from cows and sheep to give [From.GetHerHis] plants nutrients that they supposedly need.;;;;;;;;;x 
EVTOPTA3562;Will my vegetables and flowers stink as much as this muck?;;;;;;;;;x 
EVTDESC3563;A new sort of roses has arrived to [Root.Location.GetName] by the means of a travelling merchant. The price he demanded for it was outrageous but I was still tempted to buy it as his description of the damask rose were that of a rose most fragrant and roseate in color.;;;;;;;;;x 
EVTOPTA3563;I hope my [Root.Spouse.GetFirstName] will love the rose, too;;;;;;;;;x 
EVTTOOLTIP3564;[Root.Spouse.GetTitledFirstName] And The Damask Rose;;;;;;;;;x 
EVTOPTB3563;No... it's too much money;;;;;;;;;x 
EVTOPTC3563;It will look divine among the other roses;;;;;;;;;x 
EVTTOOLTIP3565;[This.GetTitledFirstName] And The Damask Rose;;;;;;;;;x 
EVTDESC3564;Although, I must admit the new Damask rose is adorable and complements our garden, the price [Root.Spouse.GetFirstName] paid for it was intimidating.;;;;;;;;;x 
EVTOPTA3564;I must make sure [Root.Spouse.GetSheHe] doesn't spend all our money on such frivolous things;;;;;;;;;x 
EVTTOOLTIP3566;[Root.Spouse.GetTitledFirstName] And The Damask Rose;;;;;;;;;x 
EVTOPTB3564;If it makes [Root.Spouse.GetHerHim] happy, I should encourage it;;;;;;;;;x 
EVTDESC3565;The new Damask rose is adorable and complements the garden, but the price [From.GetTitledFirstName] paid for it was intimidating.;;;;;;;;;x 
EVTOPTA3565;It's such a frivolous thing to spend money on;;;;;;;;;x 
EVTTOOLTIP3567;[This.GetTitledFirstName] And The Damask Rose;;;;;;;;;x 
EVTOPTB3565;Why should I care?;;;;;;;;;x 
EVTDESC3566;[From.GetTitledFirstName] chided me about the Damask rose I had bought. Even if [Root.Spouse.GetSheHe] loved it and thought it complemented the garden, the price had been too costly.;;;;;;;;;x 
EVTOPTA3566;It's my garden and I'll do what I want with it!;;;;;;;;;x 
