#CODE;ENGLISH;;;;;;;;;x 
EVTDESC410;I am surely with child... my lord will be pleased.;;;;;;;;;x 
EVTDESC412;Oh dear, I must be with child. Will my lord believe it is his?;;;;;;;;;x 
EVTOPTA412;Good news darling!;;;;;;;;;x 
EVTDESC413;Fate smiles upon me, my concubine [From.GetFirstName] is pregnant!;;;;;;;;;x 
EVTTOOLTIP413;Tell [Root.FatherOfUnborn.GetFirstName] he will be a father;;;;;;;;;x 
SEARCH_COURT;Search Court;;;;;;;;;x 
#EVTDESC39101;A new Christian military order has been founded by a small group of wealthy knights. The Poor Fellow-Soldiers of Christ and of the Temple of Solomon - or the Knights Templar for short - have sworn to protect pilgrims travelling through the Holy Land. [ThePope.GetTitledFirstName] fully endorses the Order, and will allow pious Catholic rulers to call on their aid, though they will only fight against heretics and infidels.;;;;;;;;;x 
#EVTDESC39102;The Order of Brothers of the German House of Saint Mary in Jerusalem has been formed, sponsored by [ThePope.GetTitledFirstName] and the Holy Roman Emperor. The Teutonic Order, much like the Knights of St. John and the Knights Templar, primarily protect and care for pilgrims to the Holy Land, but will serve any good Catholic ruler willing to pay for their upkeep. Being a religious order, they will only fight against heretics and infidels.;;;;;;;;;x 
HINT_MIL_VIEW_TEXT_4;The 'Holy Orders' tab lists the great religious knighthoods. They can be employed like mercenaries, but instead of gold, it will cost you [Player.Religion.GetPietyName] to raise them. However, you will still have to pay for their maintenance. The Holy Orders appear on their historical foundation dates, and will only fight against heretics and infidels.;;;;;;;;;x 
LOADING_TIP_12;Holy orders will only fight against heretics and infidels. Be careful when using them in battle!;;;;;;;;;x 
EVTDESC62300;Your invasion plans against [From.GetTitledName] are no longer possible. The invasion has failed before it even started...;;;;;;;;;x 
EVTOPTA62300;Odin forgive!;;;;;;;;;x 
EVTDESC62310;You have waited too long to launch your invasion against [From.GetTitledName]! Disgruntled, the hopeful warriors who had flocked to your banner wander off looking for better opportunities.;;;;;;;;;x 
EVTOPTA62310;Raven God have mercy!;;;;;;;;;x 
EVTDESC62320;Large numbers of adventurous carls have arrived from all corners of Scandinavia, hoping to join your great expedition against [From.GetTitledName]!;;;;;;;;;x 
EVTOPTA62320;Prepare food and beds!;;;;;;;;;x 
EVTDESC62321;A renowned hero has arrived at your court with his housecarls and followers, hoping to partake in your glorious invasion of [From.GetTitledName]!;;;;;;;;;x 
EVTOPTA62321;Make room at the high table!;;;;;;;;;x 
EVTDESC62900;There are great opportunities for plunder and glory in England, with the sons of Lodbrok exacting their vengeance on the Saxon kings. My Carls are growing restless, anxious to join the great adventure...;;;;;;;;;x 
EVTOPTA62900;The Raven will Fly over Mercia!;;;;;;;;;x 
EVTOPTB62900;The Raven will Fly over Wessex!;;;;;;;;;x 
EVTOPTC62900;The Raven will Fly over Scotland!;;;;;;;;;x 
EVTOPTD62900;This is a bad idea...;;;;;;;;;x 
EVTOPTA62900_TT;Prepare an Invasion of Mercia\n;;;;;;;;;x 
EVTOPTB62900_TT;Prepare an Invasion of Wessex\n;;;;;;;;;x 
EVTOPTC62900_TT;Prepare an Invasion of Scotland\n;;;;;;;;;x 
EVTDESC62901;In the name of the Allfather, the Hanged One, the Flaming Eye, I declare my intention to invade your lands and subjugate your people. Richly shall the ravens feast!\n\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA62901;We shall be prepared!;;;;;;;;;x 
EVTNAME_TOG_001;The Fall of Kiev;;;;;;;;;x 
EVTDESC_TOG_001;Brave Mongol warriors have poured through the Golden Gates of Kiev and sacked the once proud trading hub. The city has been left a smoldering ruin and the Dnieper now runs red with the blood of its former inhabitants.;;;;;;;;;x 
EVTOPTA_TOG_001;They shall never forget our might.;;;;;;;;;x 
EVTNAME_TOG_002;The Fall of Novgorod;;;;;;;;;x 
EVTDESC_TOG_002;Novgorod has been stormed by Mongol warriors and the city's inhabitants are now paying the ultimate price for their arrogance. The Cathedral of Saint Sophia is engulfed in flames as the warriors loot that which can be carried away and put the rest to the torch.;;;;;;;;;x 
EVTNAME_TOG_003;The Fall of Krakow;;;;;;;;;x 
EVTDESC_TOG_003;Mongol armies continue to push beyond the Vistula and into Poland. Krakow has now fallen to the skilled warriors, and it is said that at night the flames from the burning city can be seen from untold leagues away.;;;;;;;;;x 
EVTNAME_TOG_004;The Fall of Aachen;;;;;;;;;x 
EVTDESC_TOG_004;Even Aachen, the former seat of Charlemagne's Carolingian empire, has fallen under the shadow of the great Mongol nation. His spirit must surely be weeping at the harsh punishment now being brought down on the decadent peasants within the city's walls.;;;;;;;;;x 
EVTNAME_TOG_005;The Fall of Paris;;;;;;;;;x 
EVTDESC_TOG_005;Like a swarm of locusts, the unstoppable Mongols have descended upon Paris and sacked the city. The still unfinished Notre Dame Cathedral is quickly set on fire and with the light provided by the rest of the burning city, the Mongol warriors can continue looting and murdering well into the night.;;;;;;;;;x 
EVTNAME_TOG_006;The Fall of London;;;;;;;;;x 
EVTDESC_TOG_006;Not even the sea has proved a formidable enough barrier to halt the Mongol advance. London has fallen to the Mongol vanguard and the city is now the scene of a slaughter on a scale unrivaled since the days of Queen Boudica and her rebellion.;;;;;;;;;x 
EVTNAME_TOG_007;The Fall of Rome;;;;;;;;;x 
EVTDESC_TOG_007;As is proper, Rome once more suffers at the just hands of warriors from the east. A Mongol army has breached the Aurelian Walls, and its horses are now grazing on the field of the Circus Maximus while the ranking officers raise their yurts on the Palatine Hill. As expected, no mercy is shown to those foolish Romans who have not yet fled the city.;;;;;;;;;x 
EVTNAME_TOG_008;The Fall of Venice;;;;;;;;;x 
EVTDESC_TOG_008;The canals of Venice have been blocked by the bloated corpses of the dead as the city is sacked by frenzied Mongol warriors. Those few fortunate enough to have escaped the slaughter claim the bodies are packed tightly enough in the Venetian Lagoon for the Mongols to ride to and from the mainland as they please.;;;;;;;;;x 
EVTNAME_TOG_009;The Fall of Constantinople;;;;;;;;;x 
EVTDESC_TOG_009;The Theodosian Walls have not been enough to spare Constantinople from the deadly touch of the Mongol nation. The great imperial capital has been sacked, its citizens butchered or enslaved, the Hagia Sophia defiled and the Great Palace of the emperors put to the torch.;;;;;;;;;x 
EVTNAME_TOG_010;The Fall of Lisbon;;;;;;;;;x 
EVTDESC_TOG_010;Our armies have now reached as far west as Lisbon in the quest to conquer the world for the great Mongol nation. While the city burns at the touch of our warriors, they look out over the great blue expanse of the Atlantic. Who can tell what lies beyond?;;;;;;;;;x 
EVTNAME_TOG_011;The Fall of Smolensk;;;;;;;;;x 
EVTDESC_TOG_011;Smolensk has been swallowed up by the Mongol horde as it continues its relentless advance to the west. When the great host finally moves on, little remains of the city but ashes and charred rubble, and those lucky few inhabitants who somehow escaped the notice of the rampaging horsemen.;;;;;;;;;x 
EVTNAME_TOG_012;The Fall of Prague;;;;;;;;;x 
EVTDESC_TOG_012;The city of Prague has indeed become a beacon of light in an otherwise dark world, as Mongol warriors move from house to house and set fire to everything not yet looted. A flood of refugees spread horrific tales about the cruelty and skill of the bloodthirsty Tartar horsemen to every corner of Europe.;;;;;;;;;x 
EVTNAME_TOG_013;The Fall of Vienna;;;;;;;;;x 
EVTDESC_TOG_013;Vienna, a city previously of growing importance on the Danube river, has become the latest target of the great Mongol armies as they continue to pillage and burn their way across Europe. The smoking ruins and arrow-riddled corpses they leave behind when they move on do not lend much faith in the city's future prospects.;;;;;;;;;x 
EVTNAME_TOG_014;The Fall of Esztergom;;;;;;;;;x 
EVTDESC_TOG_014;The great Mongol horde has reached beyond the Carpathians and fanned out across the Great Hungarian Plain. Now the city of Esztergom has fallen to the murderous host and is the scene of indiscriminate slaughter. Those that attempt to flee on foot are cut down without mercy by the fast horsemen as dark, billowing smoke rises towards the sky above the city.;;;;;;;;;x 
EVTNAME_TOG_015;The Fall of Athens;;;;;;;;;x 
EVTDESC_TOG_015;The ancient city of Athens has fallen to the Mongols, and they now rampage unchecked behind its walls. Great monuments and artifacts dating back to the dawn of Western Civilisation are lost forever in a cultural desecration that will surely be felt by future generations thousands of years from now.;;;;;;;;;x 
EVTNAME_TOG_016;The Fall of Belgrade;;;;;;;;;x 
EVTDESC_TOG_016;The White City has turned red as the Mongol armies seize Belgrade and massacre the inhabitants without exception. After several days of slaughter and looting, the smell of death and rotting flesh proves too much even for our warriors to bear and they move their camp upwind from the scorched ruins of the city.;;;;;;;;;x 
EVTNAME_TOG_017;The Fall of Baghdad;;;;;;;;;x 
EVTDESC_TOG_017;The decadent city of Baghdad, supposedly one of the world's foremost centers of learning, has succumbed to the unstoppable Mongol armies after a siege. Now the Tigris river runs not only red with blood, but black with the ink of priceless and irreplaceable tomes from the House of Wisdom and the city's other great libraries.;;;;;;;;;x 
EVTNAME_TOG_018;The Fall of Damascus;;;;;;;;;x 
EVTDESC_TOG_018;Damascus, the ancient City of Jasmine, has been sacked by the advancing Mongols. Our warriors have gathered a colossal pile of severed heads on a field just outside the city walls, now renamed burj al-ru'us by the massacre's few survivors - the Tower of Heads.;;;;;;;;;x 
EVTNAME_TOG_019;The Fall of Jerusalem;;;;;;;;;x 
EVTDESC_TOG_019;The great Mongol host has sacked Jerusalem, spurring a moment of rare solidarity between members of all the city's different religions as they suffer equal horrors under the righteous wrath of our warriors.;;;;;;;;;x 
EVTNAME_TOG_020;The Fall of Alexandria;;;;;;;;;x 
EVTDESC_TOG_020;Not content with our vast empire surpassing Alexander the Great's in sheer size, Mongol armies are now laying waste to the city that is his namesake as well. Pompey's Pillar has been toppled, but sadly the Pharos Lighthouse is spared when the our warriors deem it not worth the great effort it would require to raze it to the ground.;;;;;;;;;x 
EVTNAME_TOG_021;The Fall of Cairo;;;;;;;;;x 
EVTDESC_TOG_021;Riding through the fertile Nile Delta, a Mongol army has arrived at the Great Pyramids of Giza and breached the gates of Cairo. Surely even the cruelest Pharaoh would be given pause by the pain and misery now inflicted on the city's decadent and foolish population.;;;;;;;;;x 
EVTNAME_TOG_022;The Fall of Mecca;;;;;;;;;x 
EVTDESC_TOG_022;The Muslim Holy City of Mecca now burns at the hands of Mongol warriors. Pilgrims journeying from distant lands to show their submission to Allah are met only with death when approaching the city gates. This desecration will be remembered for ages to come, hopefully as an important lesson on the price of defying the powerful Mongol nation.;;;;;;;;;x 
d_slesvig_adj_german;Slesvigian;;;;;;;;;x 
d_meath_adj_north_germanic;Dubliner;;;;;;;;;x 
k_moravia;Great Moravia;;;;;;;;;x 
k_moravia_adj;Moravian;;;;;;;;;x 
#k_seljuk_turks;Seljuk Turks;;;;;;;;;x 
PROV622;Turkestan;;;;;;;;;x 
PROV629;Konjikala;;;;;;;;;x 
d_turkestan;Turkestan;;;;;;;;;x 
d_turkestan_adj;Turkestani;;;;;;;;;x 
k_turkestan;Turkestan;;;;;;;;;x 
k_turkestan_adj;Turkestani;;;;;;;;;x 
c_turkestan_adj;Turkestani;;;;;;;;;x 
commission_runestone;Commission a Runestone;;;;;;;;;x 
commission_runestone_desc;Commission a runestone to chronicle your exploits or the memory of a dead parent. This can be done only once in a lifetime, but others will look more favorably on you for a time.;;;;;;;;;x 
runestone_carved;The craftsmen start the process of carving and painting the runestone.;;;;;;;;;x 
runestone_traits;You will raise a runestone in honor of your own person.;;;;;;;;;x 
EVTDESC_TOG_500;You have decided to commission and raise a grand runestone for future generations to gaze upon. What should be carved into it?;;;;;;;;;x 
EVTOPTA_TOG_500;Let it speak of me.;;;;;;;;;x 
EVTOPTB_TOG_500;It shall stand in memory of [Root.Father.GetTitledFirstName], my departed father.;;;;;;;;;x 
EVTOPTC_TOG_500;It shall stand in memory of [Root.Mother.GetTitledFirstName], my beloved mother.;;;;;;;;;x 
EVTDESC_TOG_501;The artisans who will carve and paint the runestone are asking for instructions. Which of your qualities should it speak of?;;;;;;;;;x 
EVTOPTA_TOG_501;Oh, I don't know. Make something up.;;;;;;;;;x 
EVTOPTB_TOG_501;I know exactly what the stone should say...;;;;;;;;;x 
EVTOPTC_TOG_501;It schall shpeak of mead, schpirits, *hic* and other ssusch wondersch.;;;;;;;;;x 
EVTOPTD_TOG_501;It must share my beauty with the world.;;;;;;;;;x 
EVTOPTE_TOG_501;Let it show what a giant I was despite my stature.;;;;;;;;;x 
EVTOPTF_TOG_501;My wisdom must be preserved.;;;;;;;;;x 
EVTOPTI_TOG_501;Uhm... you decide...;;;;;;;;;x 
EVTOPTJ_TOG_501;The runes must say that I had the strength of ten men!;;;;;;;;;x 
EVTOPTK_TOG_501;My great knowledge of the world.;;;;;;;;;x 
EVTOPTL_TOG_501;I care not what you write, but it must show my impaled enemies!;;;;;;;;;x 
EVTOPTM_TOG_501;It should speak of summer fields, moonlit nights and...;;;;;;;;;x 
EVTOPTN_TOG_501;Just carve in my image and make sure it is well-endowed.;;;;;;;;;x 
EVTOPTO_TOG_501;Carve in all of my favorite recipes.;;;;;;;;;x 
EVTOPTP_TOG_501;Let it speak of sharing.;;;;;;;;;x 
EVTOPTQ_TOG_501;It should mention the importance of being kind to others.;;;;;;;;;x 
EVTOPTR_TOG_501;You will mention my greatness and the epic deeds I have performed.;;;;;;;;;x 
EVTOPTS_TOG_501;Oh, there is not much to say...;;;;;;;;;x 
EVTOPTT_TOG_501;It will say that I feared nothing.;;;;;;;;;x 
EVTOPTU_TOG_501;I wish to be known for my fairness in all things.;;;;;;;;;x 
EVTOPTV_TOG_501;My strong bonds to Odin.;;;;;;;;;x 
EVTOPTX_TOG_501;My harsh but necessary actions.;;;;;;;;;x 
EVTOPTY_TOG_501;The demon within me must be heard.;;;;;;;;;x 
EVTOPTZ_TOG_501;My Christian faith.;;;;;;;;;x 
EVTNAME_TOG_510;In Memory of [Root.Father.GetFirstName];;;;;;;;;x 
EVTDESC_TOG_510;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Father.GetFirstName], [Root.GetHerHis] father and [Root.Father.Father.GetFirstName]'s son. He lived a good life and died peacefully in bed. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_511;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Father.GetFirstName], [Root.GetHerHis] father and [Root.Father.Father.GetFirstName]'s son. He died bravely in battle against his foes, axe firmly in hand. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_512;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Father.GetFirstName], [Root.GetHerHis] father and [Root.Father.Father.GetFirstName]'s son. He was unjustly denied a death in battle, and his life was instead taken by the cowardly hangman. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_513;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Father.GetFirstName], [Root.GetHerHis] father and [Root.Father.Father.GetFirstName]'s son. He was murdered in cold-blood by his jealous enemies. May his killer one day know justice. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_515;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Father.GetFirstName], [Root.GetHerHis] father and [Root.Father.Father.GetFirstName]'s son. He was taken from this world before his time had come in a tragic accident. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_516;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Father.GetFirstName], [Root.GetHerHis] father and [Root.Father.Father.GetFirstName]'s son. He perished while locked away in a dark dungeon, out of sight but not forgotten. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_517;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Father.GetFirstName], [Root.GetHerHis] father and [Root.Father.Father.GetFirstName]'s son. He met his end in an effort to please the Old Gods. May they suffer his presence so that we do not have to. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_518;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Father.GetFirstName], [Root.GetHerHis] father and [Root.Father.Father.GetFirstName]'s son. His untimely death came in an epic hólmganga that will long be remembered. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_519;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Father.GetFirstName], [Root.GetHerHis] father and [Root.Father.Father.GetFirstName]'s son. The poor wretch died by his own hands. May he know in death the peace he never found in life. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_520;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Father.GetFirstName], [Root.GetHerHis] father and [Root.Father.Father.GetFirstName]'s son. He lived a good life and died peacefully in bed. His death was not the result of foul-play, and [Root.GetFirstName] certainly had nothing to do with it. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_521;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Father.GetFirstName], [Root.GetHerHis] father and [Root.Father.Father.GetFirstName]'s son. He was a caring father and husband, and lived a good life. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_530;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Mother.GetFirstName], [Root.GetHerHis] mother and [Root.Mother.Mother.GetFirstName]'s daughter. She lived a good life and died peacefully in bed. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_531;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Mother.GetFirstName], [Root.GetHerHis] mother and [Root.Mother.Mother.GetFirstName]'s daughter. She was robbed of her life by the cowardly hangman for reasons too petty to mention. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_532;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Mother.GetFirstName], [Root.GetHerHis] mother and [Root.Mother.Mother.GetFirstName]'s daughter. She was murdered in cold-blood by her jealous enemies. May her killer one day know justice. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_534;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Mother.GetFirstName], [Root.GetHerHis] mother and [Root.Mother.Mother.GetFirstName]'s daughter. She was taken from this world before her time had come in a tragic accident. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_535;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Mother.GetFirstName], [Root.GetHerHis] mother and [Root.Mother.Mother.GetFirstName]'s daughter. She perished while locked away in a dark dungeon, out of sight but not forgotten. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_536;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Mother.GetFirstName], [Root.GetHerHis] mother and [Root.Mother.Mother.GetFirstName]'s daughter. She met her end in an effort to please the Old Gods. May they suffer her presence so that we do not have to. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_537;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Mother.GetFirstName], [Root.GetHerHis] mother and [Root.Mother.Mother.GetFirstName]'s daughter. The poor wretch died by her own hands. May she know in death the peace she never found in life. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_538;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Mother.GetFirstName], [Root.GetHerHis] mother and [Root.Mother.Mother.GetFirstName]'s daughter. She lived a good life and died peacefully in bed. Her death was not the result of foul-play, and [Root.GetFirstName] certainly had nothing to do with it. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_539;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName] in memory of [Root.Mother.GetFirstName], [Root.GetHerHis] mother and [Root.Mother.Mother.GetFirstName]'s daughter. She was a caring mother and wife, and lived a good life. Ever will stand this memorial.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTNAME_TOG_530;In Memory of [Root.Mother.GetFirstName];;;;;;;;;x 
EVTNAME_TOG_550;The Stone is Raised;;;;;;;;;x 
EVTDESC_TOG_550;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\n[Root.GetFirstName], [Root.GetSonDaughter] of [Root.Father.GetFirstName] and [Root.Mother.GetFirstName], had this stone raised in [Root.GetHerHis] own memory while [Root.GetSheHe] lived. May [Root.GetSheHe] be remembered with joy and happiness.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTOPTA_TOG_550;It's perfect!;;;;;;;;;x 
EVTDESC_TOG_551;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\n[Root.GetFirstName], proud [Root.GetSonDaughter] of a holy union between Odin, a wild mare and three forest gnomes, paid Óleifr handsomely to carve these runes. With [Root.GetHerHis] flying longship and its crew of twelve singing rabbits, [Root.GetFirstName] earned [Root.GetHerHis] fame by sailing across the Norse lands solving crime. May the Shining Tentacle preserve us all.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_552;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\n[Root.GetFirstName], [Root.GetSonDaughter] of [Root.Father.GetFirstName] and [Root.Mother.GetFirstName], had this stone raised in memory of [Root.GetHerselfHimself] in his own lifetime. Let it be said that [Root.GetHerHis] love for mead and spirits was second to none.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_553;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\n[Root.GetFirstName], the [Root.GetSonDaughter] of [Root.Father.GetFirstName], ordered this stone raised during [Root.GetHerHis] own lifetime. It is true that [Root.GetHerHis] beauty and fair features were without equal in all the lands settled by men. Alfr carved, Einarr painted.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_554;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\n[Root.GetFirstName], [Root.GetSonDaughter] of [Root.Father.GetFirstName] and [Root.Mother.GetFirstName], had this stone carved in [Root.GetHerHis] own memory. Though [Root.GetSheHe] was slight of size, [Root.GetFirstName] had the will of a giant. Oddr carved this memorial while [Root.GetSheHe] lived.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_555;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\nThis stone was raised by [Root.GetFirstName], [Root.Father.GetFirstName]'s [Root.GetSonDaughter], to celebrate [Root.GetHerHis] great wisdom. Truly no greater thinker lived in this era, or the ones before. Toke carved these runes.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_556;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\n[Root.GetFirstName] the Hapless, [Root.GetSonDaughter] of [Root.Father.GetFirstName] and [Root.Mother.GetFirstName], somehow managed to see this stone raised in [Root.GetHerHis] own memory. Many said [Root.GetSheHe] was worthless and would amount to nothing, and perhaps they were right. The great Tjudmund, whose skill with women was legendary, took pity and carved these words.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
EVTDESC_TOG_557;The runestone you commissioned has been finished and raised on the spot you chose for it. You examine the runes:\n\n[Root.GetFirstName], [Root.GetSonDaughter] of [Root.Father.GetFirstName] and [Root.Mother.GetFirstName], commanded that this stone be erected in [Root.GetHerHis] lifetime. It was said that [Root.GetSheHe] had the strength of ten men, and no one dared oppose this claim. The stone was carved by Orm.\n\nYou leave the stone, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these rune carvings in an effort to glean the wisdom of their words.;;;;;;;;;x 
