#CODE;ENGLISH;;;;;;;;;x 
AIREASON_CAN_PAY_OWN_RANSOM;§Y[GetTitledFirstName]§! can afford [GetHerHis] own ransom;;;;;;;;;x 
EVTDESC_SOA_1253;Most wise [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPeace be upon you,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_1331;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Teutonic Order in their struggle against the heathens, even though this will forever disinherit him.;;;;;;;;;x 
EVTTOOLTIP_SOA_1332;[This.GetTitledFirstName] joins the Teutonic Order.;;;;;;;;;x 
EVTDESC_SOA_1353;Most righteous [Root.GetTitledFirstName], the Order needs more castles in order to defend Christianity against the vicious heathens. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTOPTB_SOA_1353;No, that region is mine;;;;;;;;;x 
EVTDESC_SOA_1354;The Teutonic Order have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTOPTA_SOA_1403;Very well;;;;;;;;;x 
EVTDESC_SOA_1411;Most righteous [Root.GetTitledFirstName], of course we, the Nizari Ismailis, can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. Salaam alaykum,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_1424;The Nizari Ismaili Hashshashins have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_1431;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the dreaded Hashshashins in their shady struggles. This will forever disinherit him and he will never disgrace the dynasty with his decadence.;;;;;;;;;x 
EVTTOOLTIP_SOA_1432;[This.GetTitledFirstName] joins the Hashshashins.;;;;;;;;;x 
EVTDESC_SOA_1454;The Hashshashins have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_1461;Great [Root.PrimaryTitle.GetRulerTitle], your antagonism is misguided! The Order serves Allah, but, one has to wonder, do you?\n\nWith furious anger,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_1531;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the fearsome Jomsvikings in their adventures, even though this will forever disinherit him.;;;;;;;;;x 
EVTTOOLTIP_SOA_1532;[This.GetTitledFirstName] becomes a Jomsviking.;;;;;;;;;x 
EVTDESC_SOA_1541;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in our fight for the glory of the Old Gods! You have my friendship, as well as that of both gods and priesthood. May the gods smile on you.\nFor the Allfather!\n\nWarchief [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_1553;Mighty [Root.GetTitledFirstName], the Jomsviking brotherhood has need of another base from which to strike at the weak followers of the lesser gods. I understand that there is a suitable location in your demesne, in [FromFrom.GetName]. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nGlory to Odin!\n\nWarchief [From.GetFirstName];;;;;;;;;x 
EVTOPTB_SOA_1553;No, that region is mine;;;;;;;;;x 
EVTDESC_SOA_1554;The Jomsvikings have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_1561;Great [Root.PrimaryTitle.GetRulerTitle], your wrath is misdirected! The Order serves the gods faithfully, but, one has to wonder, do you?\n\n[From.Religion.GetRandomGodNameCap] curse you!,\n\nWarchief [From.GetFirstName];;;;;;;;;x 
EVTOPTC_SOA_4000;This will stir up the peasants...;;;;;;;;;x 
EVTDESC_SOA_4020;I am greatly impressed by the wisdom of a local [Root.Location.Religion.GetName] preacher. Heresy or not, I am starting to believe...;;;;;;;;;x 
EVTOPTA_SOA_4020;Embrace the [Root.Location.Religion.GetName] creed!;;;;;;;;;x 
EVTOPTB_SOA_4020;It is too dangerous...;;;;;;;;;x 
EVTDESC_SOA_4021;My [GetFromRelation] [From.GetBestName] has embraced a dangerous heresy, no doubt influenced by local preachers.;;;;;;;;;x 
EVTOPTA_SOA_4021;Demand reconversion!;;;;;;;;;x 
EVTOPTB_SOA_4021;Let it slide;;;;;;;;;x 
EVTOPTC_SOA_4021;Engage [From.GetObjectPronoun] in theological debate;;;;;;;;;x 
EVTTOOLTIP_SOA_4022;[This.GetTitledFirstName] receives an ultimatum;;;;;;;;;x 
EVTTOOLTIP_SOA_4025;A carefully written letter is sent to [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC_SOA_4022;It has come to my attention that your mind has been clouded by heretic nonsense. This is an affront to [From.Religion.GetRandomGodName]! Return to the true path or face my wrath. Your liege,\n\n[From.GetTitledFirstName];;;;;;;;;x 
EVTTOOLTIP_SOA_4023;[This.GetTitledFirstName] receives my answer;;;;;;;;;x 
EVTTOOLTIP_SOA_4024;[This.GetTitledFirstName] is told of my refusal;;;;;;;;;x 
EVTDESC_SOA_4023;My dear [GetFromReverseRelation], I assure you that I am a righteous believer. I shall close my ears to the spoutings of the local heretics and pray for their imminent eradication!\n\nYour faithful [GetFromRelation],\n\n[From.GetTitledFirstName];;;;;;;;;x 
EVTDESC_SOA_4024;My dear [GetFromReverseRelation], I have mulled it over carefully but I must follow my heart and mind. The [From.Religion.GetName] faith rings true in a way that the [Root.Religion.GetName] creed does not. I will pray for your salvation.\n\nYour faithful [GetFromRelation],\n\n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTC_SOA_4024;There will be consequences!;;;;;;;;;x 
EVTDESC_SOA_4025;My dear [Root.GetFirstName], do not be swayed by the misguided arguments of [Root.Religion.GetName] preachers! Do not feel too bad though - you are not the first to fall prey to their flawed reasoning. Please study my enclosed summary of previous theological debates on the matter and I am sure you will come to your senses. Your friend and liege,\n\n[From.GetTitledFirstName];;;;;;;;;x 
EVTDESC_SOA_4026;My dear [GetFromReverseRelation], your penetrating gaze can part even the thickest theological fog. I am utterly convinced by your learned arguments! Rest assured that I will never stray again.\n\nYour grateful [GetFromRelation],\n\n[From.GetTitledFirstName];;;;;;;;;x 
EVTDESC_SOA_4031;My [GetFromRelation] [From.GetTitledFirstName] has carefully approached me about [From.GetPossPronoun] [From.Religion.GetName] beliefs, trying to convert me to [From.GetPossPronoun] way of worship!;;;;;;;;;x 
EVTOPTA_SOA_4031;By [Root.Religion.GetRandomGodName], [From.GetSubjectPronoun] is right!;;;;;;;;;x 
EVTOPTB_SOA_4031;No, but I won't take action;;;;;;;;;x 
EVTOPTC_SOA_4031;Engage [From.GetObjectPronoun] in theological debate;;;;;;;;;x 
EVTOPTD_SOA_4031;Guards! Seize the heretic!;;;;;;;;;x 
EVTOPTE_SOA_4031;Inform [From.Liege.GetTitledFirstName]...;;;;;;;;;x 
EVTDESC_SOA_4032;My dear [GetFromReverseRelation], I was just approached by [FromFrom.GetBestName], who tried to convince me to join [FromFrom.GetObjectPronoun] in [FromFrom.GetPossPronoun] vile heresy! I hope you can convince [FromFrom.GetObjectPronoun] to see sense.\n\nYour faithful [GetFromRelation],\n\n[From.GetTitledFirstName];;;;;;;;;x 
EVTDESC_SOA_4101;The foul [From.Religion.GetName] heresy is spreading like wildfire in [From.GetName]. As the head of the true [Root.Religion.GetName] faith, I must take action to quell it in the name of [Root.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTOPTA_SOA_4101;Send in the Inquisition!;;;;;;;;;x 
EVTOPTB_SOA_4101;Send a legate to [From.Holder.TopLiege.GetTitledName];;;;;;;;;x 
EVTOPTC_SOA_4101;Open a dialogue with the heretics;;;;;;;;;x 
EVTOPTD_SOA_4101;My hands are tied;;;;;;;;;x 
EVTTOOLTIP_SOA_4110;A large group of preachers and armed guards are dispatched;;;;;;;;;x 
EVTTOOLTIP_SOA_4120;A legate is sent to [This.GetTitledName];;;;;;;;;x 
EVTTOOLTIP_SOA_4130;A group of theologians are dispatched;;;;;;;;;x 
EVTDESC_SOA_4110;[From.GetTitledFirstName] has sent a large group of priests and armed guards to crush the heretics in [Root.GetName]!;;;;;;;;;x 
EVTOPTA_SOA_4110;A messy affair...;;;;;;;;;x 
EVTDESC_SOA_4111;The inquisitors are returning to [FromFrom.Capital.GetName] after failing to accomplish much in [Root.GetName] - aside from riling up the peasants.;;;;;;;;;x 
EVTOPTA_SOA_4111;So, now it's my problem;;;;;;;;;x 
EVTDESC_SOA_4112;The Inquisition in [From.GetName] has failed - the heretic sentiments were just too entrenched.;;;;;;;;;x 
EVTOPTA_SOA_4112;Curse the apostates!;;;;;;;;;x 
EVTDESC_SOA_4113;After successfully stomping out the heresy in [Root.GetName], the inquisitors are returning to [FromFrom.Capital.GetName].;;;;;;;;;x 
EVTOPTA_SOA_4113;Well, that is a surprise!;;;;;;;;;x 
EVTDESC_SOA_4114;The Inquisition in [From.GetName] has succeeded - the local heretics have been effectively suppressed.;;;;;;;;;x 
EVTOPTA_SOA_4114;Praise [Root.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTDESC_SOA_4120;A special legate from [From.GetTitledName] has arrived at my court. The [From.PrimaryTitle.GetRulerTitle] is greatly concerned about the heretics in [FromFrom.GetName] and urges me to handle the situation.;;;;;;;;;x 
EVTOPTA_SOA_4120;It shall be done within 10 years!;;;;;;;;;x 
EVTDESC_SOA_4122;The heretics in [From.GetName] have been eradicated as my legate instructed [From.Holder.TopLiege.GetTitledName].;;;;;;;;;x 
EVTOPTA_SOA_4122;Send 100¤ to show my gratitude;;;;;;;;;x 
EVTOPTB_SOA_4122;Proclaim [From.Holder.TopLiege.GetTitledFirstName]'s piety to the world;;;;;;;;;x 
EVTOPTC_SOA_4122;Lift the excommunication on [From.Holder.TopLiege.GetTitledFirstName];;;;;;;;;x 
EVTTOOLTIP_SOA_4123;[This.GetTitledFirstName] receives my gift;;;;;;;;;x 
EVTTOOLTIP_SOA_4124;[This.GetTitledFirstName] gets 200 Piety;;;;;;;;;x 
EVTTOOLTIP_SOA_4125;The excommunication is lifted from [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC_SOA_4123;His Holiness the [From.PrimaryTitle.GetRulerTitle] has gifted me with 100¤ in gratitude for my eradication of the heretics in [FromFrom.GetName].;;;;;;;;;x 
EVTOPTA_SOA_4123;Praise [Root.Religion.GetRandomGodName];;;;;;;;;x 
EVTDESC_SOA_4124;[From.GetPossPronounCap] the [From.PrimaryTitle.GetRulerTitle] has extolled my virtues to the world in gratitude for my eradication of the heretics in [FromFrom.GetName].;;;;;;;;;x 
EVTDESC_SOA_4125;[From.GetPossPronounCap] the [From.PrimaryTitle.GetRulerTitle] has lifted my excommunication in gratitude for my eradication of the heretics in [FromFrom.GetName].;;;;;;;;;x 
EVTDESC_SOA_4130;[From.GetTitledFirstName] has dispatched a group of prominent theologians to initiate peaceful dialogue with the heretics in [Root.GetName]!;;;;;;;;;x 
EVTOPTA_SOA_4130;The [From.PrimaryTitle.GetRulerTitle] is wise;;;;;;;;;x 
EVTDESC_SOA_4131;The theologians dispatched to [Root.GetName] by the [FromFrom.PrimaryTitle.GetRulerTitle] are returning to [FromFrom.Capital.GetName] with their tails between their legs.;;;;;;;;;x 
EVTOPTA_SOA_4131;I thought they were supposed to be good;;;;;;;;;x 
EVTDESC_SOA_4132;The theologians we dispatched to [From.GetName] have failed - the heretics were literate and well prepared.;;;;;;;;;x 
EVTOPTA_SOA_4132;Apostates! Renegades!;;;;;;;;;x 
EVTDESC_SOA_4133;The theologians dispatched to [Root.GetName] by the [FromFrom.PrimaryTitle.GetRulerTitle] are returning to [FromFrom.Capital.GetName] in triumph. The heretics have renounced their false beliefs!;;;;;;;;;x 
EVTOPTA_SOA_4133;Good!;;;;;;;;;x 
EVTDESC_SOA_4134;The theologians we sent to [From.GetName] have returned in triumph after convincing the heretics to return to the fold.;;;;;;;;;x 
EVTOPTA_SOA_4134;Praise [Root.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTTITLE_SOA_4200;The [From.Religion.GetName] Faith Triumphant;;;;;;;;;x 
EVTDESC_SOA_4200;The adherents of the [FromFrom.Religion.GetName] faith have steadily dwindled to the point where [From.Religion.GetName] believers are in the majority. This new state of affairs has reduced the [FromFrom.Religion.GetName] faith to a de facto heresy! All former [FromFrom.Religion.GetName] Holy Orders are now [From.Religion.GetName].;;;;;;;;;x 
EVTOPTA_SOA_4200;[From.Religion.GetRandomGodNameCap] is good!;;;;;;;;;x 
EVTOPTB_SOA_4200;[FromFrom.Religion.GetRandomGodNameCap] save us!;;;;;;;;;x 
EVTOPTC_SOA_4200;The bickering of fools does not concern me;;;;;;;;;x 
active_inquisition;Ongoing Inquisition;;;;;;;;;x 
theological_dialogue;Theological Dialogue;;;;;;;;;x 
failed_inquisition;Failed Inquisition;;;;;;;;;x 
successful_inquisition;Successful Inquisition;;;;;;;;;x 
failed_heretic_dialogue;Lost Theological Debate;;;;;;;;;x 
successful_heretic_dialogue;Won Theological Debate;;;;;;;;;x 
opinion_refused_request_holy_order;Forbidden to Join Holy Order;;;;;;;;;x 
BANISH_ALL_OF_RELIGION_EFFECT;Banish all §Y$RELIGION$§! characters from Realm\n;;;;;;;;;x 
DOES_NOT_HAVE_HERESIES;Religion does NOT have heresies;;;;;;;;;x 
HAS_HERESIES;Religion has heresies;;;;;;;;;x 
THE_EPISTLES_OF_WISDOM;The Epistles of Wisdom;;;;;;;;;x 
THE_BOOK_OF_ILLUMINATION;The Book of Illumination;;;;;;;;;x 
GOD_THE_PEACOCK_ANGEL;The Peacock Angel;;;;;;;;;x 
GOD_TAWUSE_MELEK;Tawuse Melek;;;;;;;;;x 
GOD_SHAYTAN;Shaytan;;;;;;;;;x 
temple_barony_druze;Khalwat;;;;;;;;;x 
temple_barony_of_druze;Khalwat of;;;;;;;;;x 
temple_barony_yazidi;Temple;;;;;;;;;x 
temple_barony_of_yazidi;Temple of;;;;;;;;;x 
k_fraticelli;The Fraticelli Papacy;;;;;;;;;x 
k_fraticelli_adj;Fraticelli Papal;;;;;;;;;x 
k_iconoclast;The Iconoclast Patriarchate;;;;;;;;;x 
k_iconoclast_adj;Iconoclast Patriarchal;;;;;;;;;x 
d_yazidi;The Yazidi Sheikhdom;;;;;;;;;x 
d_yazidi_adj;Yazidi;;;;;;;;;x 
e_ibadi;The Ibadi Caliphate;;;;;;;;;x 
e_ibadi_adj;Ibadi Caliphal;;;;;;;;;x 
e_hurufi;The Hurufi Skeikhdom;;;;;;;;;x 
e_hurufi;Hurufi;;;;;;;;;x 
SHEIKH;Sheikh;;;;;;;;;x 
SHEIKHA;Sheikha;;;;;;;;;x 
VASSAL_RETRACTION_SETUP;A Vassal has been retracted;;;;;;;;;x 
papacy_instituted;Papacy Instituted;;;;;;;;;x 
patriarchy_instituted;Patriarchate Instituted;;;;;;;;;x 
create_fraticelli_papacy;Create the Fraticelli Papacy;;;;;;;;;x 
create_fraticelli_papacy_desc;If I am pious enough and control Rome, I can create a Fraticelli Pope to serve as the head of the faith in opposition to the vile Catholic Pope.;;;;;;;;;x 
create_iconoclast_patriarchy;Create the Iconoclast Patriarchate;;;;;;;;;x 
create_iconoclast_patriarchy_desc;If I am pious enough and control Constantinople, I can create an Iconoclast Ecumenical Patriarch to serve as the head of the faith in opposition to the deluded icon worshipping Patriarch.;;;;;;;;;x 
welcome_jews;Welcome the Jews;;;;;;;;;x 
welcome_jews_desc;Jews will be welcomed back into the realm with open arms, enjoying the same rights and liberties as your other citizens.;;;;;;;;;x 
expel_jews;Expel the Jewry;;;;;;;;;x 
expel_jews_desc;All Jews will be expelled from the realm. Loans you have taken from Jewish moneylenders are forfeit and will not need to be repaid, but Jews will not return for many years.;;;;;;;;;x 
jews_are_expelled;All Jews are expelled from the realm.;;;;;;;;;x 
jews_are_welcome;Jews are welcomed back into the realm.;;;;;;;;;x 
expelled_jewish;Expelled Jews;;;;;;;;;x 
EVTDESC_SoA_105;You have decided to expel all Jews from your realm. After your guards round the Jewry up, they are forced to depart in yet another large exodus for lands more friendly to their kind. They are allowed to keep many of their belongings, but you confiscate much of their gold.;;;;;;;;;x 
EVTOPTA_SoA_105;It shall go to the Crown.;;;;;;;;;x 
EVTDESC_SoA_106;Jews have been banned from your realm for some time, but strangely this seems to have had no effect on many of the malaises they were thought responsible for, such as famines and disease. By now most Jews seem to have forgiven your offenses, and you have decided to welcome them back with open arms.;;;;;;;;;x 
EVTOPTA_SoA_106;Mistakes were made. Let us not dwell on them.;;;;;;;;;x 
health_travel_condition;Is healthy enough to travel;;;;;;;;;x 
CARDINAL_VOTE;Vote:;;;;;;;;;x 
CURRENT_CHOICE;Current Choice;;;;;;;;;x 
CURRENT_CHOICE_DESC;This is the Cardinal's current choice for the next Pope.;;;;;;;;;x 
SAME_RELIGION_REQ_NOMINATION;§RMust be $RELIGION$ to nominate a successor§!;;;;;;;;;x 
EVTDESC_SoA_200;A Jewish exile, fleeing persecution elsewhere in Europe, has showed up at your court. His time spent abroad has gifted him with many connections, and by all accounts he is an able diplomat. He would make a fine chancellor.;;;;;;;;;x 
EVTOPTA_SoA_200;Indeed?;;;;;;;;;x 
EVTDESC_SoA_201;A learned Jewish man has appeared at your court. He comes highly recommended in the arts of bookkeeping and administration. Already he has suggested several ways of improving the bureaucratic efficiency of the realm, and he could potentially make a fine steward. ;;;;;;;;;x 
EVTDESC_SoA_202;A mysterious Jewish man has offered his services at your court. He is well-versed in feudal court intrigue and has a past as both a mercenary and a spy. If he can be trusted, he could very well prove to be an indispensable asset in your council...;;;;;;;;;x 
israelite;Israelite;;;;;;;;;x 
ashkenazi;Ashkenazi;;;;;;;;;x 
sephardi;Sephardi;;;;;;;;;x 
passover_invitations_sent;You send out invitations to your Jewish vassals for the traditional Passover Seder dinner.;;;;;;;;;x 
passover_accepted;You accept the invitation.;;;;;;;;;x 
passover_declined;You decline the invitation.;;;;;;;;;x 
EVTDESC_SoA_500;More than 2,000 years ago, God aided the Children of Israel in their escape from slavery by inflicting ten plagues upon ancient Egypt. The last of these saw a spirit of the Lord slay every first-born in Egypt, but 'pass over' Jewish homes marked with the blood of a slaughtered lamb. This festival celebrates the return of freedom to the enslaved Jewish people.;;;;;;;;;x 
EVTOPTA_SoA_500;Send the invitations.;;;;;;;;;x 
EVTTOOLTIP_SoA_501;Invitation to the Passover Seder dinner is sent.;;;;;;;;;x 
EVTDESC_SoA_501;You have been invited to join your liege, [From.GetTitledFirstName], at the Passover Seder [From.GetSheHe] is hosting this year. This ritual dinner is held on the first night of Passover and involves the retelling of the Exodus from Egypt.;;;;;;;;;x 
EVTOPTA_SoA_501;How kind!;;;;;;;;;x 
EVTOPTB_SoA_501;Unfortunately, I have other plans.;;;;;;;;;x 
EVTDESC_SoA_502;[From.GetTitledFirstName] has refused your invitation to the Passover Seder, claiming [From.GetSheHe] has other plans.;;;;;;;;;x 
EVTOPTA_SoA_502;I see.;;;;;;;;;x 
EVTDESC_SoA_503;The seder dinner has begun, as is traditional on the first night of the Passover. Matzo flatbread is consumed in liberal amounts together with bitter maror herbs. Everyone is required to drink four cups of wine, each at a specific point during the seder, as the story of the Exodus from Egypt is retold and discussed.;;;;;;;;;x 
EVTOPTA_SoA_503;Pass the matzo, please.;;;;;;;;;x 
EVTDESC_SoA_504;The seder lasts well into the night, but all good things must end. Your vassals return home to celebrate the rest of Passover, but most seem to agree that your seder dinner was well worth the trip.;;;;;;;;;x 
EVTOPTA_SoA_504;Next year in Jerusalem!;;;;;;;;;x 
EVTDESC_SoA_505;The seder lasts well into the night, but all good things must end. You return home to celebrate the rest of Passover, but you and most of the other guests seem to agree that the seder dinner was well worth the trip.;;;;;;;;;x 
opinion_passover;Hosted Passover Seder;;;;;;;;;x 
opinion_refused_passover;Refused Passover Invitation;;;;;;;;;x 
celebrate_passover;Celebrate Passover;;;;;;;;;x 
celebrate_passover_desc;Passover is celebrated every year to commemorate the liberation of the Israelite people from slavery in Egypt. Spend lavishly and invite your vassals to make this year's celebration one to be remembered!;;;;;;;;;x 
passover_celebrations;The preparations for this year's Passover festival begin.;;;;;;;;;x 
opinion_supported_cardinal;Supported Cardinal Election;;;;;;;;;x 
opinion_supported_pope;Supported Pope Election;;;;;;;;;x 
PREFERATI;Preferatus;;;;;;;;;x 
PREFERATI_TOOLTIP;The Preferatus is the Cardinal expected to succeed the current Pope.;;;;;;;;;x 
POPE_VOTE_SCORE;§YPapal Suitability: $SCORE$§!;;;;;;;;;x 
CANDIDATE_SCORE;§YCardinal Appointment Score§!;;;;;;;;;x 
CANDIDATE_OPINION;Opinion;;;;;;;;;x 
CANDIDATE_REALM_POWER;Secular Power;;;;;;;;;x 
CANDIDATE_LIEGE_OPINION;Opinion of Lieges;;;;;;;;;x 
CANDIDATE_CULTURE_GROUP;$GROUP$ Culture Group;;;;;;;;;x 
CANDIDATE_CULTURE;$CULTURE$ Culture;;;;;;;;;x 
CANDIDATE_FAMOUS_DYNASTY;Prestigeous Dynasty;;;;;;;;;x 
CANDIDATE_VIRTUE;Virtue (Traits);;;;;;;;;x 
CANDIDATE_SIN;Sin (Traits);;;;;;;;;x 
CANDIDATE_AT_CAPITAL;Is in $LOCATION$;;;;;;;;;x 
HIGHPRIEST;High Priest;;;;;;;;;x 
EVTTITLE_SOA_1609;Brotherhood of the Holy Sepulchre;;;;;;;;;x 
EVTDESC_SOA_1609;The Brotherhood has worked tirelessly to protect Christian holy sites and relics in the Holy Land ever since it was first founded in 313, when the Edict of Milan legalized Christendom throughout the Roman Empire. Until recently, the Brotherhood consisted of ordained clergy who maintained and safeguarded these religious sites through largely peaceful means.\n\nAs the winds of change sweep across the world, this holy order has now become increasingly militarized and their ranks have grown dramatically to include professional soldiers as well. They have reaffirmed their dedication to protect the Holy Land from heathen invaders, but this pledge has now extended to include the defense of all of Orthodox Christendom.;;;;;;;;;x 
EVTOPTA_SOA_1609;A laudable goal!;;;;;;;;;x 
EVTOPTB_SOA_1609;These clerics should stay in their monestaries.;;;;;;;;;x 
EVTDESC_SOA_1631;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Brotherhood of the Holy Sepulchre in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;x 
EVTTOOLTIP_SOA_1632;[This.GetTitledFirstName] becomes a member of the Brotherhood.;;;;;;;;;x 
EVTDESC_SOA_1653;Most righteous [Root.GetTitledFirstName], the Brotherhood needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_1654;The Brotherhood of the Holy Sepulchre has constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_1661;Your majesty, this antagonism is completely unwarranted! The Brotherhood serves Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
expel_the_holy_sepulchre;Expel the Holy Sepulchre;;;;;;;;;x 
expel_the_holy_sepulchre_desc;I can drive the Brotherhood of the Holy Sepulchre from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
donate_money_to_holy_sepulchre;Donate 300¤ to the Holy Sepulchre;;;;;;;;;x 
expelled_d_holy_sepulchre;Expelled the Holy Sepulchre;;;;;;;;;x 
EVTTITLE_SOA_1709;The Order of Saint Anthony;;;;;;;;;x 
EVTOPTA_SOA_1709;These knights can finally fulfill their vows.;;;;;;;;;x 
EVTOPTB_SOA_1709;Saint who?;;;;;;;;;x 
EVTDESC_SOA_1731;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Order of Saint Anthony in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;x 
EVTTOOLTIP_SOA_1732;[This.GetTitledFirstName] becomes a Knight of Saint Anthony.;;;;;;;;;x 
EVTDESC_SOA_1754;The Order of Saint Anthony has constructed a castle in [Root.GetName]!;;;;;;;;;x 
expel_d_saint_anthony;Expel Saint Anthony;;;;;;;;;x 
expel_d_saint_anthony_desc;I can drive the Order of Saint Anthony from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
donate_money_to_saint_anthony;Donate 300¤ to Saint Anthony;;;;;;;;;x 
expelled_d_saint_anthony;Expelled the Order of Saint Anthony;;;;;;;;;x 
EVTTITLE_SOA_1809;The Immortals;;;;;;;;;x 
EVTOPTA_SOA_1809;The legendary warriors have returned!;;;;;;;;;x 
EVTOPTB_SOA_1809;Immortals? Pah, relics of the past.;;;;;;;;;x 
EVTDESC_SOA_1831;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Immortals in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;x 
EVTTOOLTIP_SOA_1832;[This.GetTitledFirstName] becomes an Immortal.;;;;;;;;;x 
EVTDESC_SOA_1853;Most righteous [Root.GetTitledFirstName], the Immortals need more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nBy Zoroaster's will,\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_1854;The Immortals have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_1861;Your majesty, this antagonism is completely unwarranted! The Immortals carry on the work of the prophet Zoroaster, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
expel_immortals;Expel the Immortals;;;;;;;;;x 
expel_immortals_desc;I can drive the Immortals from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
donate_money_to_the_immortals;Donate 300¤ to the Immortals;;;;;;;;;x 
expelled_d_immortals;Expelled the Immortals;;;;;;;;;x 
EVTTITLE_SOA_1909;The Zealots;;;;;;;;;x 
EVTDESC_SOA_1909;The Third Temple now stands tall on Temple Mount in Jerusalem, and several pious Jews have formed a new holy order modelled after the ancient Zealots to protect Judaism against its enemies. Just like the Jewish sect that is their namesake, these new Zealots will not shy away from violence against those they feel are deserving.\n\nSome within the Jewish religious community have accused the Zealots of taking their faith to extreme levels, but the ranks of this new order continue to swell as Jewish exiles returning to the Promised Land flock to their banner. Their numbers now include everyone from uneducated peasants to veteran soldiers from distant European wars.;;;;;;;;;x 
EVTOPTA_SOA_1909;Any defense of Judaism is welcome.;;;;;;;;;x 
EVTOPTB_SOA_1909;Radicals and extremists, the whole lot!;;;;;;;;;x 
EVTDESC_SOA_1931;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Zealots in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;x 
EVTTOOLTIP_SOA_1932;[This.GetTitledFirstName] becomes a Zealot.;;;;;;;;;x 
EVTDESC_SOA_1953;Most righteous [Root.GetTitledFirstName], the Zealots need more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nRemember Masada!\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_1954;The Zealots have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_1961;Your majesty, this antagonism is completely unwarranted! The Zealots seek only to defend Judaism from its many enemies, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
expel_zealots;Expel the Zealots;;;;;;;;;x 
expel_zealots_desc;I can drive the Zealots from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
donate_money_to_the_zealots;Donate 300¤ to the Zealots;;;;;;;;;x 
expelled_d_zealots;Expelled the Zealots;;;;;;;;;x 
EVTTITLE_SOA_2009;The Lords of the Sky;;;;;;;;;x 
