#CODE;ENGLISH;;;;;;;;;x 
gamer;Game Master;;;;;;;;;x 
EVTDESC_WoL_12001;An architect has been brought before your court with a proposal. With your blessing, he will oversee the construction of a new castle in [From.GetName]. The castle design he suggests is novel - it will require less effort and resources to build, and yet without sacrificing the potency of its defenses.;;;;;;;;;x 
EVTOPTA_WoL_12001;Build the castle!;;;;;;;;;x 
EVTOPTB_WoL_12001;No, we have no need of his services.;;;;;;;;;x 
castle_construction_begins;Construction of a new castle begins.;;;;;;;;;x 
architect_refused;You send the architect away.;;;;;;;;;x 
EVTDESC_WoL_12002;An architect has been brought before your court, proposing the construction of a new castle in [From.GetName] for less resources than such a massive project would normally require. Before you can give him an answer, [Root.job_treasurer.GetFullName], your [Root.GetTreasurerName], whispers in your ear: 'This charlatan is known to me. He cannot be trusted.';;;;;;;;;x 
EVTDESC_WoL_12003;An architect has been brought before your court, proposing the construction of a new castle in [From.GetName] for less resources than such a massive project would normally require. Before you can give him an answer, [Root.job_treasurer.GetFullName], your [Root.GetTreasurerName], whispers in your ear: 'I know of this man - I believe we can trust him.';;;;;;;;;x 
EVTDESC_WoL_12004;Your guards caught the architect hired to build your castle in [FromFrom.GetName] trying to abscond with the gold you gave him. The wretch spent much of it on spirits and women, but the rest have been returned to your coffers. It looks as though there will be no castle.;;;;;;;;;x 
EVTOPTA_WoL_12004;To the dungeons with him!;;;;;;;;;x 
EVTDESC_WoL_12005;The construction of your new castle in [FromFrom.GetName] has been hampered by delays and material shortages. It looks as though the architect's initial estimates of the building costs were somewhat... optimistic. More funds will be required if the castle is to be finished.;;;;;;;;;x 
EVTOPTA_WoL_12005;Confound it all! Give them the gold they need.;;;;;;;;;x 
EVTOPTB_WoL_12005;Abandon construction... let us save what we can.;;;;;;;;;x 
construction_ceases;Construction on the castle ceases.;;;;;;;;;x 
EVTDESC_WoL_12006;The castle you commissioned in [FromFrom.GetName] has been finished, and its construction required even less resources than originally planned! The surplus building material has been sold, and the gold placed in your coffers.;;;;;;;;;x 
EVTOPTA_WoL_12006;Excellent!;;;;;;;;;x 
EVTDESC_WoL_12007;The castle you commissioned in [FromFrom.GetName] has been finished, more or less on schedule, and it appears to be of sturdy construction.;;;;;;;;;x 
EVTOPTA_WoL_12007;Not bad.;;;;;;;;;x 
EVTDESC_WoL_12008;The castle you commissioned in [FromFromFrom.GetName] has finally been finished, and despite the setbacks it appears to be of sturdy construction.;;;;;;;;;x 
EVTOPTA_WoL_12008;About time.;;;;;;;;;x 
EVTDESC_WoL_12009;There are no longer any suitable locations for the new castle you had commissioned, and the work has been abandoned. Fortunately, most of the funds had not yet been spent.;;;;;;;;;x 
EVTOPTA_WoL_12009;Ah, that's right... they were building a castle there.;;;;;;;;;x 
EVTDESC_WoL_12010;Another day at court, and another endless procession of matters that you are required to pass judgment on. As yet another peasant drones on about his sickly pigs and the neighbor he believes poisoned them, you feel a profound emptiness. This isn't the life you had imagined.;;;;;;;;;x 
EVTOPTA_WoL_12010;By [This.Religion.GetRandomGodName], will you shut up about your pigs?!;;;;;;;;;x 
EVTDESC_WoL_12011;No matter how many issues you deal with, there are always more demanding your attention. As the cacophony of quarreling nobles echoes throughout your court, you suddenly snap and push your way through the bewildered crowds to reach the exit.;;;;;;;;;x 
EVTOPTA_WoL_12011;I can't take this anymore.;;;;;;;;;x 
EVTDESC_WoL_12015;A peasant accused of murder is dragged before your court. His wife and children were found butchered in the small hut they called home, and he was standing nearby, covered in their blood. Despite this damning evidence, the man continues to profess his innocence. What should be done with him?;;;;;;;;;x 
EVTOPTA_WoL_12015;This animal must be hanged.;;;;;;;;;x 
EVTOPTB_WoL_12015;Toss him into the dungeons and leave him there.;;;;;;;;;x 
EVTOPTC_WoL_12015;The evidence is circumstantial. Let him go.;;;;;;;;;x 
EVTOPTD_WoL_12015;Perhaps some torture will loosen his tongue.;;;;;;;;;x 
peasant_hanged;The peasant is hanged for his crimes.;;;;;;;;;x 
peasant_imprisoned;The peasant is thrown into the dungeons.;;;;;;;;;x 
peasant_set_free;The peasant is set free.;;;;;;;;;x 
peasant_tortured;The peasant is brought to your torture chamber.;;;;;;;;;x 
EVTDESC_WoL_12016;Your guards inform you that yet another peasant family has been found butchered not far from where the first grisly murders took place. This time the killer was caught in the act, and he was perforated by arrows when he tried to escape your guardsmen. It would seem the peasant you had hanged was innocent after all...;;;;;;;;;x 
EVTOPTA_WoL_12016;Perhaps my verdict was a bit... hasty.;;;;;;;;;x 
EVTDESC_WoL_12017;Your guards inform you that yet another peasant family has been found butchered not far from where the first grisly murders took place. This time the peasant you set free was caught in the act, and he was perforated by arrows when he tried to escape your guardsmen.;;;;;;;;;x 
EVTOPTA_WoL_12017;It was probably a bad idea to set him loose.;;;;;;;;;x 
EVTDESC_WoL_12018;The peasant admitted his guilt under torture. Unfortunately, he expired in the process, so you may never know what compelled such a beast to murder his own family. Oh well.;;;;;;;;;x 
EVTOPTA_WoL_12018;Justice has been served. Probably.;;;;;;;;;x 
EVTDESC_WoL_12019;Despite the torture, the peasant stubbornly refused to admit his guilt. Unfortunately, he expired in the process, but surely it was only a matter of time before he would have told us the truth of his crime...?;;;;;;;;;x 
EVTOPTA_WoL_12019;Yes... yes, of course.;;;;;;;;;x 
EVTDESC_WoL_12020;Yet another peasant family was found butchered not far from where the first grisly murders took place, but this time the killer was caught in the act. He was killed by your guardsmen while trying to escape, and the body they hauled back does decidedly not belong to the dead peasant who expired in your torture chamber.;;;;;;;;;x 
EVTOPTA_WoL_12020;Well... fancy that.;;;;;;;;;x 
EVTDESC_WoL_12021;Your guards inform you that yet another peasant family has been found butchered not far from where the first grisly murders took place. This time the killer was caught in the act, and he was perforated by arrows when he tried to escape your guardsmen. It would seem the peasant you had imprisoned was innocent after all.;;;;;;;;;x 
EVTOPTA_WoL_12021;Well, don't just stand there! Set him free!;;;;;;;;;x 
EVTDESC_WoL_12022;Your guards inform you that yet another peasant family has been found butchered not far from where the first grisly murders took place. This time the killer was caught in the act, and he was perforated by arrows when he tried to escape your guardsmen. It would seem the peasant you had imprisoned was innocent after all. Unfortunately he perished in your dungeons months ago.;;;;;;;;;x 
EVTOPTA_WoL_12022;Well, how was I to know?;;;;;;;;;x 
EVTDESC_WoL_12501;Your understanding of all matters pertaining to rulership and administration has increased.;;;;;;;;;x 
EVTDESC_WoL_12502;Recent events have increased your grasp of stewardship.;;;;;;;;;x 
EVTDESC_WoL_12503;Ruling from your court has increased your sense of justice. Your judgments have a profound effect on the lives of your subjects, and you have decided to be more fair.;;;;;;;;;x 
EVTDESC_WoL_12504;As more and more people seek audience at your court, you have come to realize that there is much to do when it comes to the administration of the realm. You must work harder!;;;;;;;;;x 
EVTDESC_WoL_12505;You are no longer content to rest on your laurels. The problems facing your realm are legion, and clearly no one can fix them but you.;;;;;;;;;x 
EVTDESC_WoL_12026;The feuding between [feuding_noble_1.GetBestName] and [feuding_noble_2.GetBestName] has reached your court, and can no longer be ignored. As your vassals, both have brought their grievances against each other to you in the hope of garnering your support.;;;;;;;;;x 
EVTOPTA_WoL_12026;[feuding_noble_1.GetTitledFirstName] is clearly in the right.;;;;;;;;;x 
EVTOPTB_WoL_12026;[feuding_noble_2.GetTitledFirstName] has my support.;;;;;;;;;x 
EVTOPTC_WoL_12026;Both are acting like quarreling children!;;;;;;;;;x 
EVTDESC_WoL_12027;A party of soldiers flying the banner of [farm_fire_noble.GetBestName] recently set up camp in the middle of a field belonging to a farmer in [Root.Capital.GetName]. According to the farmer, their camp fire spread out of control and his entire crop was reduced to ashes. He has brought the matter before your court and demands compensation.;;;;;;;;;x 
EVTOPTA_WoL_12027;[farm_fire_noble.GetTitledFirstName] is to compensate the farmer.;;;;;;;;;x 
EVTOPTB_WoL_12027;The fire was a divine act. No one is responsible.;;;;;;;;;x 
EVTOPTC_WoL_12027;I shall pay the farmer out of my own coffers.;;;;;;;;;x 
EVTDESC_WoL_12028;A woman accused of witchcraft in [witch_province.GetName] has been dragged before your court. Several witnesses have seen her performing dark rituals in her secluded hut, possibly related to recent crop failures. She claims innocence, and it falls on you to determine her fate.;;;;;;;;;x 
EVTOPTA_WoL_12028;She will burn at the stake.;;;;;;;;;x 
EVTOPTB_WoL_12028;Throw the fiend in the dungeons!;;;;;;;;;x 
EVTOPTC_WoL_12028;What nonsense is this? Release the poor woman at once!;;;;;;;;;x 
EVTDESC_WoL_12029;Several tavern owners in [drunken_rampage.GetName] have come forward to your court with complaints against [noble_drunkard.GetBestName]. Apparently, [noble_drunkard.GetSheHe] has gone on drunken rampages in all of their establishments, and they are demanding compensation. [noble_drunkard.GetTitledFirstName] claims to have no memory of the nights in question.;;;;;;;;;x 
EVTOPTA_WoL_12029;[noble_drunkard.GetTitledFirstName] shall compensate the tavern owners.;;;;;;;;;x 
EVTOPTB_WoL_12029;Drinking and debauchery are what your taverns are for, are they not?;;;;;;;;;x 
EVTOPTC_WoL_12029;Sigh... I will pay.;;;;;;;;;x 
EVTDESC_WoL_12031;During a visit to [mayor_city.GetName], [brigands_noble.GetBestName] and [brigands_noble.GetHerHis] entourage were accosted by brigands who made off with several valuables. Efforts to catch the thieves have failed, and [brigands_noble.GetTitledFirstName] is now demanding compensation from [brigands_mayor.GetBestName]. The matter has been brought for arbitration at your court.;;;;;;;;;x 
EVTOPTA_WoL_12031;It seems fair. [brigands_mayor.GetTitledFirstName] will pay for what was lost.;;;;;;;;;x 
EVTOPTB_WoL_12031;[brigands_mayor.GetTitledFirstName] can hardly be held responsible for this theft!;;;;;;;;;x 
EVTOPTC_WoL_12031;I will personally compensate [brigands_noble.GetTitledFirstName].;;;;;;;;;x 
EVTDESC_WoL_12506;Whether it is deserved or not, your decisions at court have earned you a reputation of being incredibly wise. People journey from far away to seek your advice.;;;;;;;;;x 
EVTDESC_WoL_12507;Your vassals have come to respect your rulership, even if they do not always agree with your decisions. No one questions that you have what it takes to rule.;;;;;;;;;x 
EVTDESC_WoL_4161_gamer;It's great to spend time carousing and frolicking in good company. You feel great, absolutely great, and that means the time has come to bring out the old game board.;;;;;;;;;x 
EVTDESC_WoL_4161_non_gamer;It's great to spend time carousing in merry company. While the cups are being refilled, [From.GetTitledFirstName] brings out a strange board with little decorated pieces, explaning that it's a kind of strategy game. [From.GetSheHe] assures you that it's a great pastime that combines well with copious amounts of drink.;;;;;;;;;x 
EVTOPTA_WoL_4161;We will play for money!;;;;;;;;;x 
EVTOPTB_WoL_4161;We will play for honor!;;;;;;;;;x 
EVTDESC_WoL_4162_money_i_suggest;You suggested to [From.GetTitledFirstName] that you bring out the board and pieces to play and see who's the better strategist. [From.GetSheHe] has accepted, on the condition that you play for money.;;;;;;;;;x 
EVTDESC_WoL_4162_not_money_i_suggest;You suggested to [From.GetTitledFirstName] that you bring out the board and pieces to play and see who's the better strategist. [From.GetSheHe] accepted, insisting that you play for honor.;;;;;;;;;x 
EVTDESC_WoL_4162_money_they_suggest;[From.GetTitledFirstName] has brought out the board and pieces and suggests that you play a few rounds to determine who is the better strategist. [From.GetSheHe] insist that you play for money.;;;;;;;;;x 
EVTDESC_WoL_4162_not_money_they_suggest;[From.GetTitledFirstName] has brought out the board and pieces and suggests that you play a few rounds to determine who is the better strategist. You will play for honor.;;;;;;;;;x 
EVTOPTA_WoL_4162;Very well, let's play!;;;;;;;;;x 
EVTDESC_WoL_4163_win;You played for hours, the tides of fortune ebbing and flowing as you tried to attack your opponent's positions without opening your defence too much. Eventually, you found a critical opening and made a few inspired and aggressive moves and won the game.;;;;;;;;;x 
EVTDESC_WoL_4163_loss;You played for hours, the tides of fortune ebbing and flowing as you tried to attack your opponent's positions without opening your defence too much. Eventually, however, you made a fatal mistake that your opponent exploited, and you lost the game.;;;;;;;;;x 
EVTOPTA_WoL_4163;Hail to the [Root.GetTitle]!;;;;;;;;;x 
EVTOPTB_WoL_4163;I will get you next time.;;;;;;;;;x 
EVTDESC_WOL_11000;[FromFrom.GetBestName] has challenged you to a duel. The only honorable response would be to accept the challenge.;;;;;;;;;x 
EVTOPTA_WOL_11000;Challenge accepted.;;;;;;;;;x 
EVTOPTB_WOL_11000;No, that sounds dangerous.;;;;;;;;;x 
EVTDESC_WOL_11001;[From.GetBestName] has chosen to accept your challenge to personal combat. The duel will take place in the next few days.;;;;;;;;;x 
EVTOPTA_WOL_11001;Let's fight!;;;;;;;;;x 
EVTDESC_WOL_11002;The coward, [From.GetBestName], has chosen to flee and hide rather than accept your duel.;;;;;;;;;x 
EVTOPTA_WOL_11002;Pathetic.;;;;;;;;;x 
EVTDESCA_WOL_11006;It is the day of your duel against [opponent.GetBestName]. A crowd has gathered to witness the event, and what a show they get. The fight starts off fiercely, as the clashing of metal is violent enough to quiet the murmurs of the spectators. For a while it seems like neither of you will gain the upper hand, until you manage to parry [opponent.GetBestName]'s blade and deliver a powerful blow to [opponent.GetHerHis] defensless arm. [opponent.GetSheHeCap] drops [opponent.GetHerHis] weapon on the ground and lets out a blood-curdling scream, staring in shock at the gruesome wound.;;;;;;;;;x 
EVTDESCB_WOL_11006;The day of your duel against [opponent.GetBestName] has arrived. As you approach the location of the fight, you realize that a small crowd has gathered to watch the event. [opponent.GetBestName] starts aggressively, but you manage to evade and block the attacks [opponent.GetSheHe] hurls at you. Over time you gain the advantage, while your opponent is getting more and more fatigued. Finally you feint a high attack and [opponent.GetBestName] falls for it, failing to block as you strike out towards [opponent.GetHerHis] unprotected legs. Once injured, [opponent.GetSheHe] surrenders.;;;;;;;;;x 
EVTDESCC_WOL_11006;It is the day of your duel against [challenger.GetBestName]. A crowd has gathered to witness the event, and what a show they get. The fight starts off fiercely, as the clashing of metal is violent enough to quiet the murmurs of the spectators. For a while it seems like neither of you will gain the upper hand, until you manage to parry [challenger.GetBestName]'s blade and deliver a powerful blow to [challenger.GetHerHis] defensless arm. [challenger.GetSheHeCap] drops [challenger.GetHerHis] weapon on the ground and lets out a blood-curdling scream, staring in shock at the gruesome wound.;;;;;;;;;x 
EVTDESCD_WOL_11006;The day of your duel against [challenger.GetBestName] has arrived. As you approach the location of the fight, you realize that a small crowd has gathered to watch the event. [challenger.GetBestName] starts aggressively, but you manage to evade and block the attacks [challenger.GetSheHe] hurls at you. Over time you gain the advantage, while your opponent is getting more and more fatigued. Finally you feint a high attack and [challenger.GetBestName] falls for it, failing to block as you strike out towards [challenger.GetHerHis] unprotected legs. Once injured, [challenger.GetSheHe] surrenders.;;;;;;;;;x 
EVTOPTA_WOL_11006;Walk away as victor.;;;;;;;;;x 
EVTOPTB_WOL_11006;Walk away as victor.;;;;;;;;;x 
EVTOPTC_WOL_11006;I will show no mercy!;;;;;;;;;x 
EVTDESCA_WOL_11007;The day of your duel has come, and you step up to your opponent, [From.GetBestName], while raising your blade. The fight starts off fiercely as neither of you hold back, the echo of clashing metal following every brutal attack. For a long time it's unclear who will stand victorious, until a parry throws you off balance, leaving you an open target. [From.GetBestName] instantly strikes out, and an eruption of pain ravages your body as their blade digs deep into your arm. You let out a blood-curdling scream, and the duel is lost.;;;;;;;;;x 
EVTDESCB_WOL_11007;The duel starts violently, as your tactic is to strike at [From.GetBestName]'s garde repeatedly until it folds. However, you seem to be unable to overwhelm [From.GetHerHis], as [From.GetSheHe] blocks and evades your every attack with ease. As time passes you grow more and more fatigued, and predicting [From.GetBestName]'s maneuvers gets all the more challenging. You curse your slow reactions as you try to parry a high attack, which [From.GetSheHe] used to feint into a low blow, striking at your legs. The resulting wound isn't fatal, but it hinders your movement and you reluctantly yield to your opponent.;;;;;;;;;x 
EVTOPTA_WOL_11007;Curses!;;;;;;;;;x 
EVTDESC_WOL_11008;You're well aware that a duel with [From.GetBestName] is a great challenge, but you step up to it and the fight begins. A crowd has gathered to witness the event, and you have no idea if their defeaning cheers are meant for you or your opponent. The commotion is overwhelming, and you quickly find yourself without a sword, your hand badly cut and unable to grasp the weapon to continue the duel. You fall to your knees in defeat, but instead of simply claiming [From.GetHerHis] victory, [From.GetBestName] comes closer. You try pleading for mercy, but get but nothing but silence in reply as [From.GetBestName] raises [From.GetHerHis] sword to your throat, holding it there long enough for you to realize what awaits you. Moments later [From.GetSheHe] strikes you down, and while you fade from this world the last thing you hear is the cheering crowd.;;;;;;;;;x 
EVTDESCA_WOL_11009;You charge at [opponent.GetBestName] as soon as the duel begins. [opponent.GetSheHeCap] is equally aggressive, and delivers vicious blows that you barely manage to evade. You hear the people that have gathered to watch your brawl gasp at the fury that is displayed. Their horror isn't surprising, since both of you manage to land more than a handful blows on each-other, causing injuries that would bring a less passionate man to his knees. The duel rages on as both of you refuse to yield, and soon enough you manage to slash [opponent.GetFirstName] in the side, causing a fatal wound. For a moment you seem victorious, but as your rage subsides, you're overwhelmed by pain. Looking down, you find [opponent.GetFirstName]'s blade driven straight through your stomach.;;;;;;;;;x 
EVTDESCB_WOL_11009;You charge at [challenger.GetBestName] as soon as the duel begins. [challenger.GetSheHeCap] is equally aggressive, and delivers vicious blows that you barely manage to evade. You hear the people that have gathered to watch your brawl gasp at the fury that is displayed. Their horror isn't surprising, since both of you manage to land more than a handful blows on each-other, causing injuries that would bring a less passionate man to his knees. The duel rages on as both of you refuse to yield, and soon enough you manage to slash [challenger.GetFirstName] in the side, causing a fatal wound. For a moment you seem victorious, but as your rage subsides, you're overwhelmed by pain. Looking down, you find [challenger.GetFirstName]'s blade driven straight through your stomach.;;;;;;;;;x 
EVTDESCA_WOL_11011;A crowd has come to witness your duel, and you enter the circle they have formed, finally facing [opponent.GetBestName]. You already know that you will stand victorious, as such a weak creature cannot possibly pose a challenge to someone like you. It's clear that [opponent.GetBestName] isn't confident in [opponent.GetHerHis] chances, as [opponent.GetSheHe] charges you and desperately swings at your garde. Easily evading the mindless slashes, you quickly end the fight by surprising your opponent with an elegant dodge, coming up behind [opponent.GetHerHim] and dealing a deadly blow to [opponent.GetHerHis] neck, decapitating [opponent.GetHerHim].;;;;;;;;;x 
EVTDESCB_WOL_11011;A crowd has come to witness your duel, and you enter the circle they have formed, finally facing [challenger.GetBestName]. You already know that you will stand victorious, as such a weak creature cannot possibly pose a challenge to someone like you. It's clear that [challenger.GetBestName] isn't confident in [challenger.GetHerHis] chances, as [challenger.GetSheHe] charges you and desperately swings at your garde. Easily evading the mindless slashes, you quickly end the fight by surprising your opponent with an elegant dodge, coming up behind [challenger.GetHerHim] and dealing a deadly blow to [challenger.GetHerHis] neck, decapitating [challenger.GetHerHim].;;;;;;;;;x 
EVTOPTA_WOL_11011;Schwop.;;;;;;;;;x 
EVTDESC_WOL_11012;You're well aware of your own ability, or lack of thereof, and therefore know that your duel with [From.GetBestName] will be onesided. Hoping to get the upper hand through surprise, you charge them the second they appear on the battleground. However, your sudden move doesn't faze them, and your desperate stabs are being easily parried. As [From.GetBestName] dodges one of your high blows, they get plenty of time to come up behind you and slash at your neck. There's no time to feel pain, as you fade from this world much too quickly to register your head being separated from the rest of your body.;;;;;;;;;x 
EVTOPTA_WOL_11012;Schwop.;;;;;;;;;x 
EVTDESC_WOL_11013;[FromFrom.GetBestName] has stained your honor by forcing you down into the dirt in a duel. It is only natural that you start to plan your revenge.;;;;;;;;;x 
EVTOPTA_WOL_11013;[FromFrom.GetBestName] will feel the wrath of my vengeance!;;;;;;;;;x 
EVTOPTB_WOL_11013;I'd better not make more enemies than I already have.;;;;;;;;;x 
EVTDESC_WOL_11014;[From.GetBestName] did not take lightly on being defeated in a duel. [From.GetSheHeCap] has sworn to avenge [From.GetHerHis] defeat.;;;;;;;;;x 
EVTOPTA_WOL_11014;Seems like I've made myself an enemy today.;;;;;;;;;x 
EVTOPTB_WOL_11014;Another enemy to my collection.;;;;;;;;;x 
EVTDESC_WOL_11101;You realize that to become a great fighter you would need to get in better shape. There's a great path in the nearby woods that would be excellent for running.;;;;;;;;;x 
EVTOPTA_WOL_11101;Let's go running.;;;;;;;;;x 
EVTDESC_WOL_11102;Throughout the day you've caught yourself grinding your teeth and being unable to focus on anything for long. Suddenly you realize why you have been in a bad mood all day - you just can't seem to abide having lazy people in your presence any more.;;;;;;;;;x 
EVTOPTA_WOL_11102;I'll get him to be less slothfull when I'm around.;;;;;;;;;x 
EVTOPTB_WOL_11102;It grinds my gears, but I might cause distress if I lecture people just like that.;;;;;;;;;x 
EVTDESC_WOL_11103;A small spear-throwing competition could be entertaining, and it's also a great way to enliven your battle technique. Maybe you should arrange a contest at your court?;;;;;;;;;x 
EVTOPTA_WOL_11103;My throwing arm will amaze everyone!;;;;;;;;;x 
EVTOPTB_WOL_11103;Maybe another time.;;;;;;;;;x 
EVTDESC_WOL_11104;Everyone attending the spear-throwing competition seems to be having a great time. They are partaking in the contest, conversing and laughing together. Perhaps the merryment is a bit too much, as a spear is carelessly hurled into the field as someone is still out there, measuring the distance of the previous throw.;;;;;;;;;x 
EVTOPTA_WOL_11104;Well that's unfortunate.;;;;;;;;;x 
EVTDESC_WOL_11107;After dozens of spears have been hurled through the air, a sole victor emerges. No one managed to throw farther than you!;;;;;;;;;x 
EVTOPTA_WOL_11107;This is a glorious day.;;;;;;;;;x 
EVTDESC_WOL_11109;After dozens of spears have been hurled through the air, a sole victor emerges. No one managed to throw farther than [From.GetBestName]!;;;;;;;;;x 
EVTOPTA_WOL_11109;Congratulations to [From.GetBestName];;;;;;;;;x 
EVTDESC_WOL_11110;Your daily routine involves repeatedly swinging your blade at a training dummy, however, you can only learn so much from fighting an inanimate enemy, and the practice gets dreadfully dull after a while.;;;;;;;;;x 
EVTOPTA_WOL_11110;I could use someone to train with.;;;;;;;;;x 
#EVTOPTB_WOL_11110;Though I only fight my enemies.;;;;;;;;;x 
EVTDESC_WOL_11111;As you replace your training dummy with a real person, you find that facing an intelligent enemy is a lot harder, but also more rewarding. After many bruises and cuts, it's clear that you've gained exeperince and have better control of a fight than ever before.;;;;;;;;;x 
EVTOPTA_WOL_11111;Good fighting, [From.GetBestName]!;;;;;;;;;x 
EVTDESC_WOL_11112;Even with blunt blades a training fight is a dangerous thing. Sometimes a sword might strike just a bit too hard.;;;;;;;;;x 
EVTOPTA_WOL_11112;That's enough fighting for this week.;;;;;;;;;x 
EVTDESC_WOL_11201;Having spent countless of hours swinging your sword, it is clear that your technique is getting better. You know the essence of every possible strike to utilize in a fight.;;;;;;;;;x 
EVTOPTA_WOL_11201;The hard training is paying off.;;;;;;;;;x 
EVTDESC_WOL_11202;After a long time of training both day and night, you have finally mastered the art of combat. Few could contend with your extensive knowledge of battle techniques.;;;;;;;;;x 
EVTOPTA_WOL_11202;I will be known as a duelist.;;;;;;;;;x 
EVTOPTB_WOL_11202;I think I might spend time on something else.;;;;;;;;;x 
EVTDESC_WOL_11203;Your ability to take down any man in a brawl is widely renown. Many speak of your prowess, and how it would be unwise to pick a fight with you.;;;;;;;;;x 
EVTOPTA_WOL_11203;It feels good to be recognized.;;;;;;;;;x 
EVTDESC_WOL_11204;Violence seems to be able to solve all your problems - life is easier when you can simply smash things into submission.;;;;;;;;;x 
EVTOPTA_WOL_11204;I seem to no longer have the patience to negotiate.;;;;;;;;;x 
EVTDESC_WOL_11205;As war grows to be a constant presence in your life, you have on several occasion faced, nay, almost courted, death.;;;;;;;;;x 
EVTOPTA_WOL_11205;I no longer feel fear.;;;;;;;;;x 
EVTDESCA_WOL_11206;The strict exercise regime you committed to after your decision to become a legendary warrior has made you one of the toughest persons around.;;;;;;;;;x 
EVTDESCB_WOL_11206;The strict exercise regime you committed to after your decision to become a legendary warrior has impressed people enough to no longer consider you a weakling.;;;;;;;;;x 
EVTOPTA_WOL_11206;I feel like I could lift a small house.;;;;;;;;;x 
EVTOPTB_WOL_11206;I feel like I could lift a small horse.;;;;;;;;;x 
EVTTOOLTIPWOLWARPROGRESS;[This.GetBestName] is increasing [This.GetHerHis] efforts to become a warrior.;;;;;;;;;x 
opinion_held_contest;Held Contest;;;;;;;;;x 
opinion_fled_duel;Fled a Just Duel;;;;;;;;;x 
wol_warrior;Warrior;;;;;;;;;x 
desc_wol_warrior;This character is known for being proficient at personal combat.;;;;;;;;;x 
wol_great_warrior;Great Warrior;;;;;;;;;x 
desc_wol_great_warrior;This character is known for being proficient at personal combat.;;;;;;;;;x 
despised_aristocrat;Despised Aristocrat;;;;;;;;;x 
desc_despised_aristocrat;This character has been denying the ordinary population their rights.;;;;;;;;;x 
recent_duel_victory;Duel Victory;;;;;;;;;x 
desc_recent_duel_victory;This character has recently defeated another person in a duel.;;;;;;;;;x 
duel_decision;Duel;;;;;;;;;x 
duel_decision_desc;Challenge §Y[This.GetTitledFirstName]§! to a duel to uphold your honor. Duels can be considered dangerous to your health.;;;;;;;;;x 
tower_start;We will begin with the necessary preparations for the construction.;;;;;;;;;x 
nick_the_headless;the Headless;;;;;;;;;x 
construction_accident;Construction Accident;;;;;;;;;x 
desc_construction_accident;An accident that could've been avoided angers the population of [This.GetName].;;;;;;;;;x 
outlawed_guild;Outlawed Guild;;;;;;;;;x 
desc_outlawed_guild;The cities in this province had one of the major guilds outlawed.;;;;;;;;;x 
carpenters_guild;Carpenters Guild;;;;;;;;;x 
desc_carpenters_guild;There's a prominent Carpenters Guild in this province making construction fast and cheap.;;;;;;;;;x 
nick_the_ruthless;the Ruthless;;;;;;;;;x 
nick_the_beheader;the Beheader;;;;;;;;;x 
EVTTOOLTIPWOL10302;Your §YDynasty§! will appreciate this gesture.;;;;;;;;;x 
opinion_ruthless;Ruthless;;;;;;;;;x 
EVTTOOLTIPWOL11006;People will be upset about this merciless action.\n;;;;;;;;;x 
EVTDESC_WOL_10401;As your efforts of gaining wealth grow all the more determined, you sleep less and less, since sleeping is not a profitable behavior.;;;;;;;;;x 
EVTOPTA_WOL_10401;I must have more gold!;;;;;;;;;x 
aspiring_gardener;Aspiring Gardener;;;;;;;;;x 
desc_aspiring_gardener;This character has taken an interest in gardening.;;;;;;;;;x 
EVTDESC_WOL_10430;[From.GetTitledFirstName] approaches you and presents to you a request to buy a small plot of your land in [Root.Capital.GetName]. This is a grievous decision for you, since he promises to pay well for the land.;;;;;;;;;x 
EVTOPTA_WOL_10430;I do need the gold...;;;;;;;;;x 
EVTOPTB_WOL_10430;There's not enough gold in your pockets to buy my land.;;;;;;;;;x 
EVTDESC_WOL_10420;You have been presented with an opportunity to let everyone be reminded of your rulership. If you wish to mint new coins for your realm, there is a master of the craft that you can hire. Not only will the mintage be exquisite, it will be adorned with a glorious portrait of you.;;;;;;;;;x 
EVTOPTA_WOL_10420;Mint the coins for glory.;;;;;;;;;x 
EVTOPTB_WOL_10420;Debase the mints with less precious metals for profits.;;;;;;;;;x 
EVTOPTC_WOL_10420;No, there's no need for additional currencies.;;;;;;;;;x 
EVTDESC_WOL_10421;A merchant has managed to find out that the coins you had minted are counterfeit. You are being called a cheapskate, since they do not contain the precious metals that they were supposed to consist of.;;;;;;;;;x 
EVTOPTA_WOL_10421;People might taunt my face on those coins now.;;;;;;;;;x 
EVTDESC_WOL_10440;A group of craftsmen has come to your court and shown off their work. They present you with fine goods, of which you are sure there would be a demand for in the realm. Noticing your interest, the craftsmen ask for some capital to start up a workshop, saying they lack the funds to do it on their own.;;;;;;;;;x 
EVTOPTA_WOL_10440;This is a sound investment.;;;;;;;;;x 
EVTTOOLTIPWOL10440;A workshop will set up in [From.GetName], and begin preparation for producing goods.;;;;;;;;;x 
EVTOPTB_WOL_10440;No. Your lack of funds is not my problem.;;;;;;;;;x 
EVTDESC_WOL_10441;The craftsmen that you funded a couple of years ago have returned to tell you of their success. With your support they were able to set up their buisness, and it's now one of the most profitable enterprises in [FromFrom.GetName].;;;;;;;;;x 
EVTOPTA_WOL_10441;Great! More taxes for me.;;;;;;;;;x 
