#CODE;ENGLISH;;;;;;;;;x 
PLOT_POWER_CONTRIB_LOWER_THAN;Contribution to $PLOTTER$'s plot to $PLOT$ less than §Y$POWER$%§!\n;;;;;;;;;x 
#ca_culture_dutch_4;Great Goedendag Militia Quarters;;;;;;;;;x 
ca_culture_dutch_1;Goedendag Militia Quarters;;;;;;;;;x 
ca_culture_dutch_2;Goedendag Militia Quarters;;;;;;;;;x 
ca_culture_dutch_3;Goedendag Militia Quarters;;;;;;;;;x 
ca_culture_dutch_4;Goedendag Militia Quarters;;;;;;;;;x 
d_sunni;The Sunni Caliphate;;;;;;;;;x 
d_sunni_adj;Caliphal;;;;;;;;;x 
d_shiite;The Shia Caliphate;;;;;;;;;x 
d_shiite_adj;Caliphal;;;;;;;;;x 
k_dacia;Wallachia;;;;;;;;;x 
k_dacia_adj;Wallachian;;;;;;;;;x 
b_sijilmasa;Sijilmasa;;;;;;;;;x 
b_merzouga;Merzouga;;;;;;;;;x 
b_tanamouste;Tanamouste;;;;;;;;;x 
b_ertoud;Ertoud;;;;;;;;;x 
b_merzane;Merzane;;;;;;;;;x 
b_hannabou;Hannabou;;;;;;;;;x 
b_tadaout;Tadaout;;;;;;;;;x 
b_tisserdmine;Tisserdmine;;;;;;;;;x 
k_mali;Mali;;;;;;;;;x 
e_mali;Mali;;;;;;;;;x 
d_armenia_minor_adj_armenian;Armenian;;;;;;;;;x 
e_abyssinia;Abyssinia;;;;;;;;;x 
e_abyssinia_adj;Abyssinian;;;;;;;;;x 
d_timbuktu;Timbuktu;;;;;;;;;x 
b_timbuktu;Timbuktu;;;;;;;;;x 
b_alafia;Alafia;;;;;;;;;x 
b_salam;Salam;;;;;;;;;x 
b_lafia;Lafia;;;;;;;;;x 
b_ber;Ber;;;;;;;;;x 
b_boureminaly;Bourem-Inaly;;;;;;;;;x 
b_toya;Toya;;;;;;;;;x 
b_aglal;Aglal;;;;;;;;;x 
b_oualata;Oualata;;;;;;;;;x 
b_tiguiguil;Tiguiguil;;;;;;;;;x 
b_neiguiat;Neïguiat;;;;;;;;;x 
b_konou;Konou;;;;;;;;;x 
b_birnsara;Bir Nsara;;;;;;;;;x 
b_tizert;Tizert;;;;;;;;;x 
b_tarhalet;Tarhalet;;;;;;;;;x 
b_fassekra;Fassekra;;;;;;;;;x 
b_araouane;Araouane;;;;;;;;;x 
b_tessalit;Tessalit;;;;;;;;;x 
b_aguelhok;Aguelhok;;;;;;;;;x 
b_abalessa;Abalessa;;;;;;;;;x 
b_tinzaouten;Tinzaouten;;;;;;;;;x 
b_guezzam;Guezzam;;;;;;;;;x 
b_tamanrasset;Tamanrasset;;;;;;;;;x 
b_tazrouk;Tazrouk;;;;;;;;;x 
b_taghaza;Taghaza;;;;;;;;;x 
b_kerzaz;Kerzaz;;;;;;;;;x 
b_metarta;Metarta;;;;;;;;;x 
b_reggane;Reggane;;;;;;;;;x 
b_adrar;Adrar;;;;;;;;;x 
b_aougrout;Aougrout;;;;;;;;;x 
b_charouine;Charouine;;;;;;;;;x 
b_alouarta;El Ouarta;;;;;;;;;x 
d_ghana;Ghana;;;;;;;;;x 
b_el_ghaba;El Ghaba;;;;;;;;;x 
b_koumbi_saleh;Koumbi Saleh;;;;;;;;;x 
b_silla;Silla;;;;;;;;;x 
b_singhanah;Singhanah;;;;;;;;;x 
b_samakanda;Sámakanda;;;;;;;;;x 
b_ras_elma;Ras el Má;;;;;;;;;x 
b_tirka;Tírka;;;;;;;;;x 
b_kughah;Kúghah;;;;;;;;;x 
b_aoudaghost;Aoudaghost;;;;;;;;;x 
b_tichitt;Tichitt;;;;;;;;;x 
b_moudjeria;Moudjeria;;;;;;;;;x 
b_ksarelbarka;Ksar-el-Barka;;;;;;;;;x 
b_ouadane;Ouadane;;;;;;;;;x 
b_wadan;Wadan;;;;;;;;;x 
b_azuggi;Azuggi;;;;;;;;;x 
b_ksaralkiali;Ksar-al-Kiali;;;;;;;;;x 
b_idjil;Idjil;;;;;;;;;x 
b_zouerat;Zouérat;;;;;;;;;x 
b_tazadit;Tazadit;;;;;;;;;x 
b_rouessa;Rouessa;;;;;;;;;x 
b_fderick;Fdérick;;;;;;;;;x 
d_mali;Mali;;;;;;;;;x 
b_boure;Boure;;;;;;;;;x 
b_niani;Niani;;;;;;;;;x 
b_bamako;Bamako;;;;;;;;;x 
b_safo;Safo;;;;;;;;;x 
b_baguineda;Baguineda;;;;;;;;;x 
b_dialakoro;Dialakoro;;;;;;;;;x 
b_bougouni;Bougouni;;;;;;;;;x 
b_soussa;Soussa;;;;;;;;;x 
b_bambuk;Bambuk;;;;;;;;;x 
b_kiffa;Kiffa;;;;;;;;;x 
b_kankossa;Kankossa;;;;;;;;;x 
b_boumdeid;Boumdeid;;;;;;;;;x 
b_guerou;Guerou;;;;;;;;;x 
b_aftout;Aftout;;;;;;;;;x 
b_djenne;Djenne;;;;;;;;;x 
b_macina;Macina;;;;;;;;;x 
b_fakala;Fakala;;;;;;;;;x 
b_kewa;Kewa;;;;;;;;;x 
b_ouroali;Ouro Ali;;;;;;;;;x 
b_pondori;Pondori;;;;;;;;;x 
b_femaye;Femaye;;;;;;;;;x 
b_derary;Derary;;;;;;;;;x 
d_songhay;Songhay;;;;;;;;;x 
b_gao;Gao;;;;;;;;;x 
b_sarnah;Sarnah;;;;;;;;;x 
b_gaosaney;Gao-Saney;;;;;;;;;x 
b_bourem;Bourem;;;;;;;;;x 
b_ansongo;Ansongo;;;;;;;;;x 
b_menaka;Ménaka;;;;;;;;;x 
b_gabero;Gabero;;;;;;;;;x 
b_anchawadi;Anchawadi;;;;;;;;;x 
b_tadmekka;Tadmekka;;;;;;;;;x 
b_agades;Agades;;;;;;;;;x 
b_takedda;Takedda;;;;;;;;;x 
b_essako;Essako;;;;;;;;;x 
b_kidal;Kidal;;;;;;;;;x 
c_gurma;Gurma;;;;;;;;;x 
c_gurma_adj;Gurman;;;;;;;;;x 
b_gurma;Gurma;;;;;;;;;x 
b_zorgho;Zorgho;;;;;;;;;x 
b_hounde;Houndé;;;;;;;;;x 
c_zarma;Zarma;;;;;;;;;x 
c_zarma_adj;Zarman;;;;;;;;;x 
b_bura;Bura;;;;;;;;;x 
b_ouallam;Ouallam;;;;;;;;;x 
b_tera;Téra;;;;;;;;;x 
d_susa;Susa;;;;;;;;;x 
d_susa_adj;Susan;;;;;;;;;x 
d_latium;Latium;;;;;;;;;x 
d_latium_adj;Latin;;;;;;;;;x 
c_aprutium_adj;Aprutian;;;;;;;;;x 
b_foligno;Foligno;;;;;;;;;x 
b_avezzano;Avezzano;;;;;;;;;x 
b_pescara;Pescara;;;;;;;;;x 
b_teramo;Teramo;;;;;;;;;x 
b_atri;Atri;;;;;;;;;x 
b_aprutium_penne;Penne;;;;;;;;;x 
b_ciconia;Ciconia;;;;;;;;;x 
b_paganica;Paganica;;;;;;;;;x 
ANY_POT_TRIBAL_COUNTY_STARTS;Any Potential Tribal County;;;;;;;;;x 
ALL_POT_TRIBAL_COUNTY_STARTS;All Potential Tribal Counties;;;;;;;;;x 
ANY_TRAIT_HOLDER_STARTS;Any Character with trait ;;;;;;;;;x 
REVOKE_TITLE_INTERACTION_2F;Our Imperial administration allows us to revoke Duchies without objections from the aristocracy.;;;;;;;;;x 
DISTANCE_LESS_THAN;Distance less than ;;;;;;;;;x 
DISTANCE_AT_LEAST;Distance at least ;;;;;;;;;x 
RANDOM_ROLL_LESS_THAN;Random Roll less than ;;;;;;;;;x 
RANDOM_ROLL_AT_LEAST;Random Roll at least ;;;;;;;;;x 
EVTOPTD37055;You are already married, remember? To [From.Spouse.GetTitledFirstName]?;;;;;;;;;x 
opinion_sadaqah;Gave Sadaqah;;;;;;;;;x 
reckless_charge_tactic;Reckless Charge Tactic;;;;;;;;;x 
timid_advance_tactic;Timid Advance Tactic;;;;;;;;;x 
confused_orders_tactic;Confused Orders;;;;;;;;;x 
hesitant_commander_tactic;Hesitant Commander;;;;;;;;;x 
charging_own_skirmishers_tactic;Charging Through Own Skirmishers;;;;;;;;;x 
inspired_defense_tactic;Inspired Defense Tactic;;;;;;;;;x 
heroic_countercharge_tactic;Heroic Counter-Charge Tactic;;;;;;;;;x 
clever_ambush_tactic;Clever Ambush Tactic;;;;;;;;;x 
religious_fervour_tactic;Gripped by Religious Fervour;;;;;;;;;x 
retreat_and_ambush_tactic;Retreat and Ambush Tactic;;;;;;;;;x 
berserker_charge_tactic;Berserker Charge;;;;;;;;;x 
schiltron_formation_tactic;Schiltron Formation;;;;;;;;;x 
pike_column_advance_tactic;Pike Column Advance;;;;;;;;;x 
massive_longbow_volley_tactic;Massive Longbow Volley Tactic;;;;;;;;;x 
couched_lance_charge_tactic;Couched Lance Charge;;;;;;;;;x 
desert_ambush_tactic;Desert Ambush;;;;;;;;;x 
embolon_charge_formation_tactic;Embolon Charge Formation;;;;;;;;;x 
muslim_hedonist;Tasting the forbidden wine of Hedonism;;;;;;;;;x 
muslim_poet;Making the world more poetic;;;;;;;;;x 
DECADENCE_MOD;Decadence;;;;;;;;;x 
CURRENT_DECADENCE;Current;;;;;;;;;x 
EFFECTS;Effects;;;;;;;;;x 
DEMESNE_INCOME;Demesne Income;;;;;;;;;x 
MONTHLY_COMBAT_DEC_CHANGE;Change due to combat this month;;;;;;;;;x 
BATTLES;Battles;;;;;;;;;x 
MONTHLY_UNLANDED;§YChange due to jobless sons:§!;;;;;;;;;x 
DYNASTIC_DECADENCE;Dynastic Decadence;;;;;;;;;x 
JOBLESS_SON; ( $NUM_SONS$ jobless son );;;;;;;;;x 
JOBLESS_SONS; ( $NUM_SONS$ jobless sons );;;;;;;;;x 
REL_FIRSTWIFE;First Wife;;;;;;;;;x 
MUSLIM_TAX_PENALTY;Lack of Jizya Tax Penalty: ;;;;;;;;;x 
JIZYA_BONUS;Jizya Tax Bonus: ;;;;;;;;;x 
claim_all_desc;§Y$CLAIMANT$§! can declare war on §Y$TARGET$§! with several strong claims (weak claims do not count.);;;;;;;;;x 
alert_can_press_weak_claims_instant;§Y$NUM$ Weak Claim(s) can be pressed§!;;;;;;;;;x 
alert_can_press_weak_claims_delayed;The following Weak Claims can be pressed:\n$LIST$;;;;;;;;;x 
MORALE_DEMESNE_TROOPS;Morale of Demesne Troops;;;;;;;;;x 
HAS_LOWER_DECADENCE_THAN;Has a lower Decadence than ;;;;;;;;;x 
HAS_HIGHER_DECADENCE_THAN;Has a Decadence of at least ;;;;;;;;;x 
DECADENCE_EFFECT;$DIRECTION$ $VALUE$ decadence.\n;;;;;;;;;x 
DESTROY;Destroy;;;;;;;;;x 
TITLE_DESTROYED_SETUP;Title Destroyed;;;;;;;;;x 
TITLE_DESTROYED_LOG;§Y$DESTROYER$§! has destroyed the title §Y$TITLE$§!.;;;;;;;;;x 
CHAR_REL_DIVORCED_SETUP;Divorce Granted;;;;;;;;;x 
CHAR_REL_DIVORCED_LETTER;Dear $SPOUSE$, our marriage just is not working anymore. Therefore, §Y$REL_HEAD$§! has graciously granted us a divorce.\n\n$ACTOR$;;;;;;;;;x 
CHAR_REL_DIVORCED_LOG;§Y$REL_HEAD$§! has granted §Y$ACTOR$§! a divorce from §Y$VICTIM$§!.;;;;;;;;;x 
CHAR_DIVORCED_SETUP;Divorce Arranged;;;;;;;;;x 
CHAR_DIVORCED_LETTER;Dear $SPOUSE$, our marriage just is not working anymore. Therefore, I have decided to divorce you. Sorry.\n\n$ACTOR$;;;;;;;;;x 
CHAR_DIVORCED_LOG;§Y$ACTOR$§! has divorced §Y$VICTIM$§!;;;;;;;;;x 
CONFIRM_TITLE_DESTRUCTION;Destroy the title to the $TITLE$?;;;;;;;;;x 
TITLE_DESTRUCTION_COST_DESC;Destroying this title would cost you §R$PRESTIGE$§! Prestige. All de jure vassals of the $TITLE$ will be upset (§R$OPINION$§! Opinion).;;;;;;;;;x 
opinion_destroyed_dj_liege_title;Destroyed Liege Title;;;;;;;;;x 
CANNOT_DESTROY_BELOW_DUKE;Cannot destroy counties or baronies;;;;;;;;;x 
CANNOT_DESTROY_PRIMARY_TITLE;Cannot destroy your primary title;;;;;;;;;x 
CANNOT_DESTROY_SPECIAL_TITLE;Cannot destroy special title;;;;;;;;;x 
CANNOT_AFFORD_DESTRUCTION;Must have §R$PRESTIGE$§! Prestige;;;;;;;;;x 
DOES_NOT_HAVE_REGENT;Does NOT have a Regent;;;;;;;;;x 
HAS_REGENT;Has a Regent;;;;;;;;;x 
ISNT_CONTESTED_TITLE;Is NOT being contested by claimants;;;;;;;;;x 
IS_CONTESTED_TITLE;Is being contested by claimants;;;;;;;;;x 
STRONG_CLAIM_TITLE;§YStrong Claim on the $TITLE$§W;;;;;;;;;x 
WEAK_CLAIM_TITLE;§YWeak Claim on the $TITLE$§W;;;;;;;;;x 
STRONG_CLAIM_DESC;On succession, Strong Claims are only given to children who are second or third in the line of succession.;;;;;;;;;x 
WEAK_CLAIM_DESC;On succession, Weak Claims are given to children who are not second or third in the line of succession. Weak Claims can only be pressed against:\n§Y* Female Rulers if the claimant is male\n* Regencies\n* Titles already being contested in a Claim or Succession War\n* Titles the claimant is second or third in line to inherit§!;;;;;;;;;x 
HAS_NOT_STRONG_CLAIM;Does NOT have a Strong Claim on $TITLE$;;;;;;;;;x 
HAS_STRONG_CLAIM;Has Strong Claim on $TITLE$;;;;;;;;;x 
HAS_NOT_WEAK_CLAIM;Does NOT have a Weak Claim on $TITLE$;;;;;;;;;x 
HAS_WEAK_CLAIM;Has Weak Claim on $TITLE$;;;;;;;;;x 
GAIN_CLAIM_ON;$WHO$ gets a Strong Claim on §Y$TITLE$§!.\n;;;;;;;;;x 
GAIN_WEAK_CLAIM_ON;$WHO$ gets a Weak Claim on §Y$TITLE$§!.\n;;;;;;;;;x 
iddah_period;Iddah Period;;;;;;;;;x 
opinion_chief_qadi;Chief Qadi;;;;;;;;;x 
opinion_merciful_qadi;Merciful Chief Qadi;;;;;;;;;x 
opinion_arbitrary_qadi;Arbitrary Chief Qadi;;;;;;;;;x 
LAW_NORMAL_CHANGE_MUSLIM_PIETY_COST;It costs $PIETY$ $PIETYNAME$ for Muslims to change Demesne Laws;;;;;;;;;x 
LAW_DE_JURE_CHANGE_MUSLIM_PIETY_COST;It costs $PIETY$ $PIETYNAME$ for Muslims to change Crown Laws;;;;;;;;;x 
CB_NAME_COUNTY_CONQUEST;Conquest of [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_COUNTY_CONQUEST;$ORDER$$FIRST_ADJ$ Conquest of $OTHER_TITLE$;;;;;;;;;x 
EVTTOOLTIPB3538;[Root.GetTitledFirstName] has nothing but contempt for [This.GetTitledFirstName]'s idiotic flagellation;;;;;;;;;x 
EVTDESC55000;The [Root.Culture.GetName] populace in [Root.GetName] have embraced [Root.Holder.Culture.GetName] culture.;;;;;;;;;x 
EVTDESC55001;The [Root.Culture.GetName] populace in [Root.GetName] resent me as a ruler and feel that I am a foreigner, yet I depend on these selfsame people to collect my taxes and man my army. This simply will not do. I think it is time to bring some boys from back home over to help out here.;;;;;;;;;x 
EVTDESC55010;My roots may be [Root.Culture.GetName], but I identify more with the [Root.Capital.Culture.GetName] people I rule.;;;;;;;;;x 
EVTOPTA55010;[Root.Capital.Culture.GetName] customs are superior!;;;;;;;;;x 
EVTOPTB55010;Never, I am still [Root.Culture.GetName]!;;;;;;;;;x 
EVTDESC55011;[From.GetTitledName] has adopted the foreign ways of [From.Capital.GetName], behaving more like a petty [From.Capital.Culture.GetName] burgher than a proper [Root.Culture.GetName] lord.;;;;;;;;;x 
EVTOPTA55011;Troubling news;;;;;;;;;x 
PROV420;Vilnius;;;;;;;;;x 
PROV423;Trakai;;;;;;;;;x 
PROV424;Grodno;;;;;;;;;x 
PROV496;Constantinople;;;;;;;;;x 
PROV632;Tus;;;;;;;;;x 
PROV696;Samarra;;;;;;;;;x 
PROV702;Khliat;;;;;;;;;x 
PROV727;Bostra;;;;;;;;;x 
PROV729;Al-Sukhnah;;;;;;;;;x 
PROV929;Aprutium;;;;;;;;;x 
c_tadmor_adj;Al-Sukhnahn;;;;;;;;;x 
c_syria_adj;Bostrian;;;;;;;;;x 
c_mesopotamia_adj;Khliatian;;;;;;;;;x 
c_euphrates_adj;Samarrian;;;;;;;;;x 
c_tus_adj;Tusian;;;;;;;;;x 
c_aukshayts_adj;Vilnian;;;;;;;;;x 
c_sudovia_adj;Trakian;;;;;;;;;x 
c_jacwiez_adj;Grodnian;;;;;;;;;x 
c_byzantion_adj;Constantinopian;;;;;;;;;x 
d_hashshashin;Hashshashin;;;;;;;;;x 
GRANDHEADMASTER;Grand Headmaster;;;;;;;;;x 
GRANDHEADMASTER_FOA;Your Excellency;;;;;;;;;x 
DEATH_MURDER_HASHSHASHIN;died at the hands of the Hashshashin;;;;;;;;;x 
EXPECTED_TO_HAVE_MORE_WIVES;Fewer than §Y$NUM$§W wives: §R$PRESTIGE$§W;;;;;;;;;x 
EXPECTED_TO_HAVE_FEWER_WIVES;More than §Y$NUM$§W wives: §G+$PRESTIGE$§W;;;;;;;;;x 
#tp_wall_q_1_muslim;Mosque Moat;;;;;;;;;x 
#tp_wall_q_2_muslim;Mosque Gatehouse;;;;;;;;;x 
#tp_wall_q_3_muslim;Mosque Portcullis;;;;;;;;;x 
#tp_wall_q_4_muslim;Deep Mosque Moat;;;;;;;;;x 
#tp_wall_q_5_muslim;Mosque Barbicans;;;;;;;;;x 
#tp_wall_1_muslim;Mosque Palisade;;;;;;;;;x 
#tp_wall_2_muslim;Small Mosque Wall;;;;;;;;;x 
#tp_wall_3_muslim;Medium Mosque Wall;;;;;;;;;x 
#tp_wall_4_muslim;Large Mosque Wall;;;;;;;;;x 
#tp_wall_5_muslim;Huge Mosque Wall;;;;;;;;;x 
#tp_monastery_1_muslim;Musalla;;;;;;;;;x 
#tp_monastery_2_muslim;Small Mosque;;;;;;;;;x 
tp_monastery_1_muslim;Mosque;;;;;;;;;x 
tp_monastery_2_muslim;Mosque;;;;;;;;;x 
tp_monastery_3_muslim;Mosque;;;;;;;;;x 
#tp_monastery_4_muslim;Large Mosque;;;;;;;;;x 
tp_monastery_4_muslim;Great Mosque;;;;;;;;;x 
tp_monastery_5_muslim;Great Mosque;;;;;;;;;x 
tp_monastery_6_muslim;Great Mosque;;;;;;;;;x 
#tp_monastery_6_muslim;Grand Mosque;;;;;;;;;x 
#tp_barracks_1_muslim;Mosque Militia Quarters;;;;;;;;;x 
#tp_barracks_2_muslim;Small Mosque Militia Grounds;;;;;;;;;x 
#tp_barracks_3_muslim;Medium Mosque Militia Grounds;;;;;;;;;x 
#tp_barracks_4_muslim;Large Mosque Militia Grounds;;;;;;;;;x 
#tp_barracks_5_muslim;Great Mosque Militia Grounds;;;;;;;;;x 
#tp_barracks_6_muslim;Huge Mosque Militia Grounds;;;;;;;;;x 
#tp_elite_barracks_1_muslim;Mosque Guard Quarters;;;;;;;;;x 
#tp_elite_barracks_2_muslim;Small Mosque Barracks;;;;;;;;;x 
#tp_elite_barracks_3_muslim;Medium Mosque Barracks;;;;;;;;;x 
#tp_elite_barracks_4_muslim;Large Mosque Barracks;;;;;;;;;x 
#tp_elite_barracks_5_muslim;Great Mosque Barracks;;;;;;;;;x 
#tp_elite_barracks_6_muslim;Huge Mosque Barracks;;;;;;;;;x 
#tp_town_1_muslim;Mosque Village;;;;;;;;;x 
tp_town_1_muslim;Mosque Town;;;;;;;;;x 
tp_town_2_muslim;Mosque Town;;;;;;;;;x 
tp_town_3_muslim;Mosque Town;;;;;;;;;x 
tp_town_4_muslim;Mosque Town;;;;;;;;;x 
tp_town_5_muslim;Mosque Town;;;;;;;;;x 
tp_town_6_muslim;Mosque Town;;;;;;;;;x 
#tp_town_3_muslim;Large Mosque Town;;;;;;;;;x 
#tp_town_4_muslim;Mosque City;;;;;;;;;x 
#tp_town_5_muslim;Large Mosque City;;;;;;;;;x 
tp_school_1_muslim;Madrasah Islamic School;;;;;;;;;x 
tp_school_2_muslim;Madrasah Islamic School;;;;;;;;;x 
#tp_school_2_muslim;Large Madrasah Islamic School;;;;;;;;;x 
#ca_keep_1_muslim;Castle Ribat;;;;;;;;;x 
#ca_keep_2_muslim;Castle Qasbah;;;;;;;;;x 
#ca_keep_3_muslim;Expanded Qasbah;;;;;;;;;x 
#ca_keep_4_muslim;Large Qasbah;;;;;;;;;x 
#ca_keep_5_muslim;Great Qasbah;;;;;;;;;x 
#ca_keep_6_muslim;Epic Qasbah;;;;;;;;;x 
#ct_marketplace_1_muslim;Town Bazaar;;;;;;;;;x 
#ct_marketplace_2_muslim;City Bazaar;;;;;;;;;x 
ct_marketplace_3_muslim;Souq Market District;;;;;;;;;x 
ct_marketplace_4_muslim;Medina Quarter;;;;;;;;;x 
ct_marketplace_5_muslim;Medina Quarter;;;;;;;;;x 
ct_marketplace_6_muslim;Grand Bazaar;;;;;;;;;x 
ct_university_1_muslim;Maktab School;;;;;;;;;x 
ct_university_2_muslim;Madrasah University;;;;;;;;;x 
ct_university_3_muslim;Madrasah University;;;;;;;;;x 
#ct_university_3_muslim;Large Madrasah University;;;;;;;;;x 
opinion_good_work;Good work!;;;;;;;;;x 
opinion_committed_zina;Committed Zina (sexual intercourse with other man/woman than spouse);;;;;;;;;x 
ignored_muslim_sins;Averted my eyes from the sins of others;;;;;;;;;x 
opinion_court_calligrapher;Court Calligrapher;;;;;;;;;x 
opinion_disappointed_calligrapher;Disappointed in Court Calligrapher;;;;;;;;;x 
opinion_grateful_calligrapher;Grateful for the Court Calligrapher's good work;;;;;;;;;x 
mod_satisfied_work_calligrapher;Satisfactory Calligraphy Work;;;;;;;;;x 
mod_bad_work_calligrapher;Bad Calligraphy Work;;;;;;;;;x 
FURUSIYYATITLE;Furusiyya;;;;;;;;;x 
furusiyya_invite;Let all who profess martial ability be invited;;;;;;;;;x 
FAM_FORMER_HUSBANDS;Former Husbands;;;;;;;;;x 
FAM_SECONDARY_WIVES;Secondary Wives;;;;;;;;;x 
FAM_FORMER_WIVES;Former Wives;;;;;;;;;x 
CHURCH_NAME;The $RELIGION$ Faith;;;;;;;;;x 
diligent_poet;Diligent Poet;;;;;;;;;x 
diligent_musician;Diligent Musician;;;;;;;;;x 
diligent_architect;Diligent Chief Architect;;;;;;;;;x 
RAMADANTITLE;Ramadan;;;;;;;;;x 
observed_ramadan;Observed Ramadan;;;;;;;;;x 
plot_kill_character_desc;[From.GetTitledFirstName] has decided it is time for [This.GetTitledFirstName] to depart this world. [From.GetTitledFirstName] and [From.GetPossPronoun] backers will look for opportunities to kill [This.GetTitledFirstName] - the higher the Plot Power, the more likely they are to find openings.;;;;;;;;;x 
EVTDESC8150;Seeing [Root.PlotTarget.GetTitledName] with [Root.PlotTarget.GetPossPronoun] nose deep in the cup, it suddenly struck me that all I need to get rid of [Root.PlotTarget.GetObjectPronoun] is a fine poison...;;;;;;;;;x 
EVTOPTA8150;My co-conspirators will provide...;;;;;;;;;x 
EVTOPTB8150;Buy a rare poison;;;;;;;;;x 
EVTOPTC8150;Hemlock goes well with the Red...;;;;;;;;;x 
EVTOPTD8150;Too expensive - I will bide my time;;;;;;;;;x 
EVTTOOLTIP8155;Poison [This.GetTitledName] at the feast next month;;;;;;;;;x 
EVTDESC8151;Suddenly, it hit me - poison! Surely the safest way to get rid of troublesome... pests.;;;;;;;;;x 
EVTOPTB8151;Ask the Plot head for funds;;;;;;;;;x 
EVTTOOLTIP8160;Tell [This.GetTitledName] of the idea to kill [This.PlotTarget.GetTitledName];;;;;;;;;x 
EVTTOOLTIP8152;Ask [This.GetTitledName] for funds to kill [This.PlotTarget.GetTitledName];;;;;;;;;x 
EVTDESC8152;My co-conspirator, [From.GetTitledName], is asking for funds to poison [Root.PlotTarget.GetTitledName] at an upcoming banquet...;;;;;;;;;x 
EVTOPTA8152;Very well - too bad I will not see it!;;;;;;;;;x 
EVTOPTB8152;Even [Root.PlotTarget.GetHerHis] death is not worth it.;;;;;;;;;x 
EVTTOOLTIP8153;[This.GetTitledName] receives the funds;;;;;;;;;x 
EVTTOOLTIP8154;Inform [This.GetTitledName] that I will not pay;;;;;;;;;x 
EVTDESC8153;[From.GetTitledName] has sent me the necessary funds to poison [From.PlotTarget.GetTitledName]...;;;;;;;;;x 
EVTDESC8154;[From.GetTitledName] has refused to fund the rare poison needed to off [From.PlotTarget.GetTitledName].;;;;;;;;;x 
EVTOPTA8154;I will pay for it myself!;;;;;;;;;x 
EVTOPTB8154;Forget it;;;;;;;;;x 
EVTDESC8155;What a merry feast, surrounded by my friends and loved ones... I feel a thirst coming on. Page, more wine!;;;;;;;;;x 
EVTOPTA8155;Aaah, that's the stuff!;;;;;;;;;x 
EVTOPTB8155;Wait, this doesn't smell right!;;;;;;;;;x 
EVTDESC8156;Poison! My body is growing numb, but as my sight fades, I die loudly cursing my killer's name!;;;;;;;;;x 
EVTOPTA8156;A million deaths for [FromFrom.GetTitledFirstName]!;;;;;;;;;x 
EVTDESC8157;Poison! My body is growing numb. Someone, please help me! [Root.Religion.GetRandomGodNameCap]...;;;;;;;;;x 
EVTOPTA8157;Who would hate me so?;;;;;;;;;x 
EVTDESC8158;Poisoned wine? How cliché. These amateurs will be brought to justice!;;;;;;;;;x 
EVTOPTA8158;[FromFrom.GetTitledFirstName] is surely guilty!;;;;;;;;;x 
EVTDESC8159;I could feel Death breathing down my neck... Who would want me dead?;;;;;;;;;x 
EVTOPTA8159;I fear I shall never know;;;;;;;;;x 
EVTDESC8160;My co-conspirator, [From.GetTitledName], has let me know that [Root.PlotTarget.GetTitledName] will die by poisoned wine at an upcoming banquet...;;;;;;;;;x 
EVTOPTA8160;Classic!;;;;;;;;;x 
EVTTOOLTIP8161;Approve the plan;;;;;;;;;x 
EVTDESC8161;[From.GetTitledName] approves of my idea to poison [From.PlotTarget.GetTitledName]. May [Root.Religion.GetRandomGodName] forgive me!;;;;;;;;;x 
EVTOPTA8161;Make the preparations;;;;;;;;;x 
EVTDESC8162;[From.GetTitledName] has let me know that the plot to kill [From.PlotTarget.GetTitledName] is proceeding well. [From.PlotTarget.GetSubjectPronounCap] will die by poisoned wine at a feast in one month.;;;;;;;;;x 
EVTOPTA8162;Classic!;;;;;;;;;x 
EVTDESC8163;Success! [From.GetTitledName] died of the poisoned wine. Unfortunately, my complicity was discovered.;;;;;;;;;x 
EVTOPTA8163;Good. But... bad.;;;;;;;;;x 
EVTDESC8164;Success! It seems the wine did not agree with [From.GetTitledName]. [From.GetSubjectPronounCap] died not knowing the name of [From.GetPossPronoun] killer.;;;;;;;;;x 
EVTOPTA8164;I think I will celebrate with... beer.;;;;;;;;;x 
EVTDESC8165;Failure! [From.GetTitledName] did not drink the wine and my complicity was discovered.;;;;;;;;;x 
EVTOPTA8165;This is bad...;;;;;;;;;x 
EVTDESC8166;Failure! [From.GetTitledName] did not drink the wine, but was unable to uncover the conspiracy.;;;;;;;;;x 
EVTOPTA8166;We will just have to try again;;;;;;;;;x 
EVTDESC8170;Seeing the cook's son fall from a tree, I had a flash of inspiration. Children are such foolish and clumsy creatures - how tragic if [Root.PlotTarget.GetTitledName] were to fall off the parapets...;;;;;;;;;x 
EVTOPTA8170;My co-conspirators will know someone...;;;;;;;;;x 
EVTOPTB8170;Bribe a guard;;;;;;;;;x 
EVTOPTC8170;I know the perfect man for the job!;;;;;;;;;x 
EVTTOOLTIP8175;[This.GetTitledName] will try [This.GetPossPronoun] wings next month;;;;;;;;;x 
EVTDESC8171;Ah, children, how they hurt themselves. How rare to see one without a bruise, a bump or a scab. Hmm, what if someone were to take a rather long fall?;;;;;;;;;x 
EVTOPTB8171;Ask the Plot head for funds;;;;;;;;;x 
