#CODE;ENGLISH;;;;;;;;;x 
LEDGER_SORT_DELAYED;§GClick to sort using this column§W;;;;;;;;;x 
EVTDESC39277;The Holy Father has granted you the [From.PrimaryTitle.GetFullName]. We will serve you faithfully as a vassal, and guide your rule in a Christian way.;;;;;;;;;x 
EVTOPTA39277;Non nobis...;;;;;;;;;x 
pti;Mare incognitum;;;;;;;;;x 
PTI;Mare incognitum;;;;;;;;;x 
d_mamluks;Mamluks;;;;;;;;;x 
d_mamluks_adj;Mamluk;;;;;;;;;x 
IMPRISON_INTERACTION_1;Using this option is viewed as tyrannical, and will lower all of your subjects' opinion of you by §R$OPINION$§!.;;;;;;;;;x 
EXECUTE_IMPRISONED_INTERACTION_1;Using this option is viewed as tyrannical, and will lower all of your vassals' opinion of you by §R$OPINION$§!.;;;;;;;;;x 
other_dejure_county_claim_desc;The §Y$TITLE$§! is, de jure, a vassal of §Y$CLAIMANT$'s§!, which is cause enough for war.;;;;;;;;;x 
other_dejure_barony_claim_desc;The §Y$TITLE$§! is, de jure, a vassal of §Y$CLAIMANT$'s§!, which is cause enough for war.;;;;;;;;;x 
TERRA_INCOGNITA;Mare incognitum;;;;;;;;;x 
CLEARREVOLT_EFFECT;The rebels disperse\n;;;;;;;;;x 
EVTDESC80053;Tired of their old ruler [From.GetTitledName], the peasant rebels of [Root.GetName] have defected and sworn allegiance to me!;;;;;;;;;x 
EVTOPTA80053;Excellent! Or is it...?;;;;;;;;;x 
LEADER_APP_NEEDS_LAW_NO_CROWN_TITLE;Your nobles are too autonomous to accept being replaced as leaders.\n(Crown Authority is too low.);;;;;;;;;x 
CHAR_EXCOM_SETUP;Character Excommunicated;;;;;;;;;x 
CHAR_EXCOM_LOG;§Y$REL_HEAD$§! has excommunicated §Y$VICTIM$§! at the behest of §Y$ACTOR$§!!;;;;;;;;;x 
CHAR_EXCOM_LIFTED_SETUP;Excommunication Lifted;;;;;;;;;x 
CHAR_EXCOM_LIFTED_LOG;§Y$REL_HEAD$§! has lifted the excommunication of §Y$VICTIM$§! at the behest of §Y$ACTOR$§!!;;;;;;;;;x 
b_cueta;Ceuta;;;;;;;;;x 
NOT_ALLOWED_TO_PLAY_MP;§Y$PLAYER$§! not allowed to play §Y$TYPE$§W!;;;;;;;;;x 
INTERACTION_REQUIRES_ACTOR_NOT_EXCOMMUNICATED;[Actor.GetBestName] is not excommunicated;;;;;;;;;x 
HAS_RAISED_MY_LEVIES;Has Raised my Levies;;;;;;;;;x 
HAS_NOT_RAISED_MY_LEVIES;Has NOT Raised my Levies;;;;;;;;;x 
PROV647;Ahvaz;;;;;;;;;x 
c_avhaz_adj;Ahvazian;;;;;;;;;x 
WAR_INVALID_SETUP;War becomes invalid;;;;;;;;;x 
CANNOT_DISBAND_IN_COMBAT;§R(In combat, cannot be disbanded)§!;;;;;;;;;x 
plot_gain_title_title;Acquire the [This.GetFullName];;;;;;;;;x 
plot_gain_title_desc;[From.GetBestName] is plotting to become ruler of the [This.GetFullName].;;;;;;;;;x 
FE_CONFIRM_LOAD_OLD_TITLE;Old Save Warning;;;;;;;;;x 
FE_CONFIRM_LOAD_OLD_DESC;The selected savegame is from version: $VERSION$, the current version is: $CURRVERSION$. \nLoading this file could result in odd behavior and even crashes. Load anyway?;;;;;;;;;x 
UNKNOWN;Unknown;;;;;;;;;x 
EVTDESC4075;The day did not bring any game at all, it had been a futile hunting trip with my guests and my face still burned with shame when the gamekeeper told me about deer parks.;;;;;;;;;x 
EVTDESC4105;The Summer Fair brings all kinds of entertainers to [Root.Location.GetName] and a puppet show got my attention when I heard the giggles, laughter and wolf-whistles from its audience. After watching the show for a while, I realized that one of the characters was supposed to be me!;;;;;;;;;x 
EVTDESC72009;When I opened the door I saw no one but as I stepped aside to close it a group of acrobats cartwheeled, somersaulted and tumbled in. They performed all sorts of tricks and everyone watching exploded into applause when they finished.;;;;;;;;;x 
EVTOPTA72009;You would be perfect for my feast!;;;;;;;;;x 
EVTOPTB72009;Get out! What do you think you are doing?!;;;;;;;;;x 
EVTDESC4160;The acrobats performed somersaults, cartwheels and tumbles with great skill during the course of my feast. One of them arrived in a chest seemingly too small to hold a person but he showed us how he, by distorting his body, could fit into the chest...;;;;;;;;;x 
EVTDESC72115;I almost forgot to eat when I saw the acrobats performing during [From.GetTitledFirstName] and I was the first one to start applauding when their performance was done, wishing they would do just one more somersault, or cartwheel, or even tumble...;;;;;;;;;x 
EVTOPTA72115;Bravo! Wonderful!;;;;;;;;;x 
EVTDESC72116;[From.GetTitledFirstName]'s plate was still almost full when the acrobats had finished their performance and [From.GetSheHe] applauded almost frantically with a blissed look in [From.GetHerHis] eyes.;;;;;;;;;x 
EVTOPTA72116;So [From.GetSheHe] liked the acrobats...?;;;;;;;;;x 
EVTDESC4170;Its ragged fur and sorrowful eyes made the bear look pitiful, but when its trainer started playing his flute the bear started dancing. The dancing bear and his trainer travelled from fair to fair and this year they came to the Summer Fair in [Root.Location.GetName].;;;;;;;;;x 
EVTDESC24510;I died while I was serving [Root.Liege.GetTitledFirstName], now I hope [Root.Liege.GetSheHe] will honor my last wish and bury me properly...;;;;;;;;;x 
EVTOPTA24510;Keep your promise or I will haunt you, forever!;;;;;;;;;x 
EVTTOOLTIP4140;[This.GetTitledFirstName] keeps [This.GetHerHis] promise to [Root.GetTitledFirstName];;;;;;;;;x 
EVTDESC4140;[From.GetTitledFirstName] had made me promise I would bury [From.GetHerHim] properly and I keep my promises. I walked beside [From.GetHerHis] coffin to [From.GetTitledFirstName]'s last rest and the wailing of the mourners was almost more than I could bear. [From.GetSheHeCap] died too young!;;;;;;;;;x 
EVTOPTC4140;I should help [From.GetHerHis] widow;;;;;;;;;x 
NOT_SELECT;§Y$PLAYER$§! must select a character to play!;;;;;;;;;x 
OUTLINER_BUILDING_DESC;Building a $BUILDING$ in $SETTLEMENT$\n$DAYS$ days remaining;;;;;;;;;x 
LOADING_TIP_15;Right-click a received message to change its priority or appearance.;;;;;;;;;x 
LOADING_TIP_19;Press F10 to save a snapshot of the mapmode you currently have selected.;;;;;;;;;x 
LOADING_TIP_21;Press F11 to save a screenshot of the game.;;;;;;;;;x 
EVTDESC20133;My liege, my work in [FromFrom.Location.GetName] seem to have come to fruition. By bribing, cajoling, extorting, threatening and forging documents, I have managed to fabricate a claim on the [FromFrom.Location.Duchy.GetFullName] presently held by [From.GetTitledName]. I leave it up to you whether to press it or not.\n\nYour humble [Root.GetChancellorName],\n[FromFrom.GetTitledName];;;;;;;;;x 
action_fabricate_claims_desc;Send your [GetChancellorName] to fabricate claims on landed titles held by local rulers. Highly skilled [GetChancellorName]s may even fabricate a claim on a duchy.;;;;;;;;;x 
EVTDESC3440;I stumbled into a courtier eating cookies outside the kitchen. The courtier apologised several times and then offered me a cookie as an apology for being in my path and the cynic in me got the best of me. I lost myself in cynical comments about how the courtier was trying to poison me with baked goods, probably spoken out loud.;;;;;;;;;x 
TECH_AVG_YEARS_TO_PROGRESS;Average number of years until increase: §G$YEARS$§!;;;;;;;;;x 
MAKE_PRIMARY;Make Primary;;;;;;;;;x 
MAKE_PRIMARY_DESC;I can declare this my primary title;;;;;;;;;x 
TITLE_MADE_PRIMARY_SETUP;Title made the Primary Title;;;;;;;;;x 
TITLE_MADE_PRIMARY_LOG;§Y$CHAR$§! has made the §Y$TITLE$§! $PRONOUN$ primary title.;;;;;;;;;x 
LOADSHIP_UNIT_FAILDESC;No navies present which are large enough to transport army;;;;;;;;;x 
LOADSHIP_UNIT_FAILDESC2;Cannot embark a retreating or fighting army;;;;;;;;;x 
holding_large_feast;Holding a large Feast;;;;;;;;;x 
high_taxes;High Taxes;;;;;;;;;x 
title_court_jester_desc;The court Jester is kept around to provide general entertainment to the court. Also know as a fool it is generally not considered to be the most prestigious office at court.;;;;;;;;;x 
title_master_of_the_horse_desc;This office dates all the way back the Roman Republic, and, in this era where a horse is a symbol of power, it is still very important. Although the Master of the Horse delegates the actual day to day running of the actual stables, much of the prestige of this office comes from the responsibility for the stud.;;;;;;;;;x 
title_master_of_the_hunt_desc;In an era when hunting was an opportunity to demonstrate horsemanship and martial prowess, the hunt was serious business. The master of the hunt was a position of importance.;;;;;;;;;x 
title_master_of_the_hounds_desc;With hunting considered the main pastime of the higher nobility, the hounds employed for the some of the hunts are thus important.;;;;;;;;;x 
title_high_almoner_desc;The handing out of alms was an integral part of rulership and religious observance. The one responsible for this task is a very important personage.;;;;;;;;;x 
title_seneschal_desc;Originally responsible for the organization of feasts and domestic entertainment. Although left mainly in the hands of deputies, the key role at such major occasions makes the post prestigious.;;;;;;;;;x 
d_amman;Damman;;;;;;;;;x 
d_amman_adj;Dammani;;;;;;;;;x 
LOADING_TIP_3;Right-click on a holding in your realm to access a quick menu for it.;;;;;;;;;x 
RAISE_NO_TROOPS_ALIVE;There are no troops left to raise.;;;;;;;;;x 
RAISE_NO_SHIPS_ALIVE;There are no ships left to raise.;;;;;;;;;x 
overthrow_ruler_no_calls_desc;§Y$CLAIMANT$§! has risen in revolt after a failed arrest attempt by §Y$TARGET$§!.;;;;;;;;;x 
CB_NAME_OVERTHROWRULER_NC;Overthrow Ruler;;;;;;;;;x 
WAR_NAME_OVERTHROWRULER_NC;$ORDER$Revolt against the rule of $DEFENDER$;;;;;;;;;x 
holding_summer_fair;Holding a Summer Fair;;;;;;;;;x 
teenage_infatuation;Teenage Infatuation;;;;;;;;;x 
lovers_retreat;Lovers Retreat;;;;;;;;;x 
lovers_entertainment;Entertainment from my lover;;;;;;;;;x 
childhood_sweetheart;Childhood Sweetheart;;;;;;;;;x 
love_scorned;Love Scorned;;;;;;;;;x 
EVTDESC64010;[Root.GetSheHeCapOpp] is so funny and, above all, so beautiful! I think I am falling for [Root.GetHerHimOpp]...;;;;;;;;;x 
EVTOPTA64010;I'll try and talk to [Root.GetHerHimOpp]...;;;;;;;;;x 
EVTTOOLTIPA64011;[Root.GetFirstName] and [This.GetFirstName] has a wonderful time together;;;;;;;;;x 
EVTTOOLTIPB64011;[This.GetFirstName] scorns [Root.GetFirstName];;;;;;;;;x 
EVTOPTB64010;[Root.GetSheHeCapOpp]'s not that pretty anyway...;;;;;;;;;x 
EVTDESC64011;No matter what I was doing or where I was, [From.GetTitledFirstName] always seemed to find me but seemed tongue-tied and shy. I was alone in the library, reading, when [From.GetSheHe] finally got the courage to talk to me...;;;;;;;;;x 
EVTOPTA64011;You are so sweet! I like you too...;;;;;;;;;x 
EVTTOOLTIP64012;[Root.GetFirstName] and [This.GetFirstName] becomes infatuated with each other;;;;;;;;;x 
EVTOPTB64011;Go away! I don't like you...;;;;;;;;;x 
EVTTOOLTIP64013;[Root.GetFirstName] scares [This.GetFirstName] away with [Root.GetHerHis] scornful reply;;;;;;;;;x 
EVTDESC64012;[From.GetTitledFirstName] and I talked for hours and soon became inseparable. If there was a chore, a homework or anything we could do together, we did it. If it weren't for my nanny then we would have slept in the same bed too.;;;;;;;;;x 
EVTOPTA64012;Is this how it is when you are in love?;;;;;;;;;x 
EVTDESC64013;I fled from [From.GetTitledFirstName]'s scornful reply and [From.GetHerHis] laughter that followed me down the stairs. How could I ever have felt anything for that, that... idiot?!;;;;;;;;;x 
EVTOPTA64013;I have to accept that I'm a failure;;;;;;;;;x 
EVTOPTB64013;Who dares, wins;;;;;;;;;x 
EVTDESC64015;My wife [Root.Spouse.GetFirstName] has grown old and less-than-attractive. Maybe a young mistress will bring some excitement to my life?;;;;;;;;;x 
EVTOPTA64015;I'm sure my wife will allow me to indulge myself;;;;;;;;;x 
EVTTOOLTIP64017;[Root.GetTitledFirstName] tries to seduce [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB64015;My wife will probably not find out;;;;;;;;;x 
EVTOPTC64015;No, adultery is a sin;;;;;;;;;x 
EVTDESC64016;I have noticed how [From.GetFirstName] has stopped looking at me the way [From.GetSheHe] used to do, with a kind of burning desire for me and my body. These days, [From.GetSheHe] looks at the young courtiers with high bosoms and slender waists with the look that used to be reserved for me...;;;;;;;;;x 
EVTOPTA64016;So [From.GetSheHe] did not think I would notice?!;;;;;;;;;x 
EVTTOOLTIP64020;[Root.GetTitledFirstName] makes sure [This.GetTitledFirstName] understands [Root.GetHerHis] feelings about [This.GetHerHim] looking at other women;;;;;;;;;x 
EVTDESC64017;[From.GetTitledFirstName]'s wife is a frail old thing who probably used to be beautiful. No wonder [From.GetSheHe] has started eyeing us lovelier ladies at court...;;;;;;;;;x 
EVTOPTA64017;[From.GetSheHeCap] is not too hard on the eyes...;;;;;;;;;x 
EVTTOOLTIP64018;[Root.GetTitledFirstName] encourages [This.GetTitledFirstName]'s advances;;;;;;;;;x 
EVTOPTB64017;I deserve someone better than [From.GetTitledFirstName];;;;;;;;;x 
EVTTOOLTIP64019;[Root.GetTitledFirstName] scorns [This.GetTitledFirstName]'s advances;;;;;;;;;x 
EVTDESC64018;[From.GetTitledFirstName] responded to my advances and soon we were... engaging in a very stimulating activity. In short: the love-making was amazing!;;;;;;;;;x 
EVTOPTA64018;I think I am in love...;;;;;;;;;x 
EVTDESC64019;The scorn I was met by when I tried to talk [From.GetTitledFirstName] into meeting me somewhere more private really hurt. [From.GetSheHeCap] actually laughed at my advances and told me I was both too old and too ugly for [From.GetHerHim].;;;;;;;;;x 
EVTOPTA64019;I was taken aback by [From.GetTitledFirstName]'s scorn;;;;;;;;;x 
EVTDESC64020;[From.GetFirstName] had noticed how I had started looking at the other women at court and the whispers about me flirting with the beautiful ladies at court made [From.GetHerHim] draw some conclusions [From.GetSheHe] obviously did not appreciate. I was yelled at for hours, or so it felt, about the 'sinfulness of adultery' and 'why don't you think I am attractive anymore?'.;;;;;;;;;x 
EVTOPTA64020;I think [From.GetFirstName] is angry about me flirting with the ladies...;;;;;;;;;x 
EVTDESC64025;It is as if I see [Root.Spouse.GetFirstName] for the first time: [Root.Spouse.GetHerHis] good-natured spirit, the interesting and funny quirks [Root.Spouse.GetSheHe] has and how lovely [Root.Spouse.GetSheHe] really is. Could it be that I love my [Root.Spouse.GetFirstName]?;;;;;;;;;x 
EVTOPTA64025;Embrace the love I feel for [Root.Spouse.GetFirstName];;;;;;;;;x 
EVTOPTB64025;Deny the love;;;;;;;;;x 
EVTDESC64030;I have finally gotten a chance to do something special with my special someone and there are so many things I want to do! Should I try to entertain [Root.GetHerHimOpp] at the court, or maybe we should spend some time in my isolated country cottage?;;;;;;;;;x 
EVTOPTA64030;I shall take [Root.GetHerHimOpp] to my isolated country cottage;;;;;;;;;x 
EVTOPTB64030;I'll sponsor entertainment at the local court;;;;;;;;;x 
EVTOPTC64030;Nah, I'll spend the time with my friends instead;;;;;;;;;x 
EVTDESC64035;No matter what I do, my sweetheart never seems happy, complaining that we never do anything exciting together and sulks when I tell [Root.GetHerHimOpp] I have too much to do to be able to entertain [Root.GetHerHimOpp] all the time. Having a lover is more hard work than I thought!;;;;;;;;;x 
EVTOPTA64035;Throw a big party for [Root.GetHerHisOpp] entertainment;;;;;;;;;x 
EVTOPTB64035;Take [Root.GetHerHimOpp] to do something dangerous, like hunting;;;;;;;;;x 
EVTOPTC64035;[Root.GetSheHeCapOpp] gets what [Root.GetSheHeOpp] deserves;;;;;;;;;x 
EVTDESC64040;I caught them together in our own bed, [Root.Spouse.GetFirstName] and [Root.Spouse.GetHerHis] lover! I screamed for [Root.Spouse.GetHerHis] lover to get out and then confronted [Root.Spouse.GetFirstName] about this...;;;;;;;;;x 
EVTOPTA64040;In our own bed?!;;;;;;;;;x 
EVTTOOLTIP64041;[Root.GetTitledFirstName] confronts [This.GetTitledFirstName] about [This.GetHerHis] lover;;;;;;;;;x 
EVTDESC64041;I thought [From.GetFirstName] would be gone for several hours, so when [From.GetSheHe] opened the door to the bedroom and caught my lover and I in a rather embarrassing embrace and, after [From.GetHerHis] initial surprise, shouted at my lover to get out I was speechless. [From.GetSheHeCap] demanded that I stopped seeing my lover, or else...;;;;;;;;;x 
EVTOPTA64041;I won't break it up!;;;;;;;;;x 
EVTOPTB64041;Anything for the sake of domestic peace!;;;;;;;;;x 
EVTDESC64045;I don't know what has happened lately, no matter what my lover does I feel irritated and have actually started to avoid [Root.GetHerHimOpp]. Our relationship brings me only irritation, it is as if we have grown apart...;;;;;;;;;x 
EVTOPTA64045;I don't love [Root.GetHerHimOpp] anymore;;;;;;;;;x 
EVTDESC64046;[From.GetTitledFirstName] has avoided me for some time, and the rare occasions when we meet have turned from the love-filled evenings I remember to hours of arguing and disagreement. It did not come as a shock when [From.GetTitledFirstName] told me [From.GetSheHe] wanted to end our relationship but it hurt more than I thought it would.;;;;;;;;;x 
EVTOPTA64046;In the end we parted as friends...;;;;;;;;;x 
EVTDESC64050;Since we were small, we had always felt there was something between us, something that made certain situations more awkward than they should have been. Our teenage infatuation has deepened and grown into something more, something that is hard to explain...;;;;;;;;;x 
EVTOPTA64050;Our infatuation has turned into love;;;;;;;;;x 
EVTTOOLTIP64051;Does [This.GetTitledFirstName] feel the same as I do?;;;;;;;;;x 
EVTOPTB64050;This was just something for us growing up;;;;;;;;;x 
EVTTOOLTIP64052;Has the teenage infatuation turned into affection between [This.GetTitledFirstName] and [Root.GetTitledFirstName]?;;;;;;;;;x 
EVTDESC64051;The teenage infatuation I felt for [From.GetTitledFirstName] has turned into something more, maybe love, and I know [From.GetTitledFirstName] feels the same way as I do.;;;;;;;;;x 
EVTOPTA64051;So this is love...?;;;;;;;;;x 
EVTDESC64052;[From.GetTitledFirstName] and I used to have a... teenage crush on each other and I met [From.GetHerHim] today and the old feelings welled up. Before I could say something embarrassing, [From.GetTitledFirstName] laughed away our teenage infatuation and told me that [From.GetSheHe] is still fond of me.;;;;;;;;;x 
EVTOPTA64052;Yes, it was only a teenage infatuation...;;;;;;;;;x 
EVTOPTB64052;But I loved you...;;;;;;;;;x 
IMAM;Imam;;;;;;;;;x 
IMAM_FOA;Your Highness;;;;;;;;;x 
LOADING_TIP_22;Children are born with a fraction of their parents' dynasties' total Prestige.;;;;;;;;;x 
LOADING_TIP_23;Agnatic Succession means only males can inherit.;;;;;;;;;x 
LOADING_TIP_24;Agnatic-Cognatic (a.k.a. Male Preference) Succession means females can inherit only if there are no valid males.;;;;;;;;;x 
LOADING_TIP_25;Under Seniority Succession, the oldest member of the dynasty inherits.;;;;;;;;;x 
LOADING_TIP_26;Under Primogeniture Succession, the oldest legitimate child inherits.;;;;;;;;;x 
LOADING_TIP_27;Under Gavelkind Succession, the inheritance is divided among the children.;;;;;;;;;x 
REVOKE_TITLE_INTERACTION_LETTER;We have decided to immediately revoke your title as [ThirdPartyTitle.GetFullName]. Failure to hand it over peacefully will lead to war.;;;;;;;;;x 
EVTDESC20111;My liege, I have tried to make [From.GetBestName] realize what a benevolent and peaceful ruler you really are, but sinister forces at [From.GetHerHis] court have been hard at work to discredit my every move and distort my every word. I am afraid that in the end the visit seems to have done more harm than good.\n\nYour humble [Root.GetChancellorName],\n[Root.job_chancellor.GetTitledName];;;;;;;;;x 
CHAR_OPINION_OF_CHAR;§Y$CHAR1$'s§! opinion of §Y$CHAR2$§!;;;;;;;;;x 
CHAR_IMPRISONED_SETUP;Character Imprisoned;;;;;;;;;x 
CHAR_IMPRISONED_LOG;§Y$VICTIM$§! has been imprisoned by §Y$ACTOR$§!;;;;;;;;;x 
CHAR_RELEASED_SETUP;Character Released from Prison;;;;;;;;;x 
CHAR_RELEASED_LOG;§Y$VICTIM$§! has been released from §Y$ACTOR$'s§! dungeon;;;;;;;;;x 
CHAR_BANISHED_SETUP;Character Banished;;;;;;;;;x 
CHAR_BANISHED_LOG;§Y$VICTIM$§! has been banished from §Y$ACTOR$'s§! lands;;;;;;;;;x 
ASSIGNED_JOB_ACTION_SETUP;Character Assigned a Job Action;;;;;;;;;x 
ASSIGNED_JOB_ACTION_LOG;§Y$CHAR$§! has been sent to §Y$JOB$§! in §Y$COUNTY$§!;;;;;;;;;x 
ATTRITION_WEIGHT;Total troops in province: §Y$VALUE$§!;;;;;;;;;x 
TITLE_ONLY_FEUDAL_CREATE_KING;Republics and theocracies cannot create kingdoms!;;;;;;;;;x 
#TODO: THESE EVENTS MUST HAVE DESC!;;;;;;;;;;x 
opinion_beheaded_dynasty_member;Beheaded a member of my dynasty!;;;;;;;;;x 
love_poem;Love Poem;;;;;;;;;x 
beautiful_flower;Beautiful Flower;;;;;;;;;x 
precious_item;Precious Item;;;;;;;;;x 
EVTDESC64055;My child shows every sign of being infatuated with a courtier and follows the person in question everywhere.;;;;;;;;;x 
EVTOPTA64055;Aw, how sweet...;;;;;;;;;x 
EVTOPTB64055;Maybe it will pass;;;;;;;;;x 
EVTOPTC64055;Separate them;;;;;;;;;x 
EVTDESC64060;My love is married to another [Root.GetManWoman] and it pains my soul I will never be able to marry [Root.GetHerHimOpp] myself. Oh, how cruel love can be!;;;;;;;;;x 
EVTOPTA64060;I will write a poem of my pain;;;;;;;;;x 
EVTOPTB64060;Wine will cure my pains;;;;;;;;;x 
EVTOPTC64060;I shall seek help from prayer;;;;;;;;;x 
EVTOPTD64060;[Root.GetSheHeCapOpp]'s married, I should forget [Root.GetHerHimOpp];;;;;;;;;x 
EVTDESC38286;I drink to forget and remember my trouble no more. I have gained the Drunkard trait.;;;;;;;;;x 
EVTDESC64065;The unsatisfying relationship with a married [Root.GetManWomanOpp] is really becoming irksome. I wish I could love [Root.GetHerHimOpp] openly, without fearing everyone's scorn...;;;;;;;;;x 
EVTOPTA64065;And thus it ends...;;;;;;;;;x 
EVTOPTB64065;Maybe it can still work...;;;;;;;;;x 
EVTOPTC64065;No, I will make it work!;;;;;;;;;x 
EVTDESC64070;Seeing another [Root.GetManWomanOpp] behind my spouse's back is becoming quite troublesome for me, the lies tear at my soul and my longing to be with my lover is almost too much.;;;;;;;;;x 
EVTOPTA64070;It's time to end such affairs and settle down;;;;;;;;;x 
EVTOPTB64070;It will work out if I give it a bit more effort;;;;;;;;;x 
EVTOPTC64070;I don't care for my spouse;;;;;;;;;x 
EVTDESC64075;I am planning a special occasion with my lover, but my wife is quite insistent on alternate plans. Who is more important to me, my lover or my wife?;;;;;;;;;x 
EVTOPTA64075;Ignore my wife, and go visit my lover;;;;;;;;;x 
EVTOPTB64075;Arrange a ball and invite my lover;;;;;;;;;x 
EVTTOOLTIP64076;Your wife [This.GetFirstName] meets your lover at the ball and learns about your adulterous relationship;;;;;;;;;x 
EVTOPTC64075;Spend time with my wife instead;;;;;;;;;x 
EVTTOOLTIP64045;You have lost that loving feeling for your lover;;;;;;;;;x 
EVTDESC64076;I was glad [From.GetFirstName] wanted to arrange a ball and I invited all my friends for a night I would never forget. The ball was wonderful, until I met my husband [From.GetFirstName]'s lover.;;;;;;;;;x 
EVTOPTA64076;How could [From.GetSheHe] do that to me?;;;;;;;;;x 
EVTTOOLTIP64077;[Root.GetTitledFirstName] hates [This.GetTitledFirstName] for who [This.GetSheHe] invited to the ball;;;;;;;;;x 
EVTDESC64077;My wife [From.GetTitledFirstName] came up to me, slapped me and left the ball. My lover came running after her and gave me a look that meant trouble ahead. My wife [From.GetFirstName] and my lover had met and my wife had learnt about our adulterous relationship.;;;;;;;;;x 
EVTOPTA64077;And now she hates me;;;;;;;;;x 
EVTDESC64080;My wife has retired to the convent for a short while, to gather her thoughts and find some peace, maybe even God.;;;;;;;;;x 
EVTOPTA64080;Perfect occasion to spend time with my lover!;;;;;;;;;x 
EVTOPTB64080;Be discreet about spending time with my lover;;;;;;;;;x 
EVTOPTC64080;Only see my lover on friendship terms;;;;;;;;;x 
EVTOPTD64080;Spend the time working instead;;;;;;;;;x 
EVTDESC64085;I love [Root.GetHerHimOpp] and [Root.GetSheHeOpp] loves me, we are both adults and nothing or nobody will stop us getting married!;;;;;;;;;x 
EVTOPTA64085;We elope to get married;;;;;;;;;x 
EVTTOOLTIP64086;Our eloping caught the attention of [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC64086;Two people eloped, got married without anyone's consent except their own and it falls to me as their liege to either accept the marriage or do something about it.;;;;;;;;;x 
EVTOPTA64086;Order them seized;;;;;;;;;x 
EVTTOOLTIP64087;The elopers are caught and imprisoned;;;;;;;;;x 
EVTTOOLTIP64088;The elopers are caught and banished;;;;;;;;;x 
EVTOPTB64086;Accept their marriage;;;;;;;;;x 
EVTDESC64087;[From.GetTitledFirstName] could not accept our marriage and now my [Root.Spouse.GetFirstName] and I finds ourselves in the prison of [From.GetTitledFirstName].;;;;;;;;;x 
EVTOPTA64087;Curse you, [From.GetTitledFirstName]!;;;;;;;;;x 
EVTDESC64088;I almost regret eloping with [Root.Spouse.GetTitledFirstName] as it caused us to be banished by [From.GetTitledFirstName]. But they say love conquers all and at least I have my [Root.Spouse.GetFirstName] with me in my misery.;;;;;;;;;x 
EVTOPTA64088;Banishing us for getting married? That's low even for you!;;;;;;;;;x 
EVTDESC64090;We both want children, [Root.Spouse.GetFirstName] and I, but we haven't been blessed with any yet. What do we do wrong?;;;;;;;;;x 
EVTOPTA64090;Ask for [Root.Religion.GetRandomGodName]'s help with our childless marriage;;;;;;;;;x 
EVTOPTB64090;Meet with [Root.Spouse.GetTitledFirstName] every night;;;;;;;;;x 
EVTDESC64100;I had a fiery row with my wife [Root.Spouse.GetFirstName], worse than any we ever had before. My lover is eager to comfort me and I could really use some comfort right now.;;;;;;;;;x 
EVTOPTA64100;Retire to the country manor with my lover for a while;;;;;;;;;x 
EVTOPTB64100;I can have my lover in my castle;;;;;;;;;x 
EVTTOOLTIP64102;Your adulterous affair is discovered by your wife [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTC64100;I am strong, I don't need comfort!;;;;;;;;;x 
EVTDESC64101;The 'comfort' my lover offered me has resulted in her being pregnant!;;;;;;;;;x 
EVTOPTA64101;How wonderful!;;;;;;;;;x 
EVTDESC64102;Still fuming with anger after the fiery row with [From.GetTitledFirstName], I saw [From.GetHerHim] kiss another woman in the garden and then take her by the hand, leading her somewhere more private I am sure.;;;;;;;;;x 
EVTOPTA64102;I hate him!;;;;;;;;;x 
EVTDESC64105;The constant quarrels with [From.GetTitledFirstName] and [From.GetHerHis] adulterous affairs has brought me to a boiling point. If I ever loved [From.GetHerHim], that love has disappeared with this latest betrayal.;;;;;;;;;x 
EVTOPTA64105;I loathe, no, I hate [From.GetTitledFirstName];;;;;;;;;x 
EVTTOOLTIP64105;has a fallout with [This.GetHerHis] spouse [This.Spouse.GetTitledFirstName];;;;;;;;;x 
EVTDESC64110;No matter how discreet I have been with my lover, my [Root.Spouse.GetFirstName] still manages to grow suspicious of my behavior. I think I might have tried too hard to be inconspicuous...;;;;;;;;;x 
EVTOPTA64110;Tell [Root.Spouse.GetHerHim] it's none of [Root.Spouse.GetHerHis] business;;;;;;;;;x 
EVTOPTB64110;Tell [Root.Spouse.GetHerHim] you do important things;;;;;;;;;x 
EVTOPTC64110;Make empty promises to [Root.Spouse.GetHerHim] about spending more time;;;;;;;;;x 
EVTOPTD64110;Spend more time at home as [Root.Spouse.GetSheHe] wishes;;;;;;;;;x 
EVTDESC64115;My lover accused me of loving my spouse [Root.Spouse.GetTitledFirstName] more than [Root.GetHerHimOpp].;;;;;;;;;x 
EVTOPTA64115;Buy [Root.GetHerHimOpp] an expensive gift to prove my love;;;;;;;;;x 
EVTOPTB64115;Take [Root.GetHerHimOpp] to my country manor for some quality time;;;;;;;;;x 
EVTOPTC64115;Assure [Root.GetHerHimOpp] of [Root.GetHerHisOpp] importance by words only;;;;;;;;;x 
EVTOPTD64115;Tell [Root.GetHerHimOpp] that [Root.GetSheHeOpp] is absolutely correct;;;;;;;;;x 
EVTDESC64120;I heard the news from my lover first, then the whole court was buzzing with the news. My spouse [Root.Spouse.GetTitledFirstName] had made my adulterous affair public!;;;;;;;;;x 
EVTOPTA64120;Disown the affair;;;;;;;;;x 
