#CODE;ENGLISH;;;;;;;;;x 
ADD_AMBITION_EFFECT;$CHAR$ gains the ambition §Y$OBJECTIVE$§!\n;;;;;;;;;x 
EVTDESC94000;The art of leading men into battle has always fascinated you. To study this critical science, you have ordered the construction of a miniature army in wood. Dear [Root.Spouse.GetFirstName] scoffs at you for playing with "toys," but truly, what do womenfolk know of war?;;;;;;;;;x 
EVTOPTA94000;Forward, men! We shall fight to the last!;;;;;;;;;x 
EVTDESC94001;You have learned of other enthusiasts in [Root.Location.GetName] who share your interest in miniature armies and pitting them against each other in glorious battle. They will soon be holding a tournament to establish once and for all who the greatest general is. Perhaps you should grace them with your presence?;;;;;;;;;x 
EVTOPTA94001;Yes! My armies will crush all opposition!;;;;;;;;;x 
EVTOPTB94001;No, I have no time to waste on silly games.;;;;;;;;;x 
EVTTOOLTIP94002;You seek out these kindred spirits.;;;;;;;;;x 
EVTDESC94002;You make your way to the small hovel where the gaming enthusiasts have gathered. Your bodyguards kick open the shack's ramshackle door and announce your presence to the bewildered peasant teenagers inside. They are already sitting around a table, in the midst of a battle with their own painted little armies.;;;;;;;;;x 
EVTOPTA94002;Right then. Who will face me first?;;;;;;;;;x 
EVTTOOLTIP94003;your great army meeting defeat on the battlefield.;;;;;;;;;x 
EVTDESC94003;As your armored guards stand at silent attention along the walls of the hut, you do battle with your wooden army. The dice do not roll your way, but at least you have gained several valuable tactical insights. With his miniature cavalry surrounding the last of your army, one of the trembling teenagers asks in a meek voice:\n "D-do you y-yield, m'lord?";;;;;;;;;x 
EVTOPTA94003;Yield? YIELD?! Guards, take this wretch to the dungeons!;;;;;;;;;x 
EVTOPTB94003;I yield. Well fought, boy!;;;;;;;;;x 
EVTTOOLTIP94004;your wooden soldiers carrying the day.;;;;;;;;;x 
EVTDESC94004;As your armored guards stand at silent attention along the walls of the hut, you do battle with your wooden army. The dice roll your way and soon your army is the last to remain standing on the table. The frightened striplings watch in silence as you gather up your wooden soldiers and turn to leave with your bodyguard.;;;;;;;;;x 
EVTOPTA94004;We shall have to do this again some time!;;;;;;;;;x 
EVTDESC94005;As you make your way home late one night escorted by your bodyguard, you run into several drunken peasants having a fistfight in the middle of the street. Your guards attempt to steer you away, but you have an idea. Would this not be a perfect sparring opportunity in which to improve your martial ability?;;;;;;;;;x 
EVTOPTA94005;Put 'em up!;;;;;;;;;x 
EVTOPTB94005;No, these peasants are beneath me.;;;;;;;;;x 
EVTTOOLTIP94006;suffering a beating.;;;;;;;;;x 
EVTDESC94006;After ordering your guards back, you join the wild melee. You get several blows in before the ruffians react to your presence, but things go poorly when you fight one of them on even terms. Soon you lie bruised in the mud, with the taste of blood in your mouth. Your smiling opponent offers his hand to help you up.;;;;;;;;;x 
EVTOPTA94006;Guards, deal with them! No survivors.;;;;;;;;;x 
EVTOPTB94006;Thank you for the lesson, friend.;;;;;;;;;x 
EVTTOOLTIP94007;administering a beating.;;;;;;;;;x 
EVTDESC94007;After ordering your guards back, you join the wild melee. As the ruffians become aware of your presence they gang up on you, but you are still able to hold your own. You dodge their blows and land several of your own. Soon the peasants are lying unconscious at your feet in the mud.;;;;;;;;;x 
EVTOPTA94007;Thank you for this dance, gentlemen, but I must be off.;;;;;;;;;x 
EVTDESC94010;It is rumored that a great warrior from the distant east is currently passing through [Root.Location.GetName]. He is said to have taken part in a hundred battles or more, and his legendary fighting skills are supposedly without peer. Perhaps he could be persuaded to pass on some of his knowledge to you...;;;;;;;;;x 
EVTOPTA94010;This man must be found!;;;;;;;;;x 
EVTDESC94011;After a long search you find the fabled warrior you had been looking for at a local inn. Reeking of spirits, the old man is soundly asleep under a table. His sword is of an unfamiliar make and the man's appearance certainly betrays his eastern origins, but could this really be the legendary fighter you seek? The innkeeper will not let him leave until someone pays his bill.;;;;;;;;;x 
EVTOPTA94011;Just another drunken fool.;;;;;;;;;x 
EVTOPTB94011;I will pay...;;;;;;;;;x 
EVTTOOLTIP94012;You pay the old man's tab.;;;;;;;;;x 
EVTDESC94012;As the old man struggles to recover from his hangover, you explain, in a quiet voice, your quest to improve your martial ability. You ask if he would teach you. He breaks into laughter and winces from the headache this produces. Then it dawns on him that you aren't joking. "Very well, [Root.GetFirstName]-san. I promise teach, you promise learn. I say, you do, no questions.";;;;;;;;;x 
EVTOPTA94012;You have a deal.;;;;;;;;;x 
EVTOPTB94012;No way, old man!;;;;;;;;;x 
EVTTOOLTIP94013;Your training begins.;;;;;;;;;x 
EVTDESC94013;The old warrior from the east has settled down in your castle, and your training is proceeding well. One day as you walk into his room, you see the man trying to catch a fly with the pair of small wooden sticks he insists on using whenever he eats. You inquire why, and he explains: "Man who catch fly with chopstick accomplish anything.";;;;;;;;;x 
EVTOPTA94013;What?;;;;;;;;;x 
EVTTOOLTIP94014;Your training continues...;;;;;;;;;x 
EVTDESC94014;You take a boat trip with your old warrior teacher on a nearby lake. As he fishes, you stand up in the boat and practise the moves he has taught you. "When am I going to learn how to punch?" you ask. The man rocks the boat and you lose your footing, falling into the water. You resurface to his roaring laughter. "Learn how punch, after you learn how keep dry! You all wet behind ear!";;;;;;;;;x 
EVTOPTA94014;That's it, old man! I've had it with you! We're done!;;;;;;;;;x 
EVTOPTB94014;Sigh...;;;;;;;;;x 
EVTDESC94015;As dusk falls after an intense day of sparring, you watch the setting sun from the castle ramparts together with your warrior mentor. "I teach you many things, [Root.GetFirstName]-san," your mentor says, "but most important lesson in fight... is no get hit." The next morning, your training concluded, the old warrior has departed your castle. No one saw him leave.;;;;;;;;;x 
EVTOPTA94015;Well, I suppose I learned something.;;;;;;;;;x 
obj_improve_stewardship_title;Improve Stewardship;;;;;;;;;x 
obj_improve_stewardship_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] Stewardship, since it is poor (lower than §Y8§!).;;;;;;;;;x 
improve_stewardship_quit;You look for some other way to improve your stewardship.;;;;;;;;;x 
EVTDESC94050;As you travel by carriage on a road in [Root.Location.GetName], you pass by what appears to be an old shuttered inn. The sight of it fills you with questions. What forced them to close down? Could you do a better job than the previous owners? Perhaps this would be a golden opportunity to improve your stewardship...;;;;;;;;;x 
EVTOPTA94050;It is settled! I will buy the inn!;;;;;;;;;x 
EVTOPTB94050;No, I will not sink any money into that ruin.;;;;;;;;;x 
EVTTOOLTIP94051;You buy the inn and begin efforts to restore it.;;;;;;;;;x 
EVTDESC94051;The vagrants in your new inn have been evicted, the holes in the roof have been patched and the whole building has been thoroughly aired out to cleanse it of the most offensive odors. New staff has been hired, and the time has come for you to decide on a name for your inn.;;;;;;;;;x 
EVTOPTA94051;The Bottomless Tankard!;;;;;;;;;x 
EVTOPTB94051;The Mead Fountain!;;;;;;;;;x 
EVTOPTC94051;The Jester's Choice!;;;;;;;;;x 
EVTOPTD94051;The Drunken Squire!;;;;;;;;;x 
EVTOPTE94051;The Crescent Oasis!;;;;;;;;;x 
EVTOPTF94051;The Crossed Scimitars Club!;;;;;;;;;x 
EVTOPTG94051;The Frank, the Saracen and the Tartar!;;;;;;;;;x 
EVTOPTH94051;The Desert Watering Hole!;;;;;;;;;x 
EVTTOOLTIP94052;A name is chosen.;;;;;;;;;x 
EVTDESC94052;Things are very busy at your new inn, with everyone preparing for the grand opening night. Guests will be able to sample turnips for free, but if you added a generous amount of salt to them, people might become more thirsty and mead sales would increase...;;;;;;;;;x 
EVTOPTA94052;Add 10% salt!;;;;;;;;;x 
EVTOPTB94052;Add 20% salt!;;;;;;;;;x 
EVTOPTC94052;Add 30% salt!;;;;;;;;;x 
EVTOPTD94052;Add all the salt we have, damn you!;;;;;;;;;x 
EVTTOOLTIP94053;The turnips are salted.;;;;;;;;;x 
EVTDESC94053;Your inn will soon open to the public, but one last detail demands your attention before the opening night. Some form of act or spectable will need to be booked to keep the guests around. After scouring the lands for what passes for entertainment, you conclude that the following options are available to you:;;;;;;;;;x 
EVTOPTA94053;A lengthy sermon on the evils of vice by a local clergyman.;;;;;;;;;x 
EVTOPTB94053;A travelling bard from distant lands.;;;;;;;;;x 
EVTOPTC94053;A renowned eunuch castrato singer.;;;;;;;;;x 
EVTOPTD94053;A wild ass that allegedly speaks and recites poetry.;;;;;;;;;x 
EVTTOOLTIP94054;You book the clergyman.;;;;;;;;;x 
EVTDESC94054;Probably not your brightest idea, but you invite the clergyman to speak at the grand opening of your inn. He conducted a sermon on the importance of leading a righteous and temperate life. The sermon lasted for some time, until the clergyman was too drunk to remain coherent... or stand upright.;;;;;;;;;x 
EVTOPTA94054;Sales actually improved...;;;;;;;;;x 
EVTTOOLTIP94055;You book the bard.;;;;;;;;;x 
EVTDESC94055;The bard you hired for your inn's opening night was from far away and spoke a peculiar language, yet despite this there was a strangely compelling elegance and rythm to his poetry and song. At least people seemed to think so. Sales were good, so you see no reason to complain.;;;;;;;;;x 
EVTOPTA94055;Keep the mead flowing!;;;;;;;;;x 
EVTTOOLTIP94056;You book the eunuch.;;;;;;;;;x 
EVTDESC94056;The eunuch's castrato singing was quite unlike anything you had heard before, but unfortunately a large fight errupted near the stage as people crowded around it to see where the shrill wailing was coming from. Your ears are still ringing from the singer's high-pitched shrieks when the fighting spilled onto the stage...;;;;;;;;;x 
EVTOPTA94056;At least the singing is over now.;;;;;;;;;x 
EVTTOOLTIP94057;You book the wild ass.;;;;;;;;;x 
EVTDESC94057;The wild ass sat on the grand stage of your inn for the better part of an hour, and although it relieved itself twice on the wooden floor, no speech or poetry was forthcoming. To your horror, the agitated animal then ran amok amongst the audience, resulting in fleeing customers and four broken tables.;;;;;;;;;x 
EVTOPTA94057;They... they told me it spoke! I swear!;;;;;;;;;x 
EVTDESC94058;Well, that was a disaster. The people who sampled your turnips suffered violent bouts of illness, and the rest cleared out in short order after the first guests hurled their stomach contents on your floor.;;;;;;;;;x 
EVTOPTA94058;Too much salt?;;;;;;;;;x 
EVTDESC94059;The salt trick actually seems to have worked! Who would have thought? The thirst of your guests seemed unquenchable and mead sales exceeded expections!;;;;;;;;;x 
EVTOPTA94059;I made a nice little profit.;;;;;;;;;x 
EVTDESC94060;The opening night of your inn has concluded, and the time has come for you to move on from this venture and resume your other duties. Whatever else can be said, you have learned many valuable lessons on running a business. A buyer is ready to take the inn off your hands, at a tidy little profit for you.;;;;;;;;;x 
EVTOPTA94060;It was nice while it lasted.;;;;;;;;;x 
EVTDESC94065;It has been brought to your attention that the large garden outside your castle is, frankly, a mess. Last week one of your courtiers got lost in that wilderness, and the man did not emerge for two days. Tackling this garden problem head on could be an excellent project with which to improve your stewardship.;;;;;;;;;x 
EVTOPTA94065;Time to stretch those green fingers!;;;;;;;;;x 
EVTOPTB94065;No, gardening is for weaklings and the clergy.;;;;;;;;;x 
EVTDESC94066;Together with your gardeners, you have redesigned your castle garden into a more managable form. You have organized the digging of a small canal system to keep your plants watered, the weeds have been removed and the hedge maze now actually has an exit. The skeletal remains strewn about the maze's dead ends have also been cleared out.;;;;;;;;;x 
EVTOPTA94066;Hard but rewarding work. I have learned much.;;;;;;;;;x 
obj_improve_learning_title;Improve Learning;;;;;;;;;x 
obj_improve_learning_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] Learning, since it is poor (lower than §Y8§!).;;;;;;;;;x 
improve_learning_quit;You look for some other way to improve your learning.;;;;;;;;;x 
EVTDESC94080;As you watch some birds darting nimbly through the air, you find yourself wondering why it is that man cannot do the same. There have been unsuccessful attempts to make flying contraptions in the past, but clearly those designs were all conceived by fools. Building a machine that can fly will help improve your learning...;;;;;;;;;x 
EVTOPTA94080;Yes! I am sure it can be done.;;;;;;;;;x 
EVTOPTB94080;No, we belong with our feet planted firmly on the ground.;;;;;;;;;x 
EVTTOOLTIP94081;You begin your research.;;;;;;;;;x 
EVTDESC94081;In your quest to build a flying machine, you spend countless hours with dusty old tomes and parchments in an effort to learn about all the failed attempts to fly, lest you repeat their mistakes. You are finally at the point where you feel you have learned enough to begin construction of a prototype.;;;;;;;;;x 
EVTOPTA94081;I will rule the skies.;;;;;;;;;x 
EVTTOOLTIP94082;Construction begins!;;;;;;;;;x 
EVTDESC94082;The prototype of your flying machine is nearing completion, but it would probably be ill-advised to pilot the thing yourself on its maiden flight. Fortunately, you know of several promising candidates who could probably be persuaded to take this historic leap of faith on your behalf.;;;;;;;;;x 
EVTOPTA94082;Otis, the cook's overweight son.;;;;;;;;;x 
EVTOPTB94082;Meldrick, local dung gatherer and dogsbody.;;;;;;;;;x 
EVTOPTC94082;The dog belonging to the blacksmith's daughter.;;;;;;;;;x 
EVTOPTD94082;al-Otis, the cook's overweight son.;;;;;;;;;x 
EVTOPTE94082;Ba'ah al-Drik, local dung gatherer and dogsbody.;;;;;;;;;x 
EVTTOOLTIP94083;You enlist the aid of Otis.;;;;;;;;;x 
EVTDESC94083;You find a suitably steep cliff from which to launch the maiden flight of your flying machine. Otis agrees to be strapped into the contraption, especially after you bribe him with sweets. You give him a gentle push over the cliff and leave the rest to fate and the wind. He plummets down like a sack of stones, trailing debris.;;;;;;;;;x 
EVTOPTA94083;Otis? Move your leg if you are still alive.;;;;;;;;;x 
EVTTOOLTIP94092;You enlist the aid of al-Otis.;;;;;;;;;x 
EVTDESC94092;You find a suitably steep cliff from which to launch the maiden flight of your flying machine. al-Otis agrees to be strapped into the contraption, especially after you bribe him with sweets. You give him a gentle push over the cliff and leave the rest to fate and the wind. He plummets down like a sack of stones, trailing debris.;;;;;;;;;x 
EVTOPTA94092;al-Otis? Move your leg if you are still alive.;;;;;;;;;x 
EVTTOOLTIP94084;You enlist the aid of Meldrick.;;;;;;;;;x 
EVTDESC94084;You find a suitably steep cliff from which to launch the maiden flight of your flying machine. Meldrick hesitates, but after a combination of threats and cajoling he agrees to be strapped into the contraption. You push him over the cliff and hope for the best. He plummets down like a sack of stones, trailing debris.;;;;;;;;;x 
EVTOPTA94084;M-Meldrick?;;;;;;;;;x 
EVTTOOLTIP94093;You enlist the aid of Ba'ah al-Drik.;;;;;;;;;x 
EVTDESC94093;You find a suitably steep cliff from which to launch the maiden flight of your flying machine. Ba'ah al-Drik hesitates, but after a combination of threats and cajoling he agrees to be strapped into the contraption. You push him over the cliff and hope for the best. He plummets down like a sack of stones, trailing debris.;;;;;;;;;x 
EVTOPTA94093;Ba'ah al-Drik?;;;;;;;;;x 
EVTTOOLTIP94085;You press-gang the dog into your service.;;;;;;;;;x 
EVTDESC94085;You find a suitably steep cliff from which to launch the maiden flight of your flying machine. Before you can strap the dog into the contraption, the furious blacksmith, an ogre of a man, approaches with his crying daughter. You quickly decide to take the dog's place. As you dive off the cliff, the machine disintegrates around you.;;;;;;;;;x 
EVTOPTA94085;AAAAHHHhhhhh...;;;;;;;;;x 
EVTTOOLTIP94086;You hurry down to the wreckage...;;;;;;;;;x 
EVTDESC94086;After carefully examining the wreckage of your flying machine, you conclude that the physique of Otis was simply too much for its delicate frame to bear. At any rate, the ungrateful boy now refuses to have anything to do with your machines. It looks like you will have to fly the next prototype yourself.;;;;;;;;;x 
EVTOPTA94086;I do this for the betterment of mankind.;;;;;;;;;x 
EVTOPTB94086;No, that thing is clearly a deathtrap!;;;;;;;;;x 
EVTDESC94094;After carefully examining the wreckage of your flying machine, you conclude that the physique of al-Otis was simply too much for its delicate frame to bear. At any rate, the ungrateful boy now refuses to have anything to do with your machines. It looks like you will have to fly the next prototype yourself.;;;;;;;;;x 
EVTDESC94087;Meldrick is bruised and battered, but alive. Your flying machine was a failure, and to make matters worse, another scholar in [Root.Location.GetName] has allegedly made his own functioning prototype. Just as you are about to surrender to despair, Meldrick gives you a toothless smile and says: "I have a cunning plan.";;;;;;;;;x 
EVTOPTA94087;I will regret this, but let's hear it.;;;;;;;;;x 
EVTOPTB94087;Then keep it to yourself, nitwit!;;;;;;;;;x 
EVTDESC94095;Ba'ah al-Drik is bruised and battered, but alive. Your flying machine was a failure, and to make matters worse, another scholar in [Root.Location.GetName] has allegedly made his own functioning prototype. Just as you are about to surrender to despair, Ba'ah al-Drik gives you a toothless smile and says: "I have a cunning plan.";;;;;;;;;x 
EVTTOOLTIP94088;The ground rushes towards you.;;;;;;;;;x 
EVTDESC94088;As you lie in your bedchamber, bruised and battered but still alive, you contemplate the nature of your plummet from the cliff. Your flying machine has been destroyed and you may never see a human soaring through the air, but this experience has taught you much about the value of science and scholarly research.;;;;;;;;;x 
EVTOPTA94088;Per ardua ad astra.;;;;;;;;;x 
EVTTOOLTIP94089;You prepare a second prototype.;;;;;;;;;x 
EVTDESC94089;With a new and improved flying machine, you return to the cliff. Otis waits below, as you will take the fateful plunge yourself this time. You close your eyes and leap into the air from the cliff. For a few seconds you feel the wind rushing past your face until something soft breaks your fall. It is Otis.;;;;;;;;;x 
EVTOPTA94089;I was flying! Otis, did you see? ...Otis?;;;;;;;;;x 
EVTDESC94096;With a new and improved flying machine, you return to the cliff. al-Otis waits below, as you will take the fateful plunge yourself this time. You close your eyes and leap into the air from the cliff. For a few seconds you feel the wind rushing past your face until something soft breaks your fall. It is al-Otis.;;;;;;;;;x 
EVTOPTA94096;I was flying! al-Otis, did you see? ...al-Otis?;;;;;;;;;x 
EVTTOOLTIP94090;Meldrick puts his plan into action.;;;;;;;;;x 
EVTDESC94090;How he did it will forever remain a mystery, but Meldrick has managed to steal the rival scholar's flying machine. He gleefully brings it to the cliff, but his grin vanishes when you inform him he will be flying again. You send him over the cliff and Meldrick enters a brief, spiraling dive before slamming into the ground.;;;;;;;;;x 
EVTOPTA94090;So it wasn't just my machine... I feel better now.;;;;;;;;;x 
EVTTOOLTIP94097;Ba'ah al-Drik puts his plan into action.;;;;;;;;;x 
EVTDESC94097;How he did it will forever remain a mystery, but Ba'ah al-Drik has managed to steal the rival scholar's flying machine. He gleefully brings it to the cliff, but his grin vanishes when you inform him he will be flying again. You send him over the cliff and Ba'ah al-Drik enters a brief, spiraling dive before slamming into the ground.;;;;;;;;;x 
EVTTOOLTIP94091;You head home.;;;;;;;;;x 
EVTDESC94091;Despite your efforts, it seems the secrets of flight will have to be uncovered by future generations. Your attempts may have been unsuccessful, but you have learned much about the value of science and scholarly research. Your learning has improved.;;;;;;;;;x 
EVTOPTA94091;I'la' al-a'la fi sabil al-magd.;;;;;;;;;x 
obj_improve_diplomacy_title;Improve Diplomacy;;;;;;;;;x 
obj_improve_diplomacy_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] Diplomacy, since it is poor (lower than §Y8§!).;;;;;;;;;x 
improve_diplomacy_quit;You look for some other way to improve your diplomacy.;;;;;;;;;x 
EVTDESC94110;There are two peasant families in [Root.Location.GetName] who have been locked in a bitter feud for generations. This conflict has now escalated to the point where it is even discussed in circles of nobility. Although this feud would normally be far beneath your notice, this could be a golden opportunity to practise your diplomacy...;;;;;;;;;x 
EVTOPTA94110;I will put an end to this squabble.;;;;;;;;;x 
EVTOPTB94110;No, let the riff-raff sort out their own problems.;;;;;;;;;x 
EVTTOOLTIP94111;You sponsor a meeting between the families.;;;;;;;;;x 
EVTDESC94111;You have invited the two feuding families to a local inn hoping to reach some kind of agreement. The peasants are seated at two opposing tables on either side of your position in the middle. Some have brought pitchforks, one clutches a live chicken, and all of them look moderately inbred. This could be a challenge...;;;;;;;;;x 
EVTOPTA94111;Appeal to their sense of reason.;;;;;;;;;x 
EVTOPTB94111;Flatter them.;;;;;;;;;x 
EVTOPTC94111;Find common ground.;;;;;;;;;x 
EVTTOOLTIP94112;You try a different strategy to win them over.;;;;;;;;;x 
EVTDESC94112;"This petty feud cannot continue," you begin. "What do you suppose would happen if the great noble houses fought each other as you do, instead of working together for the common good? You must learn from our shining example and - ";;;;;;;;;x 
EVTOPTA94112;The peasants shout you down!;;;;;;;;;x 
EVTDESC94113;"My friends," you say with as warm a smile as you can muster. "I think you know why I have called your great families here. As you suffer from this tragic conflict, the entire realm suffers with you.";;;;;;;;;x 
EVTOPTA94113;Mention their patriotic duty.;;;;;;;;;x 
EVTOPTB94113;Soothe their tempers.;;;;;;;;;x 
EVTDESC94114;"As some of you may know, my parentage has often been put into question," you start, rising from your seat. "There have been cruel whispers labeling me an 'inbred freak.' I know that many of you here have suffered the same injustices, and I come to you now as an understanding friend.";;;;;;;;;x 
EVTDESC94115;You continue, in a harsher voice: "But at the same time, you have a duty and a responsibility to the crown! You fight each other on the street, and we look away. You ruin entire harvests for each other, and we look away. Not again. The line must be drawn here! This far, no furth - ";;;;;;;;;x 
EVTDESC94116;In a firm but kind voice, you say: "Many of you are angry, I know. You have every reason to be. Too much blood has been spilled between your families for things to be smoothed over, but there comes a time when one has to look to the future.";;;;;;;;;x 
EVTOPTA94116;Threaten them with violence.;;;;;;;;;x 
EVTOPTB94116;Lambast their childish behavior.;;;;;;;;;x 
EVTDESC94117;For dramatic effect, you pull out a dagger and stab it into the table with all your might. "Because if you do not, I can assure you that there will BE no future for your families! I will personally hunt down every single one of you, and make sure that - ";;;;;;;;;x 
EVTDESC94118;You thump your fist on the table for dramatic effect. "In the end, are we not all adults here? It is so easy to resort to the bickering of children, for nobility and commoners alike, but that is when we must find the inner strength to rise above such pettiness! Let us walk out of here as the adults we are! What say you?";;;;;;;;;x 
EVTOPTA94118;The peasants stand up in unison...;;;;;;;;;x 
EVTTOOLTIP94119;It looks like things will be turning violent...;;;;;;;;;x 
EVTDESC94119;You barely have time to dodge the chicken someone hurls your way. With a howl the two families leap over their tables and throw themselves at each other with you caught in the middle. Clothes torn and covered in bruises, you eventually manage to crawl out of the inn as the fighting continues inside...;;;;;;;;;x 
EVTOPTA94119;Well, I did my best...;;;;;;;;;x 
EVTTOOLTIP94120;The inn turns silent.;;;;;;;;;x 
EVTDESC94120;Though it is doubtful whether they understood half of what you said, most of your message seems to have carried over. The peasants give a rousing applause. Crying members from the two families hug each other, and at least two marriages between their bloodlines are agreed upon on the spot. It seems the feud is over.;;;;;;;;;x 
EVTOPTA94120;Well, that went better than expected.;;;;;;;;;x 
EVTDESC94098;You have come into possession of "The Confessions of St. Augustine," a series of tomes detailing the life and times of Augustine of Hippo, a Christian theologian from Roman Africa who lived many centuries ago. Studying this historical work could provide insights that improve your learning.;;;;;;;;;x 
EVTOPTA94098;I will read every word.;;;;;;;;;x 
EVTOPTB94098;No... not enough pictures.;;;;;;;;;x 
EVTTOOLTIP94099;You lock yourself away with the book.;;;;;;;;;x 
EVTDESC94099;At last, you have finished your studies of St. Augustine's Confessions. It took many nights of reading with only the light of a candle to keep you company, but you do not regret a second of it. Your learning has improved.;;;;;;;;;x 
EVTOPTA94099;This work contained many truths.;;;;;;;;;x 
EVTDESC94100;You have come into possession of the Shahnameh, an epic poem written by the Persian poet Ferdowsi. It chronicles the history of Persia, telling the stories of its early kings up until the Arab conquest and the spread of Islam. Studying this historical work could provide insights that improve your learning.;;;;;;;;;x 
EVTDESC94101;At last, you have finished your studies of the Shahnameh. It took many nights of reading with only the light of a candle to keep you company, but you do not regret a second of it. Your learning has improved.;;;;;;;;;x 
EVTDESC94102;There is an old hermit somewhere in the back country of [Root.Location.GetName] who is said to possess great wisdom as well as a razor-sharp wit. Some claim he once served in the clergy, others say he was a mercenary captain who decided to put down his arms for good. Whatever his past, many seek him out for counsel. Will you?;;;;;;;;;x 
EVTOPTA94102;I shall find this hermit.;;;;;;;;;x 
EVTOPTB94102;Me, take advice from a decrepit old man? Hardly.;;;;;;;;;x 
EVTTOOLTIP94103;You prepare for a journey to the hermit's cave.;;;;;;;;;x 
EVTDESC94103;With a mule as your only company, you depart for the hermit's cave. The journey is long and the roads, where they exist at all, are in poor condition. Finally, after reaching the end of a narrow mountain path, you come upon the cave. A ragged piece of cloth is all that shields the entrance from the outside elements.;;;;;;;;;x 
EVTOPTA94103;Old man, show yourself!;;;;;;;;;x 
EVTTOOLTIP94104;You hear someone shuffling around inside the cave.;;;;;;;;;x 
EVTDESC94104;The cloth parts slightly to reveal the face of a gnarled old man. He regards you in silence for a moment with his beady eyes, then disappears behind the cloth again. "No solicitors!" he shouts.;;;;;;;;;x 
EVTOPTA94104;I have travelled far, old man! I will not be denied!;;;;;;;;;x 
EVTOPTB94104;Oh well. I'll be off again then.;;;;;;;;;x 
EVTTOOLTIP94105;You don't take no for an answer and enter the cave.;;;;;;;;;x 
EVTDESC94105;You push the curtain aside and enter the dark cave. Deep inside you find the hermit, seated on a cushion in flickering candlelight. He seems to be in some kind of trance at first, but then he opens an eye and looks at you with mild annoyance. "I thought I said... oh, spit it out then! What do you want?";;;;;;;;;x 
EVTOPTA94105;I hope to share in your wisdom. May I stay?;;;;;;;;;x 
EVTTOOLTIP94106;The hermit considers your request.;;;;;;;;;x 
EVTDESC94106;After much badgering, the old man finally relents and permits you to stay for a few days. You observe him carefully and learn as much as you can. In the end, his "wisdom" seems limited to an endless stream of platitudes and maxims. You have memorized many, and at least they will make you seem more learned in the eyes of others.;;;;;;;;;x 
EVTOPTA94106;"Semper ubi sub ubi ubique.";;;;;;;;;x 
EVTDESC94125;If you want to improve your skill at diplomacy, you need to become a confident public speaker. Swaying the hearts and minds of men with simple words is not an easy thing, but you have started practising in front of a mirror. Things can only improve.;;;;;;;;;x 
EVTOPTA94125;You talking to me?;;;;;;;;;x 
EVTDESC94126;Your hard work practising public speaking in front of a mirror has paid off! You now feel much more confident when addressing others, and your skill at the art of diplomacy has likewise improved.;;;;;;;;;x 
EVTOPTA94126;Countrymen, lend me your ears!;;;;;;;;;x 
EVTDESC94130;You are drawn to a large cheerful crowd standing in front of a tall building in [Root.Location.GetName]. It seems they have gathered to watch the antics of a man who has climbed onto the building's roof. The despairing man, tired of the hardships of life, is threatening to jump and several of the onlookers are goading him on.;;;;;;;;;x 
EVTOPTA94130;Don't do it!;;;;;;;;;x 
EVTOPTB94130;I have no time for this.;;;;;;;;;x 
EVTTOOLTIP94131;You rush forward to stop the suicide.;;;;;;;;;x 
EVTDESC94131;You hurry inside the building and join the desperate man on the roof. "No! Stay away!" he cries when he sees you. You slowly climb out on the ledge next to him. "I just want to talk," you say as you edge closer.;;;;;;;;;x 
EVTOPTA94131;Grab the man.;;;;;;;;;x 
EVTOPTB94131;Talk to the man.;;;;;;;;;x 
EVTTOOLTIP94132;You make an attempt to grab the man.;;;;;;;;;x 
EVTDESC94132;You quickly reach out and manage to grab the man's wrist before he has a chance to jump. "Let me go, you cretin!" he screams. "I don't care who you are, you have no right to stop me from departing this wretched world!" Far below, you notice that some peasants have gathered a haystack to cushion the fall.;;;;;;;;;x 
EVTOPTA94132;Jump with the man.;;;;;;;;;x 
EVTOPTB94132;Pull the man inside.;;;;;;;;;x 
EVTTOOLTIP94133;You leap off the edge together with the man, aiming for the haystack.;;;;;;;;;x 
EVTDESC94133;A glint of madness flashes in your eyes and you smile at the man. "Do you really want to jump? Fine! Then we jump!" The man gapes at you, dumbfounded. "You... you're insane!" he gasps. Before the man can change his mind, you leap off the building and pull him with you.;;;;;;;;;x 
EVTOPTA94133;Look out below!;;;;;;;;;x 
EVTTOOLTIP94134;The ground rushes towards you.;;;;;;;;;x 
EVTDESC94134;You land safely together in the haystack. "Let's go again!" you exclaim as you brush the hay off your clothes. The shocked suicidal man pulls his arm away from you, and stumbles towards the crowd. "Get away from me! Help! That [Root.GetManWoman] tried to kill me, [Root.GetSheHe]'s insane!" As you walk away, you feel your grasp of diplomacy has improved.;;;;;;;;;x 
EVTOPTA94134;Mission accomplished.;;;;;;;;;x 
EVTTOOLTIP94135;You pull the man safely away from the roof's edge.;;;;;;;;;x 
EVTDESC94135;Mustering all your strength, you forcefully pull the man back to safety where he can be subdued by members of the city guard. He curses your name as he is dragged off to the dungeons - trying to take one's life is a sin, after all. You have learned the valuable lesson that sometimes actions speak louder than words.;;;;;;;;;x 
EVTOPTA94135;This applies to many situations.;;;;;;;;;x 
EVTTOOLTIP94136;dissuading the man from leaping to his death.;;;;;;;;;x 
